# TargetP-2.0	Organism: Non-Plant	Timestamp: 20260806124704
# ID	Prediction	noTP	SP	mTP	CS Position
CALNXI010000019.1_K04564_9c58f698_with_leader_u17_PF00081_M	SP	0.229527	0.751114	0.019359	CS pos: 17-18. ARA-KH. Pr: 0.9149
CAH3113625.1	SP	0.044382	0.955104	0.000514	CS pos: 23-24. IDC-VT. Pr: 0.9166
CAH3121122.1	mTP	0.027839	0.315893	0.656269	CS pos: 25-26. VAR-AK. Pr: 0.2956
CAH3121122.1_with_leader_u17_PF00081_M	SP	0.200227	0.775261	0.024512	CS pos: 17-18. ARA-KH. Pr: 0.9126
CALNXK010000026.1_K04564_ed584393_with_leader_u35_PF00081_anchor_M	SP	0.029717	0.969899	0.000384	CS pos: 23-24. IDC-VT. Pr: 0.9167
CALNXK010000035.1_K04564_4c740ac6_with_leader_u26_PF00081_M	mTP	0.031737	0.326987	0.641276	CS pos: 25-26. VAR-AK. Pr: 0.2956
CALNXK010000035.1_K04564_4c740ac6_with_leader_u17_PF00081_M	SP	0.226961	0.750842	0.022197	CS pos: 17-18. ARA-KH. Pr: 0.9126
CAH3154858.1	mTP	0.179680	0.061081	0.759238	CS pos: 26-27. SRA-KH. Pr: 0.2296
CALNXJ010000056.1_K04564_bcab822f_with_leader_u26_PF00081_M	mTP	0.187802	0.063528	0.748670	CS pos: 26-27. SRA-KH. Pr: 0.2303
OZ116702.1_K04564_7a632fe8_with_leader_u26_PF00081_M	mTP	0.209536	0.181836	0.608628	CS pos: 25-26. VTR-AK. Pr: 0.3116
NW_001830281.1_K04564_aabf75a2_with_leader_u16_PF00081_M	noTP	0.993732	0.002480	0.003788	
NW_001834379.1_K04564_218b7627_with_leader_u35_PF00081_M	SP	0.000784	0.999215	0.000001	CS pos: 24-25. IDG-NP. Pr: 0.4857
NW_001834409.1_K04564_dd4ebe9b_with_leader_u23_PF00081_M	mTP	0.002468	0.000673	0.996858	CS pos: 22-23. LVR-AK. Pr: 0.4070
XP_001641079.1	mTP	0.002582	0.000810	0.996608	CS pos: 22-23. LVR-AK. Pr: 0.4072
XP_032242609.1	SP	0.000947	0.999052	0.000001	CS pos: 24-25. IDG-NP. Pr: 0.4857
NW_015441130.1_K04564_74b04aa7_with_leader_u27_PF00081_M	mTP	0.055498	0.002690	0.941812	CS pos: 22-23. CAG-VS. Pr: 0.3981
XP_015756014.1	mTP	0.059383	0.003331	0.937286	CS pos: 22-23. CAG-VS. Pr: 0.3973
NW_018384609.1_K04564_9ada1ad3_with_leader_u26_PF00081_M	mTP	0.055873	0.006481	0.937646	CS pos: 26-27. VKG-KH. Pr: 0.1973
NW_018385051.1_K04564_bf905449_with_leader_u32_PF00081_M	SP	0.002622	0.997351	0.000027	CS pos: 20-21. VKC-GD. Pr: 0.9292
XP_020892835.1	mTP	0.067233	0.005585	0.927182	CS pos: 26-27. VKG-KH. Pr: 0.1966
XP_020896468.1	SP	0.003726	0.996234	0.000039	CS pos: 20-21. VKC-GD. Pr: 0.9291
NW_018149988.1_K04564_d6a2d83a_with_leader_u26_PF00081_M	mTP	0.204987	0.189652	0.605361	CS pos: 25-26. VTR-AK. Pr: 0.3116
XP_020624989.1	mTP	0.182174	0.172414	0.645412	CS pos: 25-26. VTR-AK. Pr: 0.3107
NW_019217915.1_K04564_8c7a1a6e_with_leader_u35_PF00081_M	SP	0.041807	0.957801	0.000393	CS pos: 23-24. IKC-TT. Pr: 0.8245
NW_019218106.1_K04564_a8e289e7_with_leader_u26_PF00081_M	mTP	0.273141	0.065978	0.660881	CS pos: 22-23. VAE-SS. Pr: 0.1710
NW_019218106.1_K04564_a8e289e7_with_leader_u25_PF00081_M	noTP	0.720135	0.077792	0.202073	
XP_022789717.1	SP	0.043686	0.955804	0.000510	CS pos: 23-24. IKC-TT. Pr: 0.8246
XP_022799031.1	mTP	0.261213	0.059570	0.679217	CS pos: 22-23. VAE-SS. Pr: 0.1699
XP_022799031.1_with_leader_u25_PF00081_M	noTP	0.718039	0.071765	0.210195	
NW_020845403.1_K04564_b41b5453_with_leader_u26_PF00081_M	mTP	0.196883	0.079869	0.723248	CS pos: 26-27. SRA-KH. Pr: 0.2301
XP_027044652.1	mTP	0.190557	0.085421	0.724022	CS pos: 26-27. SRA-KH. Pr: 0.2298
XP_027045969.1	SP	0.013243	0.986592	0.000165	CS pos: 23-24. IQC-IT. Pr: 0.9501
NW_021126546.1_K04564_2e4adbc0_with_leader_u27_PF00081_M	mTP	0.029137	0.001483	0.969380	CS pos: 22-23. CAG-VS. Pr: 0.3965
NW_021163045.1_K04564_93184bc0_with_leader_u35_PF00081_M	SP	0.001429	0.998560	0.000011	CS pos: 18-19. TVA-KY. Pr: 0.7320
NW_021163057.1_K04564_58bba69c_with_leader_u28_PF00081_M	mTP	0.012970	0.001826	0.985204	CS pos: 27-28. RAR-SK. Pr: 0.3447
XP_028402961.1	SP	0.002430	0.997544	0.000026	CS pos: 18-19. TVA-KY. Pr: 0.7324
XP_028405302.1_with_leader_u28_PF00081_M	mTP	0.014292	0.002072	0.983637	CS pos: 27-28. RAR-SK. Pr: 0.3450
NW_022259326.1_K04564_c5c784a5_with_leader_u26_PF00081_M	mTP	0.090785	0.027049	0.882166	CS pos: 25-26. LVR-AK. Pr: 0.3080
NW_022259448.1_K04564_94b23c3f_with_leader_u34_PF00081_M	SP	0.000205	0.999795	0.000000	CS pos: 20-21. VDC-AD. Pr: 0.8643
XP_031555730.1	mTP	0.106295	0.023171	0.870534	CS pos: 25-26. LVR-AK. Pr: 0.3078
XP_031556222.1	SP	0.001035	0.998964	0.000001	CS pos: 20-21. VDC-AD. Pr: 0.8608
XP_065051554.1	SP	0.007035	0.992959	0.000006	CS pos: 22-23. CKA-FH. Pr: 0.7884
XP_065052710.1	mTP	0.024180	0.000581	0.975238	CS pos: 23-24. QVA-LK. Pr: 0.2197
NC_058072.1_K04564_d76f083e_with_leader_u27_PF00081_M	mTP	0.033277	0.001711	0.965011	CS pos: 22-23. CAG-VS. Pr: 0.3961
NC_058072.1_K04564_e7306cec_with_leader_u27_PF00081_M	mTP	0.033022	0.001662	0.965316	CS pos: 22-23. CAG-VS. Pr: 0.3964
XP_029200276.2	mTP	0.039800	0.001235	0.958965	CS pos: 22-23. CAG-VS. Pr: 0.3962
XP_044179376.1	mTP	0.039970	0.001340	0.958690	CS pos: 22-23. CAG-VS. Pr: 0.3962
NW_025813402.1_K04564_d3bead77_with_leader_u26_PF00081_M	mTP	0.115198	0.001085	0.883717	CS pos: 25-26. LKK-AK. Pr: 0.1498
NW_025813488.1_K04564_dc28fde6_with_leader_u35_PF00081_M	SP	0.020732	0.979138	0.000130	CS pos: 18-19. TFG-KS. Pr: 0.5669
NW_025813488.1_K04564_dc28fde6_with_leader_u26_PF00081_M	noTP	0.996316	0.003073	0.000611	
XP_046848022.1	mTP	0.117513	0.000896	0.881591	CS pos: 25-26. LKK-AK. Pr: 0.1491
NW_026709483.1_K04564_f6c44c1b_with_leader_u35_PF00081_M	SP	0.027457	0.972343	0.000200	CS pos: 23-24. IKC-IT. Pr: 0.9129
NW_026710474.1_K04564_6393b7b3_with_leader_u26_PF00081_M	mTP	0.118529	0.271390	0.610081	CS pos: 25-26. SSR-AK. Pr: 0.2439
XP_058945240.1	SP	0.028185	0.971586	0.000229	CS pos: 23-24. IKC-IT. Pr: 0.9129
XP_058961470.1	mTP	0.138434	0.270692	0.590875	CS pos: 25-26. SSR-AK. Pr: 0.2429
NC_090047.1_K04564_9ff9e7e6_with_leader_u27_PF00081_M	mTP	0.034298	0.001395	0.964307	CS pos: 22-23. CAG-VS. Pr: 0.3980
XP_067022095.1	mTP	0.041420	0.001119	0.957461	CS pos: 22-23. CAG-VS. Pr: 0.3981
NC_089313.1_K04564_d4ce240d_with_leader_u35_PF00081_M	SP	0.026784	0.973020	0.000196	CS pos: 23-24. IKC-IT. Pr: 0.9129
NC_089321.1_K04564_80b85b49_with_leader_u26_PF00081_M	mTP	0.110747	0.276227	0.613026	CS pos: 25-26. SSR-AK. Pr: 0.2440
XP_058945240.2	SP	0.028874	0.970887	0.000239	CS pos: 23-24. IKC-IT. Pr: 0.9129
NC_090883.1_K04564_15cd5c3b_with_leader_u26_PF00081_M	mTP	0.023965	0.000652	0.975382	CS pos: 22-23. FAG-LS. Pr: 0.1459
XP_068741652.1	mTP	0.025338	0.000558	0.974105	CS pos: 22-23. FAG-LS. Pr: 0.1459
NC_090876.1_K04564_d2caed50_with_leader_u26_PF00081_M	mTP	0.023417	0.004847	0.971736	CS pos: 26-27. SKA-QH. Pr: 0.1640
XP_068715352.1	mTP	0.025106	0.004126	0.970768	CS pos: 26-27. SKA-QH. Pr: 0.1640
NC_088930.1_K04564_c6107477_with_leader_u22_PF00081_M	mTP	0.034447	0.000499	0.965054	CS pos: 20-21. IAF-AN. Pr: 0.5017
NP_001296665.1	mTP	0.059215	0.000278	0.940508	CS pos: 20-21. IAF-AN. Pr: 0.6148
NC_064035.1_K04564_8bf6ddb6_with_leader_u35_PF00081_M	SP	0.000784	0.999215	0.000001	CS pos: 24-25. IDG-NP. Pr: 0.4857
NC_064035.1_K04564_e2e0e4b8_with_leader_u23_PF00081_M	mTP	0.002468	0.000673	0.996858	CS pos: 22-23. LVR-AK. Pr: 0.4070
XP_048580243.1	SP	0.000947	0.999052	0.000001	CS pos: 24-25. IDG-NP. Pr: 0.4857
NC_133203.1_K04564_101605b8_with_leader_u26_PF00081_M	mTP	0.033095	0.341394	0.625511	CS pos: 25-26. VAR-AK. Pr: 0.2973
NC_133203.1_K04564_101605b8_with_leader_u17_PF00081_M	SP	0.235864	0.745249	0.018886	CS pos: 17-18. ARA-KH. Pr: 0.9149
XP_073236307.1	mTP	0.028934	0.329712	0.641354	CS pos: 25-26. VAR-AK. Pr: 0.2973
XP_073236307.1_with_leader_u17_PF00081_M	SP	0.208622	0.770464	0.020914	CS pos: 17-18. ARA-KH. Pr: 0.9149
a_tenuis_TRINITY_DN8520_c0_g2_i1.p1	mTP	0.016127	0.005465	0.978408	CS pos: 22-23. CAG-VS. Pr: 0.3968
