# TargetP-2.0	Organism: Non-Plant	Timestamp: 20260806140524
# ID	Prediction	noTP	SP	mTP	CS Position
cladocopium_proliferum_Levin_TRINITY_DN86499_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_238	SP	0.008128	0.990808	0.001064	CS pos: 20-21. TFT-LP. Pr: 0.4442
cladocopium_proliferum_ss27_TRINITY_DN57230_c0_g1_i1.p1_to_K04564_244	SP	0.127400	0.865745	0.006855	CS pos: 31-32. AFG-ET. Pr: 0.5341
cladocopium_proliferum_ss27_TRINITY_DN57230_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_244	SP	0.008128	0.990808	0.001064	CS pos: 20-21. TFT-LP. Pr: 0.4442
cladocopium_proliferum_wt31_TRINITY_DN60502_c0_g1_i1.p1_with_leader_u30_PF00081_M_to_K04564_256	mTP	0.017321	0.000824	0.981856	CS pos: 27-28. CGF-AS. Pr: 0.5400
cladocopium_proliferum_wt31_TRINITY_DN61048_c0_g1_i2.p1_to_K04564_245	SP	0.166081	0.750946	0.082973	CS pos: 32-33. AFG-ET. Pr: 0.5477
cladocopium_proliferum_wt31_TRINITY_DN61048_c0_g1_i2.p1_with_leader_u17_PF00081_M_to_K04564_245	SP	0.008128	0.990808	0.001064	CS pos: 20-21. TFT-LP. Pr: 0.4442
cladocopium_proliferum_wt31_TRINITY_DN73029_c0_g1_i1.p1_to_K04564_227	noTP	0.999127	0.000632	0.000241	
durusdinium_trenchii_TRINITY_DN22061_c0_g1_i1.p1_with_leader_u21_PF00081_M_to_K04564_256	SP	0.022864	0.976596	0.000541	CS pos: 20-21. AAG-EI. Pr: 0.6011
durusdinium_trenchii_TRINITY_DN126028_c0_g1_i1.p2_with_leader_u19_PF00081_M_to_K04564_244	SP	0.170418	0.748226	0.081356	CS pos: 19-20. AAG-AY. Pr: 0.4031
durusdinium_trenchii_TRINITY_DN152488_c1_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_277	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
durusdinium_trenchii_TRINITY_DN155815_c0_g2_i1.p1_to_K04564_245	SP	0.002471	0.997493	0.000036	CS pos: 21-22. VKC-GD. Pr: 0.9352
durusdinium_trenchii_TRINITY_DN155815_c0_g2_i1.p1_with_leader_u32_PF00081_M_to_K04564_245	SP	0.003753	0.996207	0.000039	CS pos: 20-21. VKC-GD. Pr: 0.9291
durusdinium_trenchii_TRINITY_DN160370_c0_g1_i1.p1_to_K04564_222	mTP	0.068396	0.005275	0.926329	CS pos: 26-27. VKG-KH. Pr: 0.1966
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_277	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1_with_leader_u18_PF00081_M_to_K04564_277	SP	0.156882	0.841702	0.001416	CS pos: 19-20. ARA-YD. Pr: 0.9770
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_281	SP	0.001415	0.998499	0.000086	CS pos: 18-19. ASA-EF. Pr: 0.9060
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i4.p1_with_leader_u18_PF00081_M_to_K04564_238	SP	0.001415	0.998499	0.000086	CS pos: 18-19. ASA-EF. Pr: 0.9060
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i5.p1_with_leader_u18_PF00081_M_to_K04564_258	SP	0.001415	0.998499	0.000086	CS pos: 18-19. ASA-EF. Pr: 0.9060
prorocentrum_cordatum_20_st_TRINITY_DN21937_c0_g3_i1.p2_with_leader_u18_PF00081_M_to_K04564_260	SP	0.001415	0.998499	0.000086	CS pos: 18-19. ASA-EF. Pr: 0.9060
prorocentrum_cordatum_26_ex_TRINITY_DN18142_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_259	SP	0.001415	0.998499	0.000086	CS pos: 18-19. ASA-EF. Pr: 0.9060
prorocentrum_cordatum_26_st_TRINITY_DN46994_c0_g1_i1.p2_with_leader_u18_PF00081_M_to_K04564_261	SP	0.001415	0.998499	0.000086	CS pos: 18-19. ASA-EF. Pr: 0.9060
prorocentrum_cordatum_30_st_TRINITY_DN3926_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_260	SP	0.001415	0.998499	0.000086	CS pos: 18-19. ASA-EF. Pr: 0.9060
