Domain Accession	Group
CAB4026677.1_PF21355_95_213	G
XP_028393451.1_PF21355_166_282	G
XP_028393262.1_PF21355_254_365	G
CAB4020835.1_PF21355_214_334	G
CAB4033682.1_PF21355_127_244	G
CAB4035171.1_PF21355_261_351	G
CAB4041354.1_PF21355_50_172	G
XP_028393216.1_PF21355_238_356	G
CAB3989562.1_PF21355_225_338	G
CAB4028049.1_PF21355_247_349	G
XP_028393157.1_PF21355_251_363	G
XP_028393161.1_PF21355_230_347	G
CAH3150049.1_PF21355_220_341	G.H
CAH3042489.1_PF21355_561_682	G.H
XP_020612166.1_PF21355_102_227	G.H
XP_020612169.1_PF21355_161_281	G.H
XP_020612165.1_PF21355_254_373	G.H
XP_020603673.1_PF21355_360_480	G.H
XP_068718092.1_PF21355_239_362	H
XP_068718091.1_PF21355_261_382	H
XP_068701663.1_PF21355_288_410	H
XP_068720751.1_PF21355_199_312	H
XP_068701662.1_PF21355_328_450	H
XP_068700854.1_PF21355_286_408	H
XP_068683026.1_PF21355_275_396	H
XP_068683549.1_PF21355_248_369	H
XP_068682694.1_PF21355_291_410	H
XP_015778033.1_PF21355_323_447	H
XP_067052174.1_PF21355_306_425	H
XP_029181634.1_PF21355_300_416	H
KAK2568423.1_PF21355_595_711	H
CAH3122555.1_PF21355_271_397	H
XP_073249991.1_PF21355_352_472	H
CAH3186835.1_PF21355_78_198	H
XP_073249992.1_PF21355_40_158	H
XP_073230657.1_PF21355_303_430	H
CAH3122540.1_PF21355_299_418	H
CAH3122552.1_PF21355_302_422	H
CAH3044923.1_PF21355_82_212	I
XP_068751770.1_PF21355_494_619	I
CAH3044927.1_PF21355_30_155	I
XP_068688042.1_PF21355_447_572	I
XP_029207268.1_PF21355_307_429	I
XP_073249990.1_PF21355_324_446	I
CAH3042474.1_PF21355_312_439	I
CAH3150046.1_PF21355_345_466	I
XP_020612182.1_PF21355_133_256	I
CAH3025592.1_PF21355_331_450	I
XP_073236601.1_PF21355_300_420	I
XP_020612175.1_PF21355_95_219	I
XP_020612121.1_PF21355_275_393	I
XP_020612148.1_PF21355_327_444	I
XP_022808461.1_PF21355_188_308	I
CAH3128119.1_PF21355_326_440	I
CAH3025596.1_PF21355_315_432	I
XP_073236600.1_PF21355_322_441	I
XP_022807328.1_PF21355_188_310	I
CAH3122523.1_PF21355_346_466	I
XP_020612147.1_PF21355_323_444	I
CAH3186759.1_PF21355_205_322	I.J
XP_073239927.1_PF21355_332_447	I.J
CAH3194040.1_PF21355_341_456	I.J
CAH3150044.1_PF21355_308_428	I.J
CAH3170506.1_PF21355_330_420	J
CAH3172084.1_PF21355_690_814	J
CAH3172081.1_PF21355_204_325	J
CAH3150022.1_PF21355_280_410	J
CAH3150028.1_PF21355_558_678	J
CAH3150021.1_PF21355_319_453	J
CAH3150021.1_PF21355_792_920	J
CAH3195656.1_PF21355_74_205	J
CAH3172082.1_PF21355_804_932	J
CAH3150034.1_PF21355_324_458	J
CAH3170512.1_PF21355_321_453	J
CAH3172082.1_PF21355_330_460	J
XP_066026265.1_PF21355_200_319	K
XP_058950985.1_PF21355_305_424	K
XP_022805210.1_PF21355_342_462	K
XP_022809901.1_PF21355_20_140	K
CAH3160896.1_PF21355_347_467	K
XP_022803565.1_PF21355_122_244	K
XP_022808456.1_PF21355_68_188	K
XP_027041659.1_PF21355_238_359	K
XP_022804794.1_PF21355_266_384	K
XP_058971743.1_PF21355_312_424	K
XP_066025676.1_PF21355_312_426	K
XP_020612105.1_PF21355_144_247	K
XP_020612177.1_PF21355_320_443	K
XP_020612176.1_PF21355_324_444	K
XP_020612191.1_PF21355_335_457	K
XP_020612170.1_PF21355_218_347	K
XP_020612172.1_PF21355_116_242	K
XP_020612171.1_PF21355_136_260	K
XP_020612123.1_PF21355_90_211	K
XP_020628386.1_PF21355_204_320	K
XP_022807327.1_PF21355_345_467	K
XP_022784723.1_PF21355_230_353	K
CAH3128127.1_PF21355_326_450	K
CAH3128133.1_PF21355_279_377	K
CAH3128121.1_PF21355_326_450	K
CAH3128134.1_PF21355_337_461	K
CAH3128139.1_PF21355_234_356	K
XP_022803588.1_PF21355_341_465	K
XP_022803571.1_PF21355_149_273	K
XP_022807083.1_PF21355_72_196	K
CAH3160898.1_PF21355_189_311	K
XP_058950984.1_PF21355_195_289	K
XP_022804792.1_PF21355_305_399	K
XP_058947863.1_PF21355_305_429	K
XP_066025778.1_PF21355_333_459	K
