protein accession	genome accession	contig accession	sequence accession	locus start 1b	locus end 1b	strand	sequence length	feature type	feature index	feature position 1b	error
KAJ7353885.1	GCA_029204205.1	MU827338.1		322508	315568	-	6941	dss	1	15	
KAJ7353885.1	GCA_029204205.1	MU827338.1		322508	315568	-	6941	dss	2	3615	
KAJ7353885.1	GCA_029204205.1	MU827338.1		322508	315568	-	6941	dss	3	4277	
KAJ7353885.1	GCA_029204205.1	MU827338.1		322508	315568	-	6941	dss	4	5058	
KAJ7353885.1	GCA_029204205.1	MU827338.1		322508	315568	-	6941	ass	1	3538	
KAJ7353885.1	GCA_029204205.1	MU827338.1		322508	315568	-	6941	ass	2	4200	
KAJ7353885.1	GCA_029204205.1	MU827338.1		322508	315568	-	6941	ass	3	4606	
KAJ7353885.1	GCA_029204205.1	MU827338.1		322508	315568	-	6941	ass	4	6792	
KAJ7361783.1	GCA_029204205.1	MU827308.1		592147	587530	-	4618	dss	1	81	
KAJ7361783.1	GCA_029204205.1	MU827308.1		592147	587530	-	4618	dss	2	2076	
KAJ7361783.1	GCA_029204205.1	MU827308.1		592147	587530	-	4618	dss	3	3169	
KAJ7361783.1	GCA_029204205.1	MU827308.1		592147	587530	-	4618	ass	1	1918	
KAJ7361783.1	GCA_029204205.1	MU827308.1		592147	587530	-	4618	ass	2	3014	
KAJ7361783.1	GCA_029204205.1	MU827308.1		592147	587530	-	4618	ass	3	3575	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	dss	1	137	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	dss	2	463	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	dss	3	3422	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	dss	4	4494	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	dss	5	5016	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	ass	1	307	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	ass	2	3264	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	ass	3	4339	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	ass	4	4903	
KAJ7361791.1	GCA_029204205.1	MU827308.1		694021	688077	-	5945	ass	5	5139	
KAJ7365561.1	GCA_029204205.1	MU827303.1	KAJ7365561.1	3953112	3952402	-	711				
KAJ7365563.1	GCA_029204205.1	MU827303.1		3965511	3964037	-	1475	dss	1	246	
KAJ7365563.1	GCA_029204205.1	MU827303.1		3965511	3964037	-	1475	dss	2	742	
KAJ7365563.1	GCA_029204205.1	MU827303.1		3965511	3964037	-	1475	ass	1	276	
KAJ7365563.1	GCA_029204205.1	MU827303.1		3965511	3964037	-	1475	ass	2	1256	
KAJ7365564.1	GCA_029204205.1	MU827303.1		3990188	3967353	-	22836	dss	1	137	
KAJ7365564.1	GCA_029204205.1	MU827303.1		3990188	3967353	-	22836	dss	2	476	
KAJ7365564.1	GCA_029204205.1	MU827303.1		3990188	3967353	-	22836	dss	3	2253	
KAJ7365564.1	GCA_029204205.1	MU827303.1		3990188	3967353	-	22836	dss	4	3200	
KAJ7365564.1	GCA_029204205.1	MU827303.1		3990188	3967353	-	22836	ass	1	320	
KAJ7365564.1	GCA_029204205.1	MU827303.1		3990188	3967353	-	22836	ass	2	2095	
KAJ7365564.1	GCA_029204205.1	MU827303.1		3990188	3967353	-	22836	ass	3	3045	
KAJ7365564.1	GCA_029204205.1	MU827303.1		3990188	3967353	-	22836	ass	4	21793	
KAJ7365566.1	GCA_029204205.1	MU827303.1		4048383	4053561	+	5179	dss	1	161	
KAJ7365566.1	GCA_029204205.1	MU827303.1		4048383	4053561	+	5179	dss	2	1960	
KAJ7365566.1	GCA_029204205.1	MU827303.1		4048383	4053561	+	5179	dss	3	2848	
KAJ7365566.1	GCA_029204205.1	MU827303.1		4048383	4053561	+	5179	dss	4	3572	
KAJ7365566.1	GCA_029204205.1	MU827303.1		4048383	4053561	+	5179	ass	1	1804	
KAJ7365566.1	GCA_029204205.1	MU827303.1		4048383	4053561	+	5179	ass	2	2690	
KAJ7365566.1	GCA_029204205.1	MU827303.1		4048383	4053561	+	5179	ass	3	3417	
KAJ7365566.1	GCA_029204205.1	MU827303.1		4048383	4053561	+	5179	ass	4	4139	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	1	146	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	2	1671	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	3	2498	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	4	3045	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	5	4141	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	6	5070	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	7	5305	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	8	9915	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	dss	9	10126	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	1	1614	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	2	2480	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	3	2942	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	4	3977	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	5	4731	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	6	5196	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	7	9838	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	8	10037	
KAJ7369893.1	GCA_029204205.1	MU826880.1		70382	82014	+	11633	ass	9	10569	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	dss	1	146	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	dss	2	914	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	dss	3	2280	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	dss	4	3069	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	dss	5	4224	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	dss	6	5074	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	ass	1	857	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	ass	2	2176	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	ass	3	2905	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	ass	4	4147	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	ass	5	4985	
KAJ7369894.1	GCA_029204205.1	MU826880.1		112417	118876	+	6460	ass	6	5396	
KAJ7369897.1	GCA_029204205.1	MU826880.1		199624	200594	+	971	dss	1	485	
KAJ7369897.1	GCA_029204205.1	MU826880.1		199624	200594	+	971	ass	1	677	
KAJ7369900.1	GCA_029204205.1	MU826880.1	KAJ7369900.1	267662	268012	+	351				
KAJ7370617.1	GCA_029204205.1	MU826861.1		686473	687874	+	1402	dss	1	6	
KAJ7370617.1	GCA_029204205.1	MU826861.1		686473	687874	+	1402	ass	1	359	
KAJ7370648.1	GCA_029204205.1	MU826859.1		43648	48167	+	4520	dss	1	140	
KAJ7370648.1	GCA_029204205.1	MU826859.1		43648	48167	+	4520	dss	2	836	
KAJ7370648.1	GCA_029204205.1	MU826859.1		43648	48167	+	4520	dss	3	1789	
KAJ7370648.1	GCA_029204205.1	MU826859.1		43648	48167	+	4520	dss	4	3002	
KAJ7370648.1	GCA_029204205.1	MU826859.1		43648	48167	+	4520	ass	1	680	
KAJ7370648.1	GCA_029204205.1	MU826859.1		43648	48167	+	4520	ass	2	1562	
KAJ7370648.1	GCA_029204205.1	MU826859.1		43648	48167	+	4520	ass	3	2847	
KAJ7370648.1	GCA_029204205.1	MU826859.1		43648	48167	+	4520	ass	4	3477	
KAJ7372383.1	GCA_029204205.1	MU826837.1		1403284	1417405	+	14122	dss	1	506	
KAJ7372383.1	GCA_029204205.1	MU826837.1		1403284	1417405	+	14122	dss	2	5028	
KAJ7372383.1	GCA_029204205.1	MU826837.1		1403284	1417405	+	14122	dss	3	10385	
KAJ7372383.1	GCA_029204205.1	MU826837.1		1403284	1417405	+	14122	dss	4	11542	
KAJ7372383.1	GCA_029204205.1	MU826837.1		1403284	1417405	+	14122	ass	1	4977	
KAJ7372383.1	GCA_029204205.1	MU826837.1		1403284	1417405	+	14122	ass	2	10275	
KAJ7372383.1	GCA_029204205.1	MU826837.1		1403284	1417405	+	14122	ass	3	11378	
KAJ7372383.1	GCA_029204205.1	MU826837.1		1403284	1417405	+	14122	ass	4	13154	
KAJ7372384.1	GCA_029204205.1	MU826837.1	KAJ7372384.1	1418975	1419394	+	420				
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	dss	1	146	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	dss	2	1282	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	dss	3	1888	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	dss	4	2659	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	dss	5	4019	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	dss	6	4250	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	ass	1	1222	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	ass	2	1784	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	ass	3	2495	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	ass	4	3942	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	ass	5	4161	
KAJ7372387.1	GCA_029204205.1	MU826837.1		1524060	1530167	+	6108	ass	6	5053	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	dss	1	42	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	dss	2	1082	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	dss	3	2121	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	dss	4	3609	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	dss	5	4964	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	dss	6	6442	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	ass	1	978	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	ass	2	1957	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	ass	3	3532	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	ass	4	4875	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	ass	5	5597	
KAJ7372388.1	GCA_029204205.1	MU826837.1		1544600	1537540	-	7061	ass	6	6846	
KAJ7372390.1	GCA_029204205.1	MU826837.1	KAJ7372390.1	1562963	1564036	+	1074				
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	1	146	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	2	627	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	3	1399	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	4	1705	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	5	2763	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	6	3809	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	7	4441	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	8	5911	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	dss	9	6355	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	1	570	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	2	1374	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	3	1600	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	4	2599	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	5	3732	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	6	4352	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	7	5063	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	8	6113	
KAJ7372391.1	GCA_029204205.1	MU826837.1		1578761	1568861	-	9901	ass	9	9842	
KAJ7372392.1	GCA_029204205.1	MU826837.1		1605384	1608327	+	2944	dss	1	6	
KAJ7372392.1	GCA_029204205.1	MU826837.1		1605384	1608327	+	2944	dss	2	880	
KAJ7372392.1	GCA_029204205.1	MU826837.1		1605384	1608327	+	2944	dss	3	1112	
KAJ7372392.1	GCA_029204205.1	MU826837.1		1605384	1608327	+	2944	ass	1	803	
KAJ7372392.1	GCA_029204205.1	MU826837.1		1605384	1608327	+	2944	ass	2	1023	
KAJ7372392.1	GCA_029204205.1	MU826837.1		1605384	1608327	+	2944	ass	3	1889	
KAJ7372393.1	GCA_029204205.1	MU826837.1		1617214	1616732	-	483	dss	1	87	
KAJ7372393.1	GCA_029204205.1	MU826837.1		1617214	1616732	-	483	ass	1	268	
KAJ7372397.1	GCA_029204205.1	MU826837.1		1715678	1714507	-	1172	dss	1	582	
KAJ7372397.1	GCA_029204205.1	MU826837.1		1715678	1714507	-	1172	ass	1	957	
KAJ7372399.1	GCA_029204205.1	MU826837.1		1783584	1784658	+	1075	dss	1	340	
KAJ7372399.1	GCA_029204205.1	MU826837.1		1783584	1784658	+	1075	ass	1	453	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	dss	1	146	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	dss	2	2118	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	dss	3	2757	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	dss	4	4671	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	dss	5	5331	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	dss	6	5762	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	ass	1	2058	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	ass	2	2653	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	ass	3	4507	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	ass	4	5254	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	ass	5	5673	
KAJ7372400.1	GCA_029204205.1	MU826837.1		1817349	1810002	-	7348	ass	6	6287	
KAJ7372402.1	GCA_029204205.1	MU826837.1	KAJ7372402.1	1872772	1872979	+	208				
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	dss	1	48	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	dss	2	729	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	dss	3	1606	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	dss	4	16159	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	dss	5	17969	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	dss	6	18670	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	ass	1	419	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	ass	2	1148	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	ass	3	16093	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	ass	4	17865	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	ass	5	18336	
KAJ7373533.1	GCA_029204205.1	MU826830.1		697755	718303	+	20549	ass	6	20054	
KAJ7373536.1	GCA_029204205.1	MU826830.1		787341	793239	+	5899	dss	1	74	
KAJ7373536.1	GCA_029204205.1	MU826830.1		787341	793239	+	5899	dss	2	1684	
KAJ7373536.1	GCA_029204205.1	MU826830.1		787341	793239	+	5899	dss	3	3098	
KAJ7373536.1	GCA_029204205.1	MU826830.1		787341	793239	+	5899	dss	4	3800	
KAJ7373536.1	GCA_029204205.1	MU826830.1		787341	793239	+	5899	ass	1	1618	
KAJ7373536.1	GCA_029204205.1	MU826830.1		787341	793239	+	5899	ass	2	2994	
KAJ7373536.1	GCA_029204205.1	MU826830.1		787341	793239	+	5899	ass	3	3472	
KAJ7373536.1	GCA_029204205.1	MU826830.1		787341	793239	+	5899	ass	4	5425	
KAJ7373538.1	GCA_029204205.1	MU826830.1		804806	807291	+	2486	dss	1	78	
KAJ7373538.1	GCA_029204205.1	MU826830.1		804806	807291	+	2486	dss	2	1555	
KAJ7373538.1	GCA_029204205.1	MU826830.1		804806	807291	+	2486	ass	1	1218	
KAJ7373538.1	GCA_029204205.1	MU826830.1		804806	807291	+	2486	ass	2	1979	
KAJ7373540.1	GCA_029204205.1	MU826830.1		825229	835471	+	10243	dss	1	105	
KAJ7373540.1	GCA_029204205.1	MU826830.1		825229	835471	+	10243	dss	2	8302	
KAJ7373540.1	GCA_029204205.1	MU826830.1		825229	835471	+	10243	ass	1	7974	
KAJ7373540.1	GCA_029204205.1	MU826830.1		825229	835471	+	10243	ass	2	9736	
KAJ7373744.1	GCA_029204205.1	MU826830.1		3187496	3192106	+	4611	dss	1	130	
KAJ7373744.1	GCA_029204205.1	MU826830.1		3187496	3192106	+	4611	ass	1	4349	
KAJ7377577.1	GCA_029204205.1	MU826376.1		191892	191067	-	826	dss	1	7	
KAJ7377577.1	GCA_029204205.1	MU826376.1		191892	191067	-	826	ass	1	324	
KAJ7377603.1	GCA_029204205.1	MU826376.1		702611	696939	-	5673	dss	1	42	
KAJ7377603.1	GCA_029204205.1	MU826376.1		702611	696939	-	5673	dss	2	2942	
KAJ7377603.1	GCA_029204205.1	MU826376.1		702611	696939	-	5673	ass	1	2218	
KAJ7377603.1	GCA_029204205.1	MU826376.1		702611	696939	-	5673	ass	2	5166	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	dss	1	140	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	dss	2	1105	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	dss	3	1419	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	dss	4	1945	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	dss	5	2506	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	dss	6	3947	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	ass	1	1051	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	ass	2	1315	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	ass	3	1781	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	ass	4	2429	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	ass	5	3858	
KAJ7383310.1	GCA_029204205.1	MU825902.1		669106	674468	+	5363	ass	6	4551	
KAJ7384289.1	GCA_029204205.1	MU825889.1		1111641	1118029	+	6389	dss	1	116	
KAJ7384289.1	GCA_029204205.1	MU825889.1		1111641	1118029	+	6389	ass	1	4838	
KAJ7384290.1	GCA_029204205.1	MU825889.1		1127497	1133443	+	5947	dss	1	116	
KAJ7384290.1	GCA_029204205.1	MU825889.1		1127497	1133443	+	5947	ass	1	4396	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	dss	1	82	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	dss	2	4272	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	dss	3	7378	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	dss	4	9563	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	dss	5	11668	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	ass	1	3962	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	ass	2	7271	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	ass	3	9486	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	ass	4	11591	
KAJ7385782.1	GCA_029204205.1	MU825879.1		1527405	1541543	+	14139	ass	5	13282	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	dss	1	230	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	dss	2	1198	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	dss	3	3004	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	dss	4	6092	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	dss	5	7734	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	dss	6	8694	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	dss	7	10043	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	ass	1	1150	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	ass	2	2900	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	ass	3	5928	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	ass	4	7651	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	ass	5	8617	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	ass	6	9668	
KAJ7387269.1	GCA_029204205.1	MU825874.1		4177229	4166429	-	10801	ass	7	10515	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	dss	1	66	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	dss	2	2122	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	dss	3	2609	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	dss	4	3127	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	dss	5	4255	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	dss	6	8683	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	dss	7	16289	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	dss	8	17482	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	ass	1	1890	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	ass	2	2561	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	ass	3	3023	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	ass	4	4094	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	ass	5	8603	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	ass	6	16212	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	ass	7	17107	
KAJ7387270.1	GCA_029204205.1	MU825874.1		4201187	4182948	-	18240	ass	8	17954	
KAJ7391769.1	GCA_029204205.1	MU825404.1		437719	439233	+	1515	dss	1	63	
KAJ7391769.1	GCA_029204205.1	MU825404.1		437719	439233	+	1515	dss	2	438	
KAJ7391769.1	GCA_029204205.1	MU825404.1		437719	439233	+	1515	ass	1	364	
KAJ7391769.1	GCA_029204205.1	MU825404.1		437719	439233	+	1515	ass	2	937	
KAK2546947.1	GCA_032359415.1	JARQWQ010000238.1		33893	19313	-	14581	dss	1	277	
KAK2546947.1	GCA_032359415.1	JARQWQ010000238.1		33893	19313	-	14581	dss	2	7997	
KAK2546947.1	GCA_032359415.1	JARQWQ010000238.1		33893	19313	-	14581	dss	3	8696	
KAK2546947.1	GCA_032359415.1	JARQWQ010000238.1		33893	19313	-	14581	dss	4	10092	
KAK2546947.1	GCA_032359415.1	JARQWQ010000238.1		33893	19313	-	14581	dss	5	10941	
