seq	cat	label	fe	mn	score
SP/cTP | CAXAMN010027783.1_K04564_0f8290	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | CAXAMN010027806.1_K04564_b422a6	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | DF239687.1_K04564_8557d9bb_with	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | siderastrea_symb_TRINITY_DN4050	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | pseudodiploria_symb_TRINITY_DN1	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | DF239687.1_K04564_210fd9cb_with	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | siderastrea_symb_TRINITY_DN4050	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | DF239687.1_K04564_387475d1_with	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | pseudodiploria_symb_TRINITY_DN1	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | BGPT01004387.1_K04564_42ae3337_	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | CAL1168149.1_with_leader_u55_PF	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | orbicella_symb_TRINITY_DN188752	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | c_goreaui_TRINITY_DN626_c0_g1_i	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | CAMXCT020000624.1_K04564_b47357	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | c_goreaui_TRINITY_DN626_c0_g1_i	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | CAMXCT020006499.1_K04564_c81ee4	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | orbicella_symb_TRINITY_DN188752	K04564	SP/cTP	0	7	0.7777777777777778
SP/cTP | BGPT01000358.1_K04564_070be8c8_	K04564	SP/cTP	0	7	0.7777777777777778
XP_005537203.1	ref	Mn	1	6	0.5555555555555556
Q42684_gree	ref	Mn	1	7	0.6666666666666666
P22799_ente	ref	Fe	1	5	0.4444444444444444
P00448_ente	ref	Mn	2	6	0.4444444444444444
P43019_ente	ref	Mn	2	6	0.4444444444444444
P57286_ente	ref	Mn	1	8	0.7777777777777778
Q8K9V4_ente	ref	Mn	1	8	0.7777777777777778
Q877B6_fung	ref	Mn	0	9	1.0
O75007_fung	ref	Mn	0	8	0.8888888888888888
XP_005538444.1	ref	Mn	0	8	0.8888888888888888
Q9P4T6_fung	ref	Mn	0	7	0.7777777777777778
Q92429_fung	ref	Mn	0	9	1.0
O49066_land	ref	Mn	0	8	0.8888888888888888
P11796_land	ref	Mn	0	8	0.8888888888888888
Q9SM64_land	ref	Mn	1	7	0.6666666666666666
mTP | CAK9047237.1_with_leader_u27_PF000	K04564	mTP	0	8	0.8888888888888888
P28768_mamm	ref	Mn	0	7	0.7777777777777778
Q8HXP1_mamm	ref	Mn	0	9	1.0
Q8HXP4_mamm	ref	Mn	0	9	1.0
Q8HXP5_mamm	ref	Mn	0	9	1.0
Q5VSB7_land	ref	Fe	7	1	-0.6666666666666666
P28759_land	ref	Fe	8	1	-0.7777777777777778
P22302_land	ref	Fe	7	1	-0.6666666666666666
P21276_land	ref	Fe	8	1	-0.7777777777777778
Q9AXR7_LpSOD	ref	Fe	8	0	-0.8888888888888888
P0AGD3_ente	ref	Fe	8	1	-0.7777777777777778
P0AGD4_ente	ref	Fe	8	1	-0.7777777777777778
P50061_cyan	ref	Fe	9	0	-1.0
Q8YSZ1_cyan	ref	Fe	9	0	-1.0
P77968_cyan	ref	Fe	9	0	-1.0
P18655_cyan	ref	Fe	8	1	-0.7777777777777778
