protein accession	sequence accession	genome accession	contig accession	pass all	category	hmm model	highest domain score
CALNXI010000019.1_K04564_9c58f698	CALNXI010000019.1_K04564_9c58f698_with_leader_u26_PF00081_M	GCA_942486025.1	CALNXI010000019.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	361.4
CALNXI010000019.1_K04564_9c58f698	CALNXI010000019.1_K04564_9c58f698_with_leader_u17_PF00081_M	GCA_942486025.1	CALNXI010000019.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	361.6
CAH3113625.1	CAH3113625.1	GCA_942486035.1	CALNXK010000026.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	168.3
CAH3121122.1	CAH3121122.1	GCA_942486035.1	CALNXK010000035.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	380.8
CAH3121122.1	CAH3121122.1_with_leader_u17_PF00081_M	GCA_942486035.1	CALNXK010000035.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	381.0
CALNXK010000026.1_K04564_ed584393	CALNXK010000026.1_K04564_ed584393_with_leader_u35_PF00081_anchor_M	GCA_942486035.1	CALNXK010000026.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	157.1
CALNXK010000035.1_K04564_4c740ac6	CALNXK010000035.1_K04564_4c740ac6_with_leader_u26_PF00081_M	GCA_942486035.1	CALNXK010000035.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	361.9
CALNXK010000035.1_K04564_4c740ac6	CALNXK010000035.1_K04564_4c740ac6_with_leader_u17_PF00081_M	GCA_942486035.1	CALNXK010000035.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	362.1
CAH3154858.1	CAH3154858.1	GCA_942486045.1	CALNXJ010000056.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	381.4
CALNXJ010000056.1_K04564_bcab822f	CALNXJ010000056.1_K04564_bcab822f_with_leader_u26_PF00081_M	GCA_942486045.1	CALNXJ010000056.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	344.2
OZ116702.1_K04564_7a632fe8	OZ116702.1_K04564_7a632fe8_with_leader_u26_PF00081_M	GCA_964199315.1	OZ116702.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	353.4
NW_001830281.1_K04564_aabf75a2	NW_001830281.1_K04564_aabf75a2_with_leader_u16_PF00081_M	GCF_000209225.1	NW_001830281.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	202.9
NW_001834379.1_K04564_218b7627	NW_001834379.1_K04564_218b7627_with_leader_u35_PF00081_M	GCF_000209225.1	NW_001834379.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	130.2
NW_001834409.1_K04564_dd4ebe9b	NW_001834409.1_K04564_dd4ebe9b_with_leader_u23_PF00081_M	GCF_000209225.1	NW_001834409.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	356.2
XP_001641079.1	XP_001641079.1	GCF_000209225.1	NW_001834409.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	373.2
XP_032242609.1	XP_032242609.1	GCF_000209225.1	NW_001834379.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	136.3
NW_015441130.1_K04564_74b04aa7	NW_015441130.1_K04564_74b04aa7_with_leader_u27_PF00081_M	GCF_000222465.1	NW_015441130.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	167.9
XP_015756014.1	XP_015756014.1	GCF_000222465.1	NW_015441130.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	173.2
NW_018384609.1_K04564_9ada1ad3	NW_018384609.1_K04564_9ada1ad3_with_leader_u26_PF00081_M	GCF_001417965.1	NW_018384609.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	339.2
NW_018385051.1_K04564_bf905449	NW_018385051.1_K04564_bf905449_with_leader_u32_PF00081_M	GCF_001417965.1	NW_018385051.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	128.8
XP_020892835.1	XP_020892835.1	GCF_001417965.1	NW_018384609.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	371.2
XP_020896468.1	XP_020896468.1	GCF_001417965.1	NW_018385051.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	139.8
NW_018149988.1_K04564_d6a2d83a	NW_018149988.1_K04564_d6a2d83a_with_leader_u26_PF00081_M	GCF_002042975.1	NW_018149988.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	352.0
XP_020624989.1	XP_020624989.1	GCF_002042975.1	NW_018149988.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	378.4
NW_019217915.1_K04564_8c7a1a6e	NW_019217915.1_K04564_8c7a1a6e_with_leader_u35_PF00081_M	GCF_002571385.2	NW_019217915.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	159.2
NW_019218106.1_K04564_a8e289e7	NW_019218106.1_K04564_a8e289e7_with_leader_u26_PF00081_M	GCF_002571385.2	NW_019218106.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	342.2
NW_019218106.1_K04564_a8e289e7	NW_019218106.1_K04564_a8e289e7_with_leader_u25_PF00081_M	GCF_002571385.2	NW_019218106.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	342.2
XP_022789717.1	XP_022789717.1	GCF_002571385.2	NW_019217915.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	163.1
XP_022799031.1	XP_022799031.1	GCF_002571385.2	NW_019218106.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	377.6
XP_022799031.1	XP_022799031.1_with_leader_u25_PF00081_M	GCF_002571385.2	NW_019218106.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	377.6
NW_020845403.1_K04564_b41b5453	NW_020845403.1_K04564_b41b5453_with_leader_u26_PF00081_M	GCF_003704095.1	NW_020845403.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	342.2
XP_027044652.1	XP_027044652.1	GCF_003704095.1	NW_020845403.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	285.8
XP_027045969.1	XP_027045969.1	GCF_003704095.1	NW_020845583.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	160.1
NW_021126546.1_K04564_2e4adbc0	NW_021126546.1_K04564_2e4adbc0_with_leader_u27_PF00081_M	GCF_004143615.1	NW_021126546.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	302.4
NW_021163045.1_K04564_93184bc0	NW_021163045.1_K04564_93184bc0_with_leader_u35_PF00081_M	GCF_004324835.1	NW_021163045.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	99.8
NW_021163057.1_K04564_58bba69c	NW_021163057.1_K04564_58bba69c_with_leader_u28_PF00081_M	GCF_004324835.1	NW_021163057.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	320.7
XP_028402961.1	XP_028402961.1	GCF_004324835.1	NW_021163045.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	112.3
XP_028405302.1	XP_028405302.1_with_leader_u28_PF00081_M	GCF_004324835.1	NW_021163057.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	355.3
NW_022259326.1_K04564_c5c784a5	NW_022259326.1_K04564_c5c784a5_with_leader_u26_PF00081_M	GCF_009602425.1	NW_022259326.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	344.8
NW_022259448.1_K04564_94b23c3f	NW_022259448.1_K04564_94b23c3f_with_leader_u34_PF00081_M	GCF_009602425.1	NW_022259448.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	31.3
XP_031555730.1	XP_031555730.1	GCF_009602425.1	NW_022259326.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	375.9
XP_031556222.1	XP_031556222.1	GCF_009602425.1	NW_022259448.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	68.2
XP_065051554.1	XP_065051554.1	GCF_013076305.1	NW_027019302.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	160.7
XP_065052710.1	XP_065052710.1	GCF_013076305.1	NW_027019306.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	362.7
NC_058072.1_K04564_d76f083e	NC_058072.1_K04564_d76f083e_with_leader_u27_PF00081_M	GCF_013753865.1	NC_058072.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	325.0
NC_058072.1_K04564_e7306cec	NC_058072.1_K04564_e7306cec_with_leader_u27_PF00081_M	GCF_013753865.1	NC_058072.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	329.1
XP_029200276.2	XP_029200276.2	GCF_013753865.1	NC_058072.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	351.1
XP_044179376.1	XP_044179376.1	GCF_013753865.1	NC_058072.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	351.8
NW_025813402.1_K04564_d3bead77	NW_025813402.1_K04564_d3bead77_with_leader_u26_PF00081_M	GCF_021976095.1	NW_025813402.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	316.1
NW_025813488.1_K04564_dc28fde6	NW_025813488.1_K04564_dc28fde6_with_leader_u35_PF00081_M	GCF_021976095.1	NW_025813488.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	89.3
NW_025813488.1_K04564_dc28fde6	NW_025813488.1_K04564_dc28fde6_with_leader_u26_PF00081_M	GCF_021976095.1	NW_025813488.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	89.5
XP_046848022.1	XP_046848022.1	GCF_021976095.1	NW_025813402.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	349.0
NW_026709483.1_K04564_f6c44c1b	NW_026709483.1_K04564_f6c44c1b_with_leader_u35_PF00081_M	GCF_030620025.1	NW_026709483.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	160.4
NW_026710474.1_K04564_6393b7b3	NW_026710474.1_K04564_6393b7b3_with_leader_u26_PF00081_M	GCF_030620025.1	NW_026710474.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	358.8
XP_058945240.1	XP_058945240.1	GCF_030620025.1	NW_026709483.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	160.0
XP_058961470.1	XP_058961470.1	GCF_030620025.1	NW_026710474.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	381.4
NC_090047.1_K04564_9ff9e7e6	NC_090047.1_K04564_9ff9e7e6_with_leader_u27_PF00081_M	GCF_036669905.1	NC_090047.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	326.8
XP_067022095.1	XP_067022095.1	GCF_036669905.1	NC_090047.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	353.6
NC_089313.1_K04564_d4ce240d	NC_089313.1_K04564_d4ce240d_with_leader_u35_PF00081_M	GCF_036669915.1	NC_089313.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	161.0
NC_089321.1_K04564_80b85b49	NC_089321.1_K04564_80b85b49_with_leader_u26_PF00081_M	GCF_036669915.1	NC_089321.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	342.4
XP_058945240.2	XP_058945240.2	GCF_036669915.1	NC_089313.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	160.4
NC_090883.1_K04564_15cd5c3b	NC_090883.1_K04564_15cd5c3b_with_leader_u26_PF00081_M	GCF_036669925.1	NC_090883.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	328.8
XP_068741652.1	XP_068741652.1	GCF_036669925.1	NC_090883.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	362.9
NC_090876.1_K04564_d2caed50	NC_090876.1_K04564_d2caed50_with_leader_u26_PF00081_M	GCF_036669935.1	NC_090876.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	330.5
XP_068715352.1	XP_068715352.1	GCF_036669935.1	NC_090876.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	364.7
NC_088930.1_K04564_c6107477	NC_088930.1_K04564_c6107477_with_leader_u22_PF00081_M	GCF_038396675.1	NC_088930.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	316.7
NP_001296665.1	NP_001296665.1	GCF_038396675.1	NC_088930.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	344.9
NC_064035.1_K04564_8bf6ddb6	NC_064035.1_K04564_8bf6ddb6_with_leader_u35_PF00081_M	GCF_932526225.1	NC_064035.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	130.2
NC_064035.1_K04564_e2e0e4b8	NC_064035.1_K04564_e2e0e4b8_with_leader_u23_PF00081_M	GCF_932526225.1	NC_064035.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	356.2
XP_048580243.1	XP_048580243.1	GCF_932526225.1	NC_064035.1	false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	136.3
NC_133203.1_K04564_101605b8	NC_133203.1_K04564_101605b8_with_leader_u26_PF00081_M	GCF_958299795.1	NC_133203.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	360.7
NC_133203.1_K04564_101605b8	NC_133203.1_K04564_101605b8_with_leader_u17_PF00081_M	GCF_958299795.1	NC_133203.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	360.9
XP_073236307.1	XP_073236307.1	GCF_958299795.1	NC_133203.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	379.6
XP_073236307.1	XP_073236307.1_with_leader_u17_PF00081_M	GCF_958299795.1	NC_133203.1	true	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	379.8
a_tenuis_TRINITY_DN8520_c0_g2_i1.p1	a_tenuis_TRINITY_DN8520_c0_g2_i1.p1			false	mt_cnidaria	mt_MnSOD_cnidaria_mature.hmm	245.5
MPSW01001707.1_K04564_7b9e297c	MPSW01001707.1_K04564_7b9e297c_with_leader_u26_PF00081_M	GCA_001896105.1	MPSW01001707.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	151.2
RDEB01000110.1_K04564_86e229fd	RDEB01000110.1_K04564_86e229fd_with_leader_u26_PF00081_M	GCA_006542545.1	RDEB01000110.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	141.7
BLAZ01000169.1_K04564_9f65b912	BLAZ01000169.1_K04564_9f65b912_with_leader_u27_PF00081_M	GCA_014633955.1	BLAZ01000169.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	122.1
BLEZ01003184.1_K04564_dc8bf6ad	BLEZ01003184.1_K04564_dc8bf6ad_with_leader_u27_PF00081_M	GCA_014633975.1	BLEZ01003184.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	126.9
BLFE01002088.1_K04564_10e43317	BLFE01002088.1_K04564_10e43317_with_leader_u27_PF00081_M	GCA_014634605.1	BLFE01002088.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	126.4
JAJLRJ010000007.1_K04564_fcb962ee	JAJLRJ010000007.1_K04564_fcb962ee_with_leader_u25_PF00081_M	GCA_024195265.1	JAJLRJ010000007.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	156.3
KAJ7371307.1	KAJ7371307.1	GCA_029204205.1	MU826849.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	170.6
KAJ7390115.1	KAJ7390115.1	GCA_029204205.1	MU825420.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	357.8
MU825420.1_K04564_3d91ab54	MU825420.1_K04564_3d91ab54_with_leader_u34_PF00081_M	GCA_029204205.1	MU825420.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	313.6
MU826849.1_K04564_291d850d	MU826849.1_K04564_291d850d_with_leader_u26_PF00081_M	GCA_029204205.1	MU826849.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	165.4
JARQWQ010000030.1_K04564_a7361c5a	JARQWQ010000030.1_K04564_a7361c5a_with_leader_u27_PF00081_M	GCA_032359415.1	JARQWQ010000030.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	125.9
KAK2562129.1	KAK2562129.1	GCA_032359415.1	JARQWQ010000030.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	81.9
KAK2562129.1	KAK2562129.1_with_leader_u27_PF00081_M	GCA_032359415.1	JARQWQ010000030.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	82.0
JAUJYZ010000740.1_K04564_87e6c451	JAUJYZ010000740.1_K04564_87e6c451_with_leader_u26_PF00081_anchor_M	GCA_033675265.1	JAUJYZ010000740.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	156.7
JAUJYZ010000745.1_K04564_47603ed6	JAUJYZ010000745.1_K04564_47603ed6_with_leader_u31_PF00081_M	GCA_033675265.1	JAUJYZ010000745.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	298.3
KAK3736516.1	KAK3736516.1	GCA_033675265.1	JAUJYZ010000745.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	359.6
KAK3736644.1	KAK3736644.1	GCA_033675265.1	JAUJYZ010000740.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	164.3
CM106374.1_K04564_529830d2	CM106374.1_K04564_529830d2_with_leader_u26_PF00081_M	GCA_047906015.2	CM106374.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	164.0
CM106378.1_K04564_64fa28d1	CM106378.1_K04564_64fa28d1_with_leader_u33_PF00081_M	GCA_047906015.2	CM106378.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	313.0
CAB3989857.1	CAB3989857.1	GCA_902702795.2	CACRXK020001562.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	324.5
CAB3994625.1	CAB3994625.1	GCA_902702795.2	CACRXK020002501.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	46.1
CACRXK020001562.1_K04564_ba438d0e	CACRXK020001562.1_K04564_ba438d0e_with_leader_u35_PF00081_M	GCA_902702795.2	CACRXK020001562.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	263.2
CACRXK020002501.1_K04564_f2b5b9d1	CACRXK020002501.1_K04564_f2b5b9d1_with_leader_u28_PF00081_M	GCA_902702795.2	CACRXK020002501.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	45.9
CAH3015114.1	CAH3015114.1_with_leader_u26_PF00081_M	GCA_942486025.1	CALNXI010000019.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	158.4
CAH3015114.1	CAH3015114.1_with_leader_u17_PF00081_M	GCA_942486025.1	CALNXI010000019.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	158.6
CALNXI010000019.1_K04564_9c58f698	CALNXI010000019.1_K04564_9c58f698_with_leader_u26_PF00081_M	GCA_942486025.1	CALNXI010000019.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	151.9
CALNXI010000019.1_K04564_9c58f698	CALNXI010000019.1_K04564_9c58f698_with_leader_u17_PF00081_M	GCA_942486025.1	CALNXI010000019.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	152.1
CAH3113625.1	CAH3113625.1	GCA_942486035.1	CALNXK010000026.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	353.0
CAH3121122.1	CAH3121122.1	GCA_942486035.1	CALNXK010000035.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	159.8
CAH3121122.1	CAH3121122.1_with_leader_u17_PF00081_M	GCA_942486035.1	CALNXK010000035.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	160.1
CALNXK010000026.1_K04564_ed584393	CALNXK010000026.1_K04564_ed584393_with_leader_u35_PF00081_anchor_M	GCA_942486035.1	CALNXK010000026.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	304.5
CALNXK010000035.1_K04564_4c740ac6	CALNXK010000035.1_K04564_4c740ac6_with_leader_u26_PF00081_M	GCA_942486035.1	CALNXK010000035.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	153.4
CALNXK010000035.1_K04564_4c740ac6	CALNXK010000035.1_K04564_4c740ac6_with_leader_u17_PF00081_M	GCA_942486035.1	CALNXK010000035.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	153.6
CAH3154858.1	CAH3154858.1	GCA_942486045.1	CALNXJ010000056.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	163.2
CALNXJ010000056.1_K04564_bcab822f	CALNXJ010000056.1_K04564_bcab822f_with_leader_u26_PF00081_M	GCA_942486045.1	CALNXJ010000056.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	140.8
OZ116702.1_K04564_7a632fe8	OZ116702.1_K04564_7a632fe8_with_leader_u26_PF00081_M	GCA_964199315.1	OZ116702.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	154.7
NW_001830281.1_K04564_aabf75a2	NW_001830281.1_K04564_aabf75a2_with_leader_u16_PF00081_M	GCF_000209225.1	NW_001830281.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	200.2
NW_001834379.1_K04564_218b7627	NW_001834379.1_K04564_218b7627_with_leader_u35_PF00081_M	GCF_000209225.1	NW_001834379.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	290.9
NW_001834409.1_K04564_dd4ebe9b	NW_001834409.1_K04564_dd4ebe9b_with_leader_u23_PF00081_M	GCF_000209225.1	NW_001834409.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	168.4
XP_001641079.1	XP_001641079.1	GCF_000209225.1	NW_001834409.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	168.7
XP_032242609.1	XP_032242609.1	GCF_000209225.1	NW_001834379.1	true	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	351.0
NW_015441130.1_K04564_74b04aa7	NW_015441130.1_K04564_74b04aa7_with_leader_u27_PF00081_M	GCF_000222465.1	NW_015441130.1	false	sp_cnidaria	sp_MnSOD_cnidaria_mature.hmm	56.5
