protein_accession	genome	compartment	KO	evalue	bitscore	bitscore_threshold	query_start	query_end	target_start	target_end	prot_len	leader_len	met_start	has_leader	KO_name
CAE6973481.1	GCA_905221605.1	cytosol	K02910	1.30E-53	182.1	25.4	5	120	31	147	121	4	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAE7022871.1	GCA_905221605.1	cytosol	K02995	2.10E-98	329.4	41.23	1	208	34	237	209	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE7035065.1	GCA_905221605.1	cytosol	K02981	1.90E-126	422.9	250.33	4	256	56	309	261	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE7035069.1	GCA_905221605.1	cytosol	K02981	1.90E-126	422.9	250.33	4	256	56	309	261	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE7219877.1	GCA_905221605.1	cytosol	K02866	5.70E-109	365.0	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE7241699.1	GCA_905221605.1	cytosol	K02981	1.00E-125	420.5	250.33	4	259	56	312	261	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE7243742.1	GCA_905221605.1	cytosol	K02880	6.20E-90	302.4	152.63	271	536	23	247	545	270	True	True	RP-L17e, RPL17; large subunit ribosomal protein L17e
CAE7277167.1	GCA_905221605.1	cytosol	K02997	3.70E-105	352.6	172.63	6	191	27	211	192	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE7277190.1	GCA_905221605.1	cytosol	K02997	3.70E-105	352.6	172.63	6	191	27	211	192	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE7293635.1	GCA_905221605.1	cytosol	K02930	4.90E-165	551.0	92.3	1	405	100	495	649	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAE7317709.1	GCA_905221605.1	cytosol	K02997	2.40E-103	346.6	172.63	6	191	27	211	192	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE7370737.1	GCA_905221605.1	cytosol	K02932	6.00E-132	441.8	152.2	1	320	76	368	661	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE7409504.1	GCA_905221605.1	cytosol	K02993	3.60E-72	244.2	75	1	190	42	232	192	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE7445158.1	GCA_905221605.1	cytosol	K02991	5.70E-109	365.2	54.6	1	230	24	256	233	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE7462997.1	GCA_905221605.1	cytosol	K02991	3.00E-99	333.2	54.6	109	333	30	256	339	108	True	True	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE7463767.1	GCA_905221605.1	cytosol	K02896	3.20E-35	122.9	31.8	343	537	25	216	754	342	True	True	RP-L24e, RPL24; large subunit ribosomal protein L24e
CAE7533677.1	GCA_905221605.1	cytosol	K02866	4.00E-111	372.1	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE7600962.1	GCA_905221605.1	cytosol	K02873	5.80E-82	276.3	38.27	3	216	50	253	218	2	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE7191322.1	GCA_905231915.1	cytosol	K02896	1.50E-36	127.3	31.8	356	564	12	216	582	355	True	True	RP-L24e, RPL24; large subunit ribosomal protein L24e
CAE7211452.1	GCA_905231915.1	cytosol	K02873	4.10E-84	283.4	38.27	367	593	37	252	881	366	False	True	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE7362440.1	GCA_905231915.1	cytosol	K02991	3.40E-101	339.6	54.6	1	220	35	257	225	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE7442698.1	GCA_905231915.1	cytosol	K02995	1.80E-97	326.4	41.23	1	208	34	237	209	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE7460826.1	GCA_905231915.1	cytosol	K02866	9.80E-110	367.5	95.23	1	207	50	258	215	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE7517004.1	GCA_905231915.1	cytosol	K02997	2.00E-98	330.4	172.63	6	182	27	202	572	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE7647247.1	GCA_905231915.1	cytosol	K02981	5.10E-127	424.8	250.33	4	256	56	309	261	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE7786716.1	GCA_905231915.1	cytosol	K02997	1.30E-98	331.1	172.63	766	944	21	197	945	765	True	True	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE7817835.1	GCA_905231915.1	cytosol	K02889	8.40E-55	186.6	35.87	8	203	50	240	949	7	True	False	RP-L21e, RPL21; large subunit ribosomal protein L21e
CAE7834837.1	GCA_905231915.1	cytosol	K02997	2.40E-103	346.6	172.63	6	191	27	211	192	5	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE7841718.1	GCA_905231915.1	cytosol	K02870	4.70E-44	152.2	134.1	275	510	50	246	510	274	False	True	RP-L12e, RPL12; large subunit ribosomal protein L12e
CAE7847665.1	GCA_905231915.1	cytosol	K02910	8.60E-44	150.0	25.4	140	238	24	125	252	139	True	True	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAE7900126.1	GCA_905231915.1	cytosol	K02932	1.10E-126	424.4	152.2	1	307	76	366	312	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE7944760.1	GCA_905231915.1	cytosol	K02991	1.70E-109	366.9	54.6	698	948	22	260	3461	697	True	True	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8581154.1	GCA_905237085.1	cytosol	K02873	5.50E-82	276.4	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8581155.1	GCA_905237085.1	cytosol	K02873	5.50E-82	276.4	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8581156.1	GCA_905237085.1	cytosol	K02873	5.50E-82	276.4	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8581159.1	GCA_905237085.1	cytosol	K02873	1.90E-81	274.6	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8581498.1	GCA_905237085.1	cytosol	K02866	2.10E-110	369.8	95.23	1	202	50	256	211	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8582557.1	GCA_905237085.1	cytosol	K02932	3.70E-126	422.6	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8582618.1	GCA_905237085.1	cytosol	K02932	8.50E-127	424.7	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8582648.1	GCA_905237085.1	cytosol	K02993	4.90E-74	250.3	75	1	191	42	232	193	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8582701.1	GCA_905237085.1	cytosol	K02873	3.30E-81	273.8	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8582704.1	GCA_905237085.1	cytosol	K02873	5.50E-82	276.4	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8582705.1	GCA_905237085.1	cytosol	K02873	5.50E-82	276.4	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8582706.1	GCA_905237085.1	cytosol	K02873	5.50E-82	276.4	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8582731.1	GCA_905237085.1	cytosol	K02866	9.40E-115	384.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8582839.1	GCA_905237085.1	cytosol	K02930	7.40E-169	563.7	92.3	1	398	100	495	407	0	True	False	RP-L4e, RPL4; large subunit ribosomal protein L4e
CAE8583464.1	GCA_905237085.1	cytosol	K02960	7.70E-79	265.2	157.47	957	1109	30	183	1109	956	True	True	RP-S16e, RPS16; small subunit ribosomal protein S16e
CAE8583582.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8584199.1	GCA_905237085.1	cytosol	K02932	1.60E-127	427.2	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8584201.1	GCA_905237085.1	cytosol	K02932	1.80E-127	427.0	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8584203.1	GCA_905237085.1	cytosol	K02932	2.10E-127	426.8	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8584447.1	GCA_905237085.1	cytosol	K02993	4.40E-71	240.6	75	1	187	42	228	351	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8585453.1	GCA_905237085.1	cytosol	K02960	6.60E-80	268.7	157.47	40	186	36	183	186	39	True	True	RP-S16e, RPS16; small subunit ribosomal protein S16e
CAE8585673.1	GCA_905237085.1	cytosol	K02932	1.00E-127	427.8	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8587143.1	GCA_905237085.1	cytosol	K02981	2.90E-127	425.6	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8587277.1	GCA_905237085.1	cytosol	K02932	9.80E-128	427.9	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8591509.1	GCA_905237085.1	cytosol	K02993	8.80E-71	239.6	75	27	220	40	229	694	26	False	True	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8591585.1	GCA_905237085.1	cytosol	K02995	2.50E-94	316.0	41.23	1	203	34	237	204	0	True	False	RP-S8e, RPS8; small subunit ribosomal protein S8e
CAE8591824.1	GCA_905237085.1	cytosol	K02873	1.90E-78	264.8	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8591890.1	GCA_905237085.1	cytosol	K02993	1.40E-55	189.6	75	1	174	42	232	176	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8592101.1	GCA_905237085.1	cytosol	K02932	1.00E-93	315.6	152.2	1	285	76	366	291	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8593305.1	GCA_905237085.1	cytosol	K02932	2.20E-127	426.7	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8593306.1	GCA_905237085.1	cytosol	K02932	2.20E-127	426.7	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8593307.1	GCA_905237085.1	cytosol	K02932	6.80E-127	425.1	152.2	1	324	76	368	864	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8594131.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8594132.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8594133.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8594134.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8594135.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8594486.1	GCA_905237085.1	cytosol	K02981	6.60E-127	424.4	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8595870.1	GCA_905237085.1	cytosol	K02932	8.50E-127	424.7	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8596064.1	GCA_905237085.1	cytosol	K02981	1.60E-126	423.1	250.33	4	260	56	310	265	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8596065.1	GCA_905237085.1	cytosol	K02981	1.60E-126	423.1	250.33	4	260	56	310	265	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8596066.1	GCA_905237085.1	cytosol	K02981	7.30E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8596068.1	GCA_905237085.1	cytosol	K02981	6.30E-127	424.5	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8597182.1	GCA_905237085.1	cytosol	K02932	1.00E-127	427.8	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8597311.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8597872.1	GCA_905237085.1	cytosol	K02932	1.50E-127	427.2	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8598160.1	GCA_905237085.1	cytosol	K02981	7.30E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8598863.1	GCA_905237085.1	cytosol	K02981	9.10E-127	423.9	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8599022.1	GCA_905237085.1	cytosol	K02910	4.70E-53	180.2	25.4	43	171	24	147	172	42	True	True	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAE8599068.1	GCA_905237085.1	cytosol	K02981	6.60E-127	424.4	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8599108.1	GCA_905237085.1	cytosol	K02901	6.30E-52	176.6	63.97	559	693	33	160	709	558	True	True	RP-L27e, RPL27; large subunit ribosomal protein L27e
CAE8599692.1	GCA_905237085.1	cytosol	K02997	2.20E-52	179.1	172.63	8	113	28	133	132	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8599697.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8599698.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8601167.1	GCA_905237085.1	cytosol	K02993	2.50E-74	251.3	75	1	191	42	232	193	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8601177.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8601178.1	GCA_905237085.1	cytosol	K02866	1.30E-115	386.8	95.23	237	447	46	256	453	236	True	True	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8601180.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8601414.1	GCA_905237085.1	cytosol	K02932	1.50E-127	427.2	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8601536.1	GCA_905237085.1	cytosol	K02932	1.20E-128	430.9	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8602248.1	GCA_905237085.1	cytosol	K02873	9.50E-82	275.6	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8602933.1	GCA_905237085.1	cytosol	K02901	1.50E-49	168.8	63.97	210	347	32	162	361	209	False	True	RP-L27e, RPL27; large subunit ribosomal protein L27e
CAE8603294.1	GCA_905237085.1	cytosol	K02981	2.90E-127	425.6	250.33	20	280	54	310	285	19	False	True	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8603303.1	GCA_905237085.1	cytosol	K02873	1.90E-80	271.4	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8603687.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8603688.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8603690.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8604048.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8604049.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8604050.1	GCA_905237085.1	cytosol	K02866	2.00E-115	386.2	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8604451.1	GCA_905237085.1	cytosol	K02932	2.50E-127	426.5	152.2	1	308	76	367	314	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8605095.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8605096.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8605097.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8605098.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8605783.1	GCA_905237085.1	cytosol	K02991	4.10E-110	369.0	54.6	1	228	24	256	231	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8605784.1	GCA_905237085.1	cytosol	K02991	1.20E-109	367.5	54.6	1	228	24	256	231	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8605785.1	GCA_905237085.1	cytosol	K02991	4.10E-110	369.0	54.6	1	228	24	256	231	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8605786.1	GCA_905237085.1	cytosol	K02991	4.10E-110	369.0	54.6	1	228	24	256	231	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8607893.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8607894.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8607895.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8607896.1	GCA_905237085.1	cytosol	K02866	1.90E-116	389.6	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8608200.1	GCA_905237085.1	cytosol	K02991	4.80E-110	368.8	54.6	1	229	24	257	232	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8610159.1	GCA_905237085.1	cytosol	K02997	7.00E-106	354.9	172.63	8	194	28	211	195	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8610573.1	GCA_905237085.1	cytosol	K02962	3.80E-73	247.1	30.53	453	644	40	219	653	452	True	True	RP-S17e, RPS17; small subunit ribosomal protein S17e
CAE8611224.1	GCA_905237085.1	cytosol	K02993	1.60E-72	245.3	75	1	191	42	232	193	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8611273.1	GCA_905237085.1	cytosol	K02932	3.00E-126	422.9	152.2	1	308	76	367	314	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8611849.1	GCA_905237085.1	cytosol	K02991	7.80E-109	364.8	54.6	1	228	24	256	231	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8612207.1	GCA_905237085.1	cytosol	K02910	1.10E-51	175.8	25.4	1	121	25	147	122	0	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAE8612935.1	GCA_905237085.1	cytosol	K02993	3.60E-73	247.4	75	1	191	42	232	193	0	True	False	RP-S7e, RPS7; small subunit ribosomal protein S7e
CAE8613225.1	GCA_905237085.1	cytosol	K02873	3.00E-80	270.7	38.27	1	214	48	251	219	0	True	False	RP-L13e, RPL13; large subunit ribosomal protein L13e
CAE8613562.1	GCA_905237085.1	cytosol	K02910	1.10E-51	175.8	25.4	1	121	25	147	122	0	True	False	RP-L31e, RPL31; large subunit ribosomal protein L31e
CAE8614114.1	GCA_905237085.1	cytosol	K02932	1.20E-128	430.9	152.2	1	307	76	366	313	0	True	False	RP-L5e, RPL5; large subunit ribosomal protein L5e
CAE8614307.1	GCA_905237085.1	cytosol	K02997	1.20E-105	354.1	172.63	148	342	22	211	343	147	False	True	RP-S9e, RPS9; small subunit ribosomal protein S9e
CAE8615019.1	GCA_905237085.1	cytosol	K02981	6.90E-127	424.3	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8615139.1	GCA_905237085.1	cytosol	K02981	6.30E-127	424.5	250.33	4	262	56	310	267	3	True	False	RP-S2e, RPS2; small subunit ribosomal protein S2e
CAE8616607.1	GCA_905237085.1	cytosol	K02866	5.80E-116	388.0	95.23	1	207	50	256	213	0	True	False	RP-L10e, RPL10; large subunit ribosomal protein L10e
CAE8617127.1	GCA_905237085.1	cytosol	K02991	7.40E-112	374.7	54.6	1	231	24	259	620	0	True	False	RP-S6e, RPS6; small subunit ribosomal protein S6e
CAE8617574.1	GCA_905237085.1	cytosol	K02997	3.90E-65	221.0	172.63	8	128	28	148	139	7	True	False	RP-S9e, RPS9; small subunit ribosomal protein S9e
