protein accession	sequence accession	genome accession	contig accession	pass all	Leader().upstreamOfPfam('PF00081').betweenAA(-70, -15)	HMMAlignment('algae_sod2_sp_ctp_leader.hmm').spans(3, 50).between(1, 60)	Pfam.matches('PF00081')	Pfam.matches('PF02777')	KO.matches('K04564', bound_cterm=True)	HMMAlignment('k04564.hmm').is_at('H', 61)	HMMAlignment('k04564.hmm').is_at('H', 106)	HMMAlignment('k04564.hmm').is_at('D', 187)	HMMAlignment('k04564.hmm').is_at('H', 191)	HMMAlignment('k04564.hmm').matches_regex('[QDK]', 196)
BGPT01000358.1_K04564_070be8c8	BGPT01000358.1_K04564_070be8c8_with_leader_u54_PF00081_M_to_K04564_203	GCA_003297045.1	BGPT01000358.1	true	true	true	true	true	true	true	true	true	true	true
BGPT01000358.1_K04564_070be8c8	BGPT01000358.1_K04564_070be8c8_with_leader_u34_PF00081_M_to_K04564_203	GCA_003297045.1	BGPT01000358.1	false	true	false	true	true	true	true	true	true	true	true
BGPT01004387.1_K04564_42ae3337	BGPT01004387.1_K04564_42ae3337_with_leader_u55_PF00081_M_to_K04564_204	GCA_003297045.1	BGPT01004387.1	true	true	true	true	true	true	true	true	true	true	true
BGPT01004387.1_K04564_42ae3337	BGPT01004387.1_K04564_42ae3337_with_leader_u39_PF00081_M_to_K04564_204	GCA_003297045.1	BGPT01004387.1	false	true	false	true	true	true	true	true	true	true	true
CAE7445615.1	CAE7445615.1_with_leader_u54_PF00081_M_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	false	true	false	true	true	true	true	true	true	true	true
CAE7445615.1	CAE7445615.1_with_leader_u52_PF00081_M_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	false	true	false	true	true	true	true	true	true	true	true
CAE7445615.1	CAE7445615.1_with_leader_u47_PF00081_M_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	false	true	false	true	true	true	true	true	true	true	true
CAE7445615.1	CAE7445615.1_with_leader_u20_PF00081_M_to_K04564_242	GCA_905221605.1	CAJNDS010002352.1	false	true	false	true	true	true	true	true	true	true	true
CAE7459428.1	CAE7459428.1_with_leader_u39_PF00081_M_to_K04564_401	GCA_905221605.1	CAJNDS010002396.1	false	true	false	true	true	true	true	true	true	true	true
CAJNDS010002352.1_K04564_638e9d57	CAJNDS010002352.1_K04564_638e9d57_with_leader_u31_PF00081_M_to_K04564_176	GCA_905221605.1	CAJNDS010002352.1	false	true	false	true	true	true	true	true	true	true	true
CAJNDS010002544.1_K04564_89a3bd15	CAJNDS010002544.1_K04564_89a3bd15_with_leader_u68_PF00081_M_to_K04564_203	GCA_905221605.1	CAJNDS010002544.1	false	true	false	true	true	true	true	true	true	true	true
CAJNDS010002544.1_K04564_89a3bd15	CAJNDS010002544.1_K04564_89a3bd15_with_leader_u48_PF00081_M_to_K04564_203	GCA_905221605.1	CAJNDS010002544.1	false	true	false	true	true	true	true	true	true	true	true
CAE7848606.1	CAE7848606.1_with_leader_u60_PF00081_M_to_K04564_997	GCA_905231915.1	CAJNJA010052942.1	true	true	true	true	true	true	true	true	true	true	true
CAE7848606.1	CAE7848606.1_with_leader_u36_PF00081_M_to_K04564_997	GCA_905231915.1	CAJNJA010052942.1	false	true	false	true	true	true	true	true	true	true	true
CAJNJA010052942.1_K04564_06e367ea	CAJNJA010052942.1_K04564_06e367ea_with_leader_u60_PF00081_M_to_K04564_198	GCA_905231915.1	CAJNJA010052942.1	true	true	true	true	true	true	true	true	true	true	true
CAJNJA010052942.1_K04564_06e367ea	CAJNJA010052942.1_K04564_06e367ea_with_leader_u36_PF00081_M_to_K04564_198	GCA_905231915.1	CAJNJA010052942.1	false	true	false	true	true	true	true	true	true	true	true
CAE8598837.1	CAE8598837.1_with_leader_u65_PF00081_M_to_K04564_270	GCA_905237085.1	CAJNNV010010613.1	true	true	true	true	true	true	true	true	true	true	true
CAE8598837.1	CAE8598837.1_with_leader_u54_PF00081_M_to_K04564_270	GCA_905237085.1	CAJNNV010010613.1	false	true	false	true	true	true	true	true	true	true	true
CAE8604820.1	CAE8604820.1_with_leader_u65_PF00081_M_to_K04564_269	GCA_905237085.1	CAJNNV010016980.1	true	true	true	true	true	true	true	true	true	true	true
CAE8604820.1	CAE8604820.1_with_leader_u54_PF00081_M_to_K04564_269	GCA_905237085.1	CAJNNV010016980.1	false	true	false	true	true	true	true	true	true	true	true
CAE8627582.1	CAE8627582.1_with_leader_u15_PF00081_M_to_K04564_542	GCA_905237085.1	CAJNNV010029213.1	false	true	false	true	false	true	true	true	false	false	false
CAE8628319.1	CAE8628319.1_with_leader_u26_PF00081_M_to_K04564_235	GCA_905237085.1	CAJNNV010029372.1	false	true	false	true	true	true	true	true	true	true	true
CAE8631912.1	CAE8631912.1_with_leader_u59_PF00081_M_to_K04564_263	GCA_905237085.1	CAJNNV010030245.1	true	true	true	true	true	true	true	true	true	true	true
CAE8631912.1	CAE8631912.1_with_leader_u15_PF00081_M_to_K04564_263	GCA_905237085.1	CAJNNV010030245.1	false	true	false	true	true	true	true	true	true	true	true
CAL1167723.1	CAL1167723.1_with_leader_u43_PF00081_M_to_K04564_350	GCA_947184155.2	CAMXCT020006312.1	false	true	false	true	true	true	true	true	true	true	true
CAL1167723.1	CAL1167723.1_with_leader_u21_PF00081_M_to_K04564_350	GCA_947184155.2	CAMXCT020006312.1	false	true	false	true	true	true	true	true	true	true	true
CAL1168149.1	CAL1168149.1_with_leader_u55_PF00081_M_to_K04564_258	GCA_947184155.2	CAMXCT020006499.1	true	true	true	true	true	true	true	true	true	true	true
CAL1168155.1	CAL1168155.1_with_leader_u55_PF00081_M_to_K04564_293	GCA_947184155.2	CAMXCT020006499.1	true	true	true	true	true	true	true	true	true	true	true
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u48_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	true	false	true	true	true	true	true	true	true	true
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u40_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	true	false	true	true	true	true	true	true	true	true
CAMXCT020000001.1_K04564_24b48a7d	CAMXCT020000001.1_K04564_24b48a7d_with_leader_u26_PF00081_M_to_K04564_208	GCA_947184155.2	CAMXCT020000001.1	false	true	false	true	true	true	true	true	true	true	true
CAMXCT020000624.1_K04564_b4735730	CAMXCT020000624.1_K04564_b4735730_with_leader_u53_PF00081_M_to_K04564_203	GCA_947184155.2	CAMXCT020000624.1	true	true	true	true	true	true	true	true	true	true	true
CAMXCT020006499.1_K04564_88d2492d	CAMXCT020006499.1_K04564_88d2492d_with_leader_u55_PF00081_M_to_K04564_203	GCA_947184155.2	CAMXCT020006499.1	true	true	true	true	true	true	true	true	true	true	true
CAMXCT020006499.1_K04564_c81ee4b4	CAMXCT020006499.1_K04564_c81ee4b4_with_leader_u55_PF00081_M_to_K04564_203	GCA_947184155.2	CAMXCT020006499.1	true	true	true	true	true	true	true	true	true	true	true
CAK9047237.1	CAK9047237.1_with_leader_u27_PF00081_M_to_K04564_344	GCA_963969995.1	CAXAMM010020073.1	false	true	false	true	true	true	true	true	true	true	true
CAK9091470.1	CAK9091470.1_with_leader_u18_PF00081_M_to_K04564_868	GCA_963969995.1	CAXAMM010040162.1	false	true	false	true	true	true	true	true	true	true	true
CAK9100252.1	CAK9100252.1_with_leader_u21_PF00081_M_to_K04564_230	GCA_963969995.1	CAXAMM010041596.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010020073.1_K04564_521e95f5	CAXAMM010020073.1_K04564_521e95f5_with_leader_u27_PF00081_M_to_K04564_197	GCA_963969995.1	CAXAMM010020073.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010025685.1_K04564_b43539e3	CAXAMM010025685.1_K04564_b43539e3_with_leader_u30_PF00081_M_to_K04564_92	GCA_963969995.1	CAXAMM010025685.1	false	true	false	true	false	true	true	true	false	false	false
CAXAMM010040162.1_K04564_a70eaf5e	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u52_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	true	true	true	true	true	true	true	true	true	true	true
CAXAMM010040162.1_K04564_a70eaf5e	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u38_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010040162.1_K04564_a70eaf5e	CAXAMM010040162.1_K04564_a70eaf5e_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010040162.1_K04564_f9608fa6	CAXAMM010040162.1_K04564_f9608fa6_with_leader_u52_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	true	true	true	true	true	true	true	true	true	true	true
CAXAMM010040162.1_K04564_f9608fa6	CAXAMM010040162.1_K04564_f9608fa6_with_leader_u38_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010040162.1_K04564_f9608fa6	CAXAMM010040162.1_K04564_f9608fa6_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040162.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010040173.1_K04564_1d3f7085	CAXAMM010040173.1_K04564_1d3f7085_with_leader_u52_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	true	true	true	true	true	true	true	true	true	true	true
CAXAMM010040173.1_K04564_1d3f7085	CAXAMM010040173.1_K04564_1d3f7085_with_leader_u38_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010040173.1_K04564_1d3f7085	CAXAMM010040173.1_K04564_1d3f7085_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010040173.1_K04564_b38f776c	CAXAMM010040173.1_K04564_b38f776c_with_leader_u52_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	true	true	true	true	true	true	true	true	true	true	true
CAXAMM010040173.1_K04564_b38f776c	CAXAMM010040173.1_K04564_b38f776c_with_leader_u38_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMM010040173.1_K04564_b38f776c	CAXAMM010040173.1_K04564_b38f776c_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	true	false	true	true	true	true	true	true	true	true
CAK9032107.1	CAK9032107.1_with_leader_u21_PF00081_M_to_K04564_230	GCA_963970005.1	CAXAMN010010569.1	false	true	false	true	true	true	true	true	true	true	true
CAK9113181.1	CAK9113181.1_with_leader_u52_PF00081_M_to_K04564_257	GCA_963970005.1	CAXAMN010027806.1	true	true	true	true	true	true	true	true	true	true	true
CAK9113181.1	CAK9113181.1_with_leader_u38_PF00081_M_to_K04564_257	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
CAK9113181.1	CAK9113181.1_with_leader_u18_PF00081_M_to_K04564_257	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
CAK9113185.1	CAK9113185.1_with_leader_u64_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
CAK9113185.1	CAK9113185.1_with_leader_u35_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
CAK9113185.1	CAK9113185.1_with_leader_u21_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
CAK9113185.1	CAK9113185.1_with_leader_u18_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMN010027783.1_K04564_0f8290bd	CAXAMN010027783.1_K04564_0f8290bd_with_leader_u52_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	true	true	true	true	true	true	true	true	true	true	true
CAXAMN010027783.1_K04564_0f8290bd	CAXAMN010027783.1_K04564_0f8290bd_with_leader_u38_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMN010027783.1_K04564_0f8290bd	CAXAMN010027783.1_K04564_0f8290bd_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMN010027783.1_K04564_a5ab1868	CAXAMN010027783.1_K04564_a5ab1868_with_leader_u52_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	true	true	true	true	true	true	true	true	true	true	true
CAXAMN010027783.1_K04564_a5ab1868	CAXAMN010027783.1_K04564_a5ab1868_with_leader_u38_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMN010027783.1_K04564_a5ab1868	CAXAMN010027783.1_K04564_a5ab1868_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMN010027806.1_K04564_b422a675	CAXAMN010027806.1_K04564_b422a675_with_leader_u52_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	true	true	true	true	true	true	true	true	true	true	true
CAXAMN010027806.1_K04564_b422a675	CAXAMN010027806.1_K04564_b422a675_with_leader_u38_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMN010027806.1_K04564_b422a675	CAXAMN010027806.1_K04564_b422a675_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
CAXAMN010027806.1_K04564_f0a63ebd	CAXAMN010027806.1_K04564_f0a63ebd_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	false	true	false	true	true	true	true	true	true	true	true
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u60_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	true	true	true	true	true	true	true	true	true	true	true
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u36_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	false	true	false	true	true	true	true	true	true	true	true
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u31_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	false	true	false	true	true	true	true	true	true	true	true
siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1_with_leader_u54_PF00081_M_to_K04564_280			true	true	true	true	true	true	true	true	true	true	true
siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN405006_c0_g1_i1.p1_with_leader_u38_PF00081_M_to_K04564_280			false	true	false	true	true	true	true	true	true	true	true
siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1	siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1_with_leader_u54_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1	siderastrea_symb_TRINITY_DN405006_c0_g1_i4.p1_with_leader_u38_PF00081_M_to_K04564_258			false	true	false	true	true	true	true	true	true	true	true
siderastrea_symb_TRINITY_DN475799_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN475799_c0_g1_i1.p1_with_leader_u60_PF00081_M_to_K04564_109			false	true	true	true	false	true	true	false	false	false	false
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1	siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_with_leader_u16_PF00081_M_to_K04564_227			false	true	false	true	true	true	true	true	true	true	true
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1	pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1_with_leader_u16_PF00081_M_to_K04564_250			false	true	false	true	true	true	true	true	true	true	true
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1	pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1_with_leader_u54_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1	pseudodiploria_symb_TRINITY_DN172781_c0_g1_i2.p1_with_leader_u38_PF00081_M_to_K04564_258			false	true	false	true	true	true	true	true	true	true	true
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1	pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1_with_leader_u55_PF00081_M_to_K04564_260			true	true	true	true	true	true	true	true	true	true	true
pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1	pseudodiploria_symb_TRINITY_DN172781_c0_g1_i4.p1_with_leader_u39_PF00081_M_to_K04564_260			false	true	false	true	true	true	true	true	true	true	true
orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1	orbicella_symb_TRINITY_DN78611_c0_g1_i1.p1_with_leader_u58_PF00081_M_to_K04564_282			true	true	true	true	true	true	true	true	true	true	true
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_with_leader_u20_PF00081_M_to_K04564_236			false	true	false	true	true	true	true	true	true	true	true
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1	orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_147			false	true	false	true	false	true	true	true	false	false	false
orbicella_symb_TRINITY_DN188752_c0_g3_i1.p1	orbicella_symb_TRINITY_DN188752_c0_g3_i1.p1_with_leader_u55_PF00081_M_to_K04564_260			true	true	true	true	true	true	true	true	true	true	true
orbicella_symb_TRINITY_DN188752_c0_g3_i4.p1	orbicella_symb_TRINITY_DN188752_c0_g3_i4.p1_with_leader_u55_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u60_PF00081_M_to_K04564_278			true	true	true	true	true	true	true	true	true	true	true
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u36_PF00081_M_to_K04564_278			false	true	false	true	true	true	true	true	true	true	true
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u31_PF00081_M_to_K04564_278			false	true	false	true	true	true	true	true	true	true	true
c_goreaui_TRINITY_DN626_c0_g1_i2.p1	c_goreaui_TRINITY_DN626_c0_g1_i2.p1_with_leader_u53_PF00081_M_to_K04564_256			true	true	true	true	true	true	true	true	true	true	true
c_goreaui_TRINITY_DN626_c0_g1_i4.p1	c_goreaui_TRINITY_DN626_c0_g1_i4.p1_with_leader_u53_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN131539_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN131539_c0_g1_i1.p1_with_leader_u61_PF00081_M_to_K04564_282			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN131539_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN131539_c0_g1_i1.p1_with_leader_u49_PF00081_M_to_K04564_282			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN131539_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN131539_c0_g1_i1.p1_with_leader_u48_PF00081_M_to_K04564_282			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN131539_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN131539_c0_g1_i1.p1_with_leader_u44_PF00081_M_to_K04564_282			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1_with_leader_u61_PF00081_M_to_K04564_322			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1_with_leader_u50_PF00081_M_to_K04564_322			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1_with_leader_u41_PF00081_M_to_K04564_322			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN146221_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_322			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i4.p1	cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i4.p1_with_leader_u55_PF00081_M_to_K04564_260			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i5.p1	cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i5.p1_with_leader_u53_PF00081_M_to_K04564_256			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i6.p1	cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i6.p1_with_leader_u53_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i7.p1	cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i7.p1_with_leader_u55_PF00081_M_to_K04564_260			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i1.p1_with_leader_u55_PF00081_M_to_K04564_260			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i2.p1	cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i2.p1_with_leader_u53_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i3.p1	cladocopium_proliferum_Levin_TRINITY_DN146173_c0_g1_i3.p1_with_leader_u55_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1	cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i4.p1_with_leader_u30_PF00081_M_to_K04564_209			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1	cladocopium_proliferum_Levin_TRINITY_DN137752_c0_g1_i3.p1_with_leader_u30_PF00081_M_to_K04564_210			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_with_leader_u26_PF00081_M_to_K04564_230			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN139305_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_230			false	true	false	true	true	true	true	true	true	true	true
cladocopium_proliferum_Levin_TRINITY_DN86499_c0_g1_i1.p1	cladocopium_proliferum_Levin_TRINITY_DN86499_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_238			false	true	false	true	true	true	true	true	true	true	true
