protein accession	genome accession	sequence accession	start label	start aa 1b	protein start aa 1b	end aa 1b
XP_029191718.1	GCF_004143615.1	XP_029191718.1		1	1	
XP_029206824.1	GCF_004143615.1	XP_029206824.1		1	1	
XP_029206825.1	GCF_004143615.1	XP_029206825.1		1	1	
XP_029211273.1	GCF_004143615.1	XP_029211273.1		1	1	
XP_029211274.1	GCF_004143615.1	XP_029211274.1		1	1	
XP_029211275.1	GCF_004143615.1	XP_029211275.1		1	1	
XP_029211276.1	GCF_004143615.1	XP_029211276.1		1	1	
XP_028401416.1	GCF_004324835.1	XP_028401416.1		1	1	
XP_028411121.1	GCF_004324835.1	XP_028411121.1		1	1	
XP_028415488.1	GCF_004324835.1	XP_028415488.1		1	1	
XP_031565468.1	GCF_009602425.1	XP_031565468.1		1	1	
XP_031566122.1	GCF_009602425.1	XP_031566122.1		1	1	
XP_031566123.1	GCF_009602425.1	XP_031566123.1		1	1	
XP_065063601.1	GCF_013076305.1	XP_065063601.1		1	1	
XP_029206824.2	GCF_013753865.1	XP_029206824.2		1	1	
XP_029206825.2	GCF_013753865.1	XP_029206825.2		1	1	
XP_029211273.2	GCF_013753865.1	XP_029211273.2		1	1	
XP_029211274.2	GCF_013753865.1	XP_029211274.2		1	1	
XP_029211275.2	GCF_013753865.1	XP_029211275.2		1	1	
XP_046848303.1	GCF_021976095.1	XP_046848303.1		1	1	
XP_046853803.1	GCF_021976095.1	XP_046853803.1		1	1	
XP_046857449.1	GCF_021976095.1	XP_046857449.1		1	1	
XP_046857454.1	GCF_021976095.1	XP_046857454.1		1	1	
XP_046857460.1	GCF_021976095.1	XP_046857460.1		1	1	
XP_046857864.1	GCF_021976095.1	XP_046857864.1		1	1	
XP_058941726.1	GCF_030620025.1	XP_058941726.1		1	1	
XP_058941727.1	GCF_030620025.1	XP_058941727.1		1	1	
XP_058941728.1	GCF_030620025.1	XP_058941728.1		1	1	
XP_058941729.1	GCF_030620025.1	XP_058941729.1		1	1	
XP_058941730.1	GCF_030620025.1	XP_058941730.1		1	1	
XP_058941731.1	GCF_030620025.1	XP_058941731.1		1	1	
XP_058941732.1	GCF_030620025.1	XP_058941732.1		1	1	
XP_058941733.1	GCF_030620025.1	XP_058941733.1		1	1	
XP_058941734.1	GCF_030620025.1	XP_058941734.1		1	1	
XP_058941735.1	GCF_030620025.1	XP_058941735.1		1	1	
XP_058941736.1	GCF_030620025.1	XP_058941736.1		1	1	
XP_058941737.1	GCF_030620025.1	XP_058941737.1		1	1	
XP_058970734.1	GCF_030620025.1	XP_058970734.1		1	1	
XP_058970735.1	GCF_030620025.1	XP_058970735.1		1	1	
XP_058970736.1	GCF_030620025.1	XP_058970736.1		1	1	
XP_058971174.1	GCF_030620025.1	XP_058971174.1		1	1	
XP_058971180.1	GCF_030620025.1	XP_058971180.1		1	1	
XP_058971187.1	GCF_030620025.1	XP_058971187.1		1	1	
XP_067019369.1	GCF_036669905.1	XP_067019369.1		1	1	
XP_067019370.1	GCF_036669905.1	XP_067019370.1		1	1	
XP_067019371.1	GCF_036669905.1	XP_067019371.1		1	1	
XP_067019372.1	GCF_036669905.1	XP_067019372.1		1	1	
XP_067044111.1	GCF_036669905.1	XP_067044111.1		1	1	
XP_067048454.1	GCF_036669905.1	XP_067048454.1		1	1	
XP_067048455.1	GCF_036669905.1	XP_067048455.1		1	1	
XP_067048456.1	GCF_036669905.1	XP_067048456.1		1	1	
XP_067048457.1	GCF_036669905.1	XP_067048457.1		1	1	
XP_058970735.2	GCF_036669915.1	XP_058970735.2		1	1	
XP_058970736.2	GCF_036669915.1	XP_058970736.2		1	1	
XP_058971180.2	GCF_036669915.1	XP_058971180.2		1	1	
XP_058971187.2	GCF_036669915.1	XP_058971187.2		1	1	
XP_066023811.1	GCF_036669915.1	XP_066023811.1		1	1	
XP_066023812.1	GCF_036669915.1	XP_066023812.1		1	1	
XP_066023813.1	GCF_036669915.1	XP_066023813.1		1	1	
XP_068720017.1	GCF_036669925.1	XP_068720017.1		1	1	
XP_068735824.1	GCF_036669925.1	XP_068735824.1		1	1	
XP_068760801.1	GCF_036669925.1	XP_068760801.1		1	1	
XP_068674298.1	GCF_036669935.1	XP_068674298.1		1	1	
XP_068701901.1	GCF_036669935.1	XP_068701901.1		1	1	
XP_068701902.1	GCF_036669935.1	XP_068701902.1		1	1	
XP_068706018.1	GCF_036669935.1	XP_068706018.1		1	1	
XP_065669822.1	GCF_038396675.1	XP_065669822.1		1	1	
XP_065669823.1	GCF_038396675.1	XP_065669823.1		1	1	
XP_065669829.1	GCF_038396675.1	XP_065669829.1		1	1	
XP_065669830.1	GCF_038396675.1	XP_065669830.1		1	1	
XP_065669831.1	GCF_038396675.1	XP_065669831.1		1	1	
XP_065669832.1	GCF_038396675.1	XP_065669832.1		1	1	
XP_065669833.1	GCF_038396675.1	XP_065669833.1		1	1	
XP_032219982.2	GCF_932526225.1	XP_032219982.2		1	1	
XP_048590676.1	GCF_932526225.1	XP_048590676.1		1	1	
XP_073231433.1	GCF_958299795.1	XP_073231433.1		1	1	
XP_073246089.1	GCF_958299795.1	XP_073246089.1		1	1	
XP_073246090.1	GCF_958299795.1	XP_073246090.1		1	1	
XP_073246092.1	GCF_958299795.1	XP_073246092.1		1	1	
XP_073246093.1	GCF_958299795.1	XP_073246093.1		1	1	
XP_073251904.1	GCF_958299795.1	XP_073251904.1		1	1	
XP_073252661.1	GCF_958299795.1	XP_073252661.1		1	1	
