threshold bitscore	tp	fp	tn	fn	sensitivity	specificity	balanced accuracy	selected
# #------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
# XP_020612557.1       -           1122 p105-like_cnidaria   -            910         0 1892.8  32.2   1   5  1.2e-189  1.3e-189  624.7   0.3     1   297     1   296     1   300 0.99 -
# XP_020612557.1       -           1122 p105-like_cnidaria   -            910         0 1892.8  32.2   2   5  1.3e-139  1.5e-139  459.1   0.4   262   516   299   557   297   561 0.94 -
# XP_020612557.1       -           1122 p105-like_cnidaria   -            910         0 1892.8  32.2   3   5  2.8e-133    3e-133  438.2   5.7   439   674   562   794   558   799 0.97 -
# XP_020612557.1       -           1122 p105-like_cnidaria   -            910         0 1892.8  32.2   4   5   1.3e-58   1.4e-58  191.2   0.0   752   905   816   974   809   979 0.94 -
# XP_020612557.1       -           1122 p105-like_cnidaria   -            910         0 1892.8  32.2   5   5   7.1e-60   7.7e-60  195.3   4.1   649   763  1001  1117   996  1122 0.96 -
# CAH3117715.1         -            917 p105-like_cnidaria   -            910         0 1827.9   0.4   1   1         0         0 1827.7   0.4     1   910     1   917     1   917 0.99 -
# XP_058970121.1       -            919 p105-like_cnidaria   -            910         0 1824.9   0.3   1   1         0         0 1824.8   0.3     1   910     1   919     1   919 0.99 -
# XP_029186950.1       -            904 p105-like_cnidaria   -            910         0 1823.0   0.0   1   1         0         0 1822.9   0.0     1   910     1   904     1   904 1.00 -
# XP_027038010.1       -            926 p105-like_cnidaria   -            910         0 1821.5   0.3   1   1         0         0 1821.3   0.3     1   910     1   926     1   926 0.99 -
# XP_067053651.1       -            904 p105-like_cnidaria   -            910         0 1819.8   0.0   1   1         0         0 1819.7   0.0     1   910     1   904     1   904 1.00 -
# XP_029186950.2       -            904 p105-like_cnidaria   -            910         0 1819.5   0.0   1   1         0         0 1819.3   0.0     1   910     1   904     1   904 1.00 -
# XP_022789210.1       -            916 p105-like_cnidaria   -            910         0 1811.9   0.2   1   1         0         0 1811.7   0.2     1   910     1   916     1   916 0.99 -
# XP_022789211.1       -            916 p105-like_cnidaria   -            910         0 1811.9   0.2   1   1         0         0 1811.7   0.2     1   910     1   916     1   916 0.99 -
# CAH3186488.1         -            910 p105-like_cnidaria   -            910         0 1808.1   0.0   1   1         0         0 1807.9   0.0     1   910     1   910     1   910 0.99 -
# XP_073234456.1       -            909 p105-like_cnidaria   -            910         0 1806.3   0.0   1   1         0         0 1806.2   0.0     1   910     1   909     1   909 0.99 -
# CAH3136379.1         -            910 p105-like_cnidaria   -            910         0 1804.6   0.0   1   1         0         0 1804.5   0.0     1   910     1   910     1   910 0.99 -
# XP_068721954.1       -            925 p105-like_cnidaria   -            910         0 1787.6   0.1   1   1         0         0 1787.4   0.1     1   910     6   925     6   925 0.98 -
# XP_068704788.1       -            925 p105-like_cnidaria   -            910         0 1785.3   0.1   1   1         0         0 1785.1   0.1     1   910     6   925     6   925 0.98 -
# CAH3027709.1         -            912 p105-like_cnidaria   -            910         0 1713.5   0.0   1   1         0         0 1713.3   0.0     1   910     1   912     1   912 0.98 -
# XP_015766406.1       -            835 p105-like_cnidaria   -            910         0 1609.4   4.2   1   2    5e-262  5.4e-262  864.3   0.2     1   441     1   433     1   437 0.98 -
# XP_015766406.1       -            835 p105-like_cnidaria   -            910         0 1609.4   4.2   2   2  3.2e-227  3.5e-227  749.1   0.7   508   910   431   835   430   835 0.99 -
# XP_031565156.1       -            859 p105-like_cnidaria   -            910         0 1471.8   0.5   1   1         0         0 1467.7   0.5     2   906     1   858     1   859 0.98 -
# XP_031565157.1       -            859 p105-like_cnidaria   -            910         0 1471.8   0.5   1   1         0         0 1467.7   0.5     2   906     1   858     1   859 0.98 -
# XP_020916759.1       -            848 p105-like_cnidaria   -            910         0 1440.4   0.5   1   2         0         0 1414.1   0.1     2   752     1   751     1   765 0.98 -
# XP_020916759.1       -            848 p105-like_cnidaria   -            910         0 1440.4   0.5   2   2   1.8e-08     2e-08   25.2   0.1   801   906   766   847   755   848 0.86 -
# KAK3739735.1         -            837 p105-like_cnidaria   -            910         0 1400.8   0.0   1   1         0         0 1400.2   0.0    40   907    12   837     6   837 0.98 -
# KAK2568458.1         -            445 p105-like_cnidaria   -            910  2.1e-284  938.5   0.2   1   1  2.1e-284  2.3e-284  938.3   0.2     1   442     1   441     1   445 0.99 -
# CAH3186482.1         -            439 p105-like_cnidaria   -            910  8.4e-266  876.9   0.1   1   1  9.3e-266    1e-265  876.6   0.1     1   439     1   434     1   438 0.98 -
# CAH3185197.1         -            444 p105-like_cnidaria   -            910  8.5e-259  853.7   0.2   1   1  9.1e-259  9.9e-259  853.5   0.2     1   439     1   436     1   442 0.95 -
# XP_073232074.1       -            733 p105-like_cnidaria   -            910  8.6e-244  804.0   5.8   1   3  1.9e-205    2e-205  677.1   0.1     1   341     1   339     1   346 0.98 -
# XP_073232074.1       -            733 p105-like_cnidaria   -            910  8.6e-244  804.0   5.8   2   3   7.3e-28     8e-28   89.4   0.1   328   379   356   407   340   410 0.93 -
# XP_073232074.1       -            733 p105-like_cnidaria   -            910  8.6e-244  804.0   5.8   3   3   8.5e-13   9.3e-13   39.5   0.2   374   433   437   494   429   516 0.72 -
# CAH3136375.1         -           1116 p105-like_cnidaria   -            910  9.3e-227  747.7  31.0   1   3  1.1e-199  1.2e-199  658.0   1.7     1   377     1   348     1   350 0.97 -
# CAH3136375.1         -           1116 p105-like_cnidaria   -            910  9.3e-227  747.7  31.0   2   3   3.7e-08   4.1e-08   24.2   9.1   406   463   348   404   347   409 0.92 -
# CAH3136375.1         -           1116 p105-like_cnidaria   -            910  9.3e-227  747.7  31.0   3   3   1.9e-23     2e-23   74.8   5.7   376   470   410   504   405   545 0.78 -
# XP_048580668.1       -            440 p105-like_cnidaria   -            910  1.6e-216  713.8   0.1   1   1  1.7e-216  1.8e-216  713.6   0.1     2   428     1   435     1   440 0.94 -
# XP_048580669.1       -            440 p105-like_cnidaria   -            910  1.6e-216  713.8   0.1   1   1  1.7e-216  1.8e-216  713.6   0.1     2   428     1   435     1   440 0.94 -
# XP_032228246.1       -            440 p105-like_cnidaria   -            910  3.8e-216  712.6   0.1   1   1  3.8e-216  4.2e-216  712.4   0.1     2   426     1   433     1   440 0.94 -
# XP_028414852.1       -            479 p105-like_cnidaria   -            910  2.6e-161  531.1   0.0   1   1  3.3e-161  3.6e-161  530.6   0.0    41   431    38   422    26   435 0.90 -
# XP_028414684.1       -            479 p105-like_cnidaria   -            910  5.9e-161  529.9   0.0   1   1  7.4e-161    8e-161  529.5   0.0    41   426    38   418    26   435 0.90 -
# KAJ7381142.1         -            259 p105-like_cnidaria   -            910  1.1e-160  529.1   0.2   1   1  1.1e-160  1.2e-160  528.9   0.2     1   259     1   259     1   259 1.00 -
# XP_046859971.1       -            473 p105-like_cnidaria   -            910  9.6e-150  492.8   0.1   1   1  1.2e-149  1.3e-149  492.4   0.1    42   407    42   396    16   433 0.89 -
# XP_065051077.1       -            431 p105-like_cnidaria   -            910  1.8e-115  379.4   0.2   1   1    2e-115  2.2e-115  379.1   0.2    33   397    16   381     4   424 0.90 -
# XP_001619401.2       -            227 p105-like_cnidaria   -            910  4.2e-101  331.9   0.1   1   1  4.7e-101  5.1e-101  331.6   0.1     2   209     1   215     1   219 0.96 -
# NP_001267795.1       -            477 p105-like_cnidaria   -            910   1.9e-57  187.4   1.2   1   1   2.4e-57   2.6e-57  186.9   1.2    39   394    11   360     6   368 0.85 -
# CAH3045306.1         -            685 p105-like_cnidaria   -            910   7.7e-23   72.9   0.1   1   2   2.5e-07   2.7e-07   21.5   0.1    38   146   280   392   246   416 0.74 -
# CAH3045306.1         -            685 p105-like_cnidaria   -            910   7.7e-23   72.9   0.1   2   2   8.1e-16   8.8e-16   49.5   0.0   231   373   418   556   396   559 0.89 -
# XP_058948589.1       -            664 p105-like_cnidaria   -            910   4.4e-22   70.4   0.1   1   2   3.3e-07   3.6e-07   21.0   0.1    38   145   259   370   227   386 0.76 -
# XP_058948589.1       -            664 p105-like_cnidaria   -            910   4.4e-22   70.4   0.1   2   2   3.9e-15   4.2e-15   47.3   0.0   231   373   397   535   375   537 0.88 -
# XP_058948590.1       -            664 p105-like_cnidaria   -            910   4.4e-22   70.4   0.1   1   2   3.3e-07   3.6e-07   21.0   0.1    38   145   259   370   227   386 0.76 -
# XP_058948590.1       -            664 p105-like_cnidaria   -            910   4.4e-22   70.4   0.1   2   2   3.9e-15   4.2e-15   47.3   0.0   231   373   397   535   375   537 0.88 -
# XP_058948588.1       -            685 p105-like_cnidaria   -            910   4.9e-22   70.2   0.1   1   2   3.5e-07   3.8e-07   21.0   0.1    38   145   280   391   248   407 0.76 -
# XP_058948588.1       -            685 p105-like_cnidaria   -            910   4.9e-22   70.2   0.1   2   2   4.6e-15     5e-15   47.0   0.0   231   373   418   556   411   559 0.87 -
# XP_020917481.1       -            677 p105-like_cnidaria   -            910     3e-21   67.6   0.0   1   2   9.5e-08     1e-07   22.8   0.1    39   145   255   365   243   386 0.71 -
# XP_020917481.1       -            677 p105-like_cnidaria   -            910     3e-21   67.6   0.0   2   2   1.1e-13   1.2e-13   42.5   0.0   231   373   392   531   386   535 0.85 -
# XP_020917480.1       -            678 p105-like_cnidaria   -            910     3e-21   67.6   0.0   1   2   9.6e-08     1e-07   22.8   0.1    39   145   256   366   244   387 0.71 -
# XP_020917480.1       -            678 p105-like_cnidaria   -            910     3e-21   67.6   0.0   2   2   1.1e-13   1.2e-13   42.5   0.0   231   373   393   532   387   536 0.85 -
# XP_020917479.1       -            685 p105-like_cnidaria   -            910   3.1e-21   67.6   0.0   1   2   9.7e-08   1.1e-07   22.8   0.1    39   145   263   373   251   394 0.71 -
# XP_020917479.1       -            685 p105-like_cnidaria   -            910   3.1e-21   67.6   0.0   2   2   1.1e-13   1.2e-13   42.5   0.0   231   373   400   539   394   543 0.85 -
# XP_020917478.1       -            686 p105-like_cnidaria   -            910   3.1e-21   67.6   0.0   1   2   9.7e-08   1.1e-07   22.8   0.1    39   145   264   374   252   395 0.71 -
# XP_020917478.1       -            686 p105-like_cnidaria   -            910   3.1e-21   67.6   0.0   2   2   1.1e-13   1.2e-13   42.5   0.0   231   373   401   540   395   544 0.85 -
# XP_027035749.1       -            663 p105-like_cnidaria   -            910   3.1e-21   67.6   0.1   1   2   2.5e-07   2.7e-07   21.4   0.1    38   146   258   370   225   390 0.74 -
# XP_027035749.1       -            663 p105-like_cnidaria   -            910   3.1e-21   67.6   0.1   2   2   3.7e-14     4e-14   44.0   0.0   231   373   396   534   384   537 0.88 -
# XP_027035777.1       -            663 p105-like_cnidaria   -            910   3.1e-21   67.6   0.1   1   2   2.5e-07   2.7e-07   21.4   0.1    38   146   258   370   225   390 0.74 -
# XP_027035777.1       -            663 p105-like_cnidaria   -            910   3.1e-21   67.6   0.1   2   2   3.7e-14     4e-14   44.0   0.0   231   373   396   534   384   537 0.88 -
# XP_027035770.1       -            684 p105-like_cnidaria   -            910   3.4e-21   67.4   0.1   1   2   2.6e-07   2.9e-07   21.4   0.1    38   146   279   391   246   411 0.74 -
# XP_027035770.1       -            684 p105-like_cnidaria   -            910   3.4e-21   67.4   0.1   2   2   3.9e-14   4.2e-14   44.0   0.0   231   373   417   555   405   558 0.88 -
# XP_027035763.1       -            685 p105-like_cnidaria   -            910   3.5e-21   67.4   0.1   1   2   2.6e-07   2.9e-07   21.4   0.1    38   146   280   392   247   412 0.74 -
# XP_027035763.1       -            685 p105-like_cnidaria   -            910   3.5e-21   67.4   0.1   2   2   3.9e-14   4.3e-14   44.0   0.0   231   373   418   556   406   559 0.88 -
# XP_027035757.1       -            706 p105-like_cnidaria   -            910   3.8e-21   67.3   0.1   1   2   2.7e-07   2.9e-07   21.3   0.1    38   146   301   413   268   436 0.74 -
# XP_027035757.1       -            706 p105-like_cnidaria   -            910   3.8e-21   67.3   0.1   2   2   4.2e-14   4.6e-14   43.8   0.0   231   373   439   577   427   579 0.87 -
# XP_022795882.1       -            663 p105-like_cnidaria   -            910     8e-21   66.2   0.1   1   2   1.6e-06   1.8e-06   18.7   0.1    38   146   258   370   248   392 0.76 -
# XP_022795882.1       -            663 p105-like_cnidaria   -            910     8e-21   66.2   0.1   2   2   1.7e-14   1.9e-14   45.1   0.0   231   373   396   534   390   537 0.87 -
# XP_022795881.1       -            663 p105-like_cnidaria   -            910     8e-21   66.2   0.1   1   2   1.6e-06   1.8e-06   18.7   0.1    38   146   258   370   248   392 0.76 -
# XP_022795881.1       -            663 p105-like_cnidaria   -            910     8e-21   66.2   0.1   2   2   1.7e-14   1.9e-14   45.1   0.0   231   373   396   534   390   537 0.87 -
# XP_022795880.1       -            684 p105-like_cnidaria   -            910   8.6e-21   66.1   0.1   1   2   1.7e-06   1.9e-06   18.7   0.1    38   146   279   391   269   413 0.76 -
# XP_022795880.1       -            684 p105-like_cnidaria   -            910   8.6e-21   66.1   0.1   2   2   1.8e-14     2e-14   45.1   0.0   231   373   417   555   411   558 0.87 -
# CAH3176760.1         -            686 p105-like_cnidaria   -            910   5.2e-20   63.5   0.3   1   2   4.4e-07   4.8e-07   20.6   0.4    38   145   275   386   267   399 0.75 -
# CAH3176760.1         -            686 p105-like_cnidaria   -            910   5.2e-20   63.5   0.3   2   2   4.9e-13   5.3e-13   40.3   0.0   231   373   413   551   405   558 0.86 -
# XP_015753005.1       -            662 p105-like_cnidaria   -            910   1.4e-19   62.1   0.0   1   2   2.7e-06   2.9e-06   18.0   0.1    39   146   252   363   243   378 0.76 -
# XP_015753005.1       -            662 p105-like_cnidaria   -            910   1.4e-19   62.1   0.0   2   2   1.9e-13   2.1e-13   41.7   0.0   231   373   389   527   383   534 0.87 -
# XP_067042544.1       -            659 p105-like_cnidaria   -            910   1.5e-19   62.0   0.1   1   2   2.5e-06   2.7e-06   18.1   0.1    39   146   249   360   240   381 0.76 -
# XP_067042544.1       -            659 p105-like_cnidaria   -            910   1.5e-19   62.0   0.1   2   2   1.8e-13     2e-13   41.7   0.0   231   373   386   524   374   531 0.87 -
# XP_015753004.1       -            684 p105-like_cnidaria   -            910   1.5e-19   62.0   0.1   1   2     3e-06   3.3e-06   17.8   0.1    39   145   274   384   265   397 0.76 -
# XP_015753004.1       -            684 p105-like_cnidaria   -            910   1.5e-19   62.0   0.1   2   2   1.8e-13     2e-13   41.7   0.0   231   373   411   549   399   556 0.87 -
# XP_015753003.1       -            685 p105-like_cnidaria   -            910   1.5e-19   62.0   0.1   1   2     3e-06   3.3e-06   17.8   0.1    39   145   275   385   266   398 0.76 -
# XP_015753003.1       -            685 p105-like_cnidaria   -            910   1.5e-19   62.0   0.1   2   2   1.8e-13     2e-13   41.7   0.0   231   373   412   550   400   557 0.87 -
# XP_067042543.1       -            681 p105-like_cnidaria   -            910   1.6e-19   61.9   0.1   1   2   2.6e-06   2.9e-06   18.1   0.1    39   146   271   382   262   403 0.76 -
# XP_067042543.1       -            681 p105-like_cnidaria   -            910   1.6e-19   61.9   0.1   2   2   1.9e-13   2.1e-13   41.7   0.0   231   373   408   546   396   553 0.87 -
# XP_015753002.1       -            701 p105-like_cnidaria   -            910   1.6e-19   61.9   0.1   1   2   3.2e-06   3.4e-06   17.8   0.1    39   145   292   402   283   415 0.76 -
# XP_015753002.1       -            701 p105-like_cnidaria   -            910   1.6e-19   61.9   0.1   2   2   1.9e-13   2.1e-13   41.7   0.0   231   373   429   567   417   574 0.87 -
# XP_015753001.1       -            702 p105-like_cnidaria   -            910   1.6e-19   61.9   0.1   1   2   3.2e-06   3.4e-06   17.8   0.1    39   145   292   402   283   415 0.76 -
# XP_015753001.1       -            702 p105-like_cnidaria   -            910   1.6e-19   61.9   0.1   2   2   1.9e-13   2.1e-13   41.7   0.0   231   373   429   567   417   574 0.87 -
# XP_067042542.1       -            698 p105-like_cnidaria   -            910   1.8e-19   61.8   0.1   1   2   2.7e-06     3e-06   18.0   0.1    39   146   289   400   280   421 0.76 -
# XP_067042542.1       -            698 p105-like_cnidaria   -            910   1.8e-19   61.8   0.1   2   2     2e-13   2.2e-13   41.6   0.0   231   373   426   564   414   571 0.87 -
# XP_067042541.1       -            699 p105-like_cnidaria   -            910   1.8e-19   61.8   0.1   1   2   2.7e-06     3e-06   18.0   0.1    39   146   289   400   280   421 0.76 -
# XP_067042541.1       -            699 p105-like_cnidaria   -            910   1.8e-19   61.8   0.1   2   2     2e-13   2.2e-13   41.6   0.0   231   373   426   564   414   571 0.87 -
# XP_044176437.1       -            662 p105-like_cnidaria   -            910   2.7e-19   61.2   0.1   1   2   2.9e-06   3.1e-06   17.9   0.1    39   145   252   362   243   375 0.76 -
# XP_044176437.1       -            662 p105-like_cnidaria   -            910   2.7e-19   61.2   0.1   2   2   3.2e-13   3.5e-13   40.9   0.0   231   373   389   527   367   534 0.87 -
# XP_073252885.1       -            664 p105-like_cnidaria   -            910   2.8e-19   61.1   0.2   1   2   4.1e-07   4.4e-07   20.7   0.4    37   145   252   364   243   377 0.76 -
# XP_073252885.1       -            664 p105-like_cnidaria   -            910   2.8e-19   61.1   0.2   2   2   2.9e-12   3.1e-12   37.8   0.0   231   373   391   529   379   537 0.82 -
# XP_073252884.1       -            668 p105-like_cnidaria   -            910   2.9e-19   61.1   0.2   1   2   4.1e-07   4.5e-07   20.7   0.4    37   145   256   368   247   381 0.76 -
# XP_073252884.1       -            668 p105-like_cnidaria   -            910   2.9e-19   61.1   0.2   2   2   2.9e-12   3.1e-12   37.8   0.0   231   373   395   533   383   541 0.82 -
# XP_068702548.1       -            649 p105-like_cnidaria   -            910     3e-19   61.0   0.0   1   2   5.3e-06   5.8e-06   17.0   0.1    38   146   232   344   223   359 0.74 -
# XP_068702548.1       -            649 p105-like_cnidaria   -            910     3e-19   61.0   0.0   2   2   1.9e-13   2.1e-13   41.7   0.0   231   373   370   508   364   516 0.87 -
# XP_044176436.1       -            684 p105-like_cnidaria   -            910     3e-19   61.0   0.1   1   2   2.9e-06   3.2e-06   17.9   0.1    39   145   274   384   263   397 0.76 -
# XP_044176436.1       -            684 p105-like_cnidaria   -            910     3e-19   61.0   0.1   2   2   3.4e-13   3.7e-13   40.9   0.0   231   373   411   549   389   556 0.87 -
# XP_044176435.1       -            685 p105-like_cnidaria   -            910     3e-19   61.0   0.1   1   2   2.9e-06   3.2e-06   17.9   0.1    39   145   275   385   264   398 0.76 -
# XP_044176435.1       -            685 p105-like_cnidaria   -            910     3e-19   61.0   0.1   2   2   3.4e-13   3.7e-13   40.8   0.0   231   373   412   550   390   557 0.87 -
# XP_073252883.1       -            685 p105-like_cnidaria   -            910   3.1e-19   61.0   0.2   1   2   4.3e-07   4.7e-07   20.7   0.4    37   145   273   385   264   398 0.76 -
# XP_073252883.1       -            685 p105-like_cnidaria   -            910   3.1e-19   61.0   0.2   2   2     3e-12   3.3e-12   37.7   0.0   231   373   412   550   400   558 0.82 -
# CAH3177843.1         -            685 p105-like_cnidaria   -            910   3.2e-19   60.9   0.2   1   2   4.3e-07   4.7e-07   20.7   0.4    37   145   273   385   264   398 0.76 -
# CAH3177843.1         -            685 p105-like_cnidaria   -            910   3.2e-19   60.9   0.2   2   2     3e-12   3.3e-12   37.7   0.0   231   373   412   550   400   558 0.82 -
# XP_044176434.1       -            701 p105-like_cnidaria   -            910   3.2e-19   60.9   0.1   1   2     3e-06   3.3e-06   17.8   0.1    39   145   292   402   281   415 0.76 -
# XP_044176434.1       -            701 p105-like_cnidaria   -            910   3.2e-19   60.9   0.1   2   2   3.5e-13   3.8e-13   40.8   0.0   231   373   429   567   407   574 0.87 -
# XP_044176433.1       -            702 p105-like_cnidaria   -            910   3.3e-19   60.9   0.1   1   2     3e-06   3.3e-06   17.8   0.1    39   145   292   402   281   415 0.76 -
# XP_044176433.1       -            702 p105-like_cnidaria   -            910   3.3e-19   60.9   0.1   2   2   3.5e-13   3.9e-13   40.8   0.0   231   373   429   567   407   574 0.87 -
# XP_068702547.1       -            667 p105-like_cnidaria   -            910   3.3e-19   60.9   0.0   1   2   5.5e-06     6e-06   17.0   0.1    38   146   295   407   286   422 0.74 -
# XP_068702547.1       -            667 p105-like_cnidaria   -            910   3.3e-19   60.9   0.0   2   2     2e-13   2.2e-13   41.6   0.0   231   373   433   571   427   579 0.87 -
# XP_073252882.1       -            719 p105-like_cnidaria   -            910   3.6e-19   60.7   0.2   1   2   4.5e-07   4.9e-07   20.6   0.3    38   145   308   419   300   433 0.75 -
# XP_073252882.1       -            719 p105-like_cnidaria   -            910   3.6e-19   60.7   0.2   2   2   3.3e-12   3.5e-12   37.6   0.0   231   373   446   584   434   592 0.82 -
# XP_068720162.1       -            694 p105-like_cnidaria   -            910   3.7e-19   60.7   0.0   1   2   5.9e-06   6.4e-06   16.9   0.1    38   146   277   389   268   404 0.74 -
# XP_068720162.1       -            694 p105-like_cnidaria   -            910   3.7e-19   60.7   0.0   2   2   2.1e-13   2.3e-13   41.5   0.0   231   373   415   553   409   561 0.87 -
# XP_068702546.1       -            694 p105-like_cnidaria   -            910   3.7e-19   60.7   0.0   1   2   5.9e-06   6.4e-06   16.9   0.1    38   146   277   389   268   404 0.74 -
# XP_068702546.1       -            694 p105-like_cnidaria   -            910   3.7e-19   60.7   0.0   2   2   2.1e-13   2.3e-13   41.5   0.0   231   373   415   553   409   561 0.87 -
# XP_068720161.1       -            712 p105-like_cnidaria   -            910     4e-19   60.6   0.0   1   2   6.1e-06   6.7e-06   16.8   0.1    38   146   295   407   286   422 0.74 -
# XP_068720161.1       -            712 p105-like_cnidaria   -            910     4e-19   60.6   0.0   2   2   2.2e-13   2.4e-13   41.4   0.0   231   373   433   571   427   579 0.87 -
# XP_068702545.1       -            712 p105-like_cnidaria   -            910     4e-19   60.6   0.0   1   2   6.1e-06   6.7e-06   16.8   0.1    38   146   295   407   286   422 0.74 -
# XP_068702545.1       -            712 p105-like_cnidaria   -            910     4e-19   60.6   0.0   2   2   2.2e-13   2.4e-13   41.4   0.0   231   373   433   571   427   579 0.87 -
# KAJ7383798.1         -            702 p105-like_cnidaria   -            910   2.4e-18   58.0   0.1   1   2   3.1e-05   3.4e-05   14.5   0.1    41   145   300   408   279   421 0.78 -
# KAJ7383798.1         -            702 p105-like_cnidaria   -            910   2.4e-18   58.0   0.1   2   2   2.6e-13   2.8e-13   41.2   0.0   231   373   435   573   420   580 0.85 -
# XP_032237500.1       -            653 p105-like_cnidaria   -            910   2.7e-18   57.8   0.1   1   2   5.8e-06   6.3e-06   16.9   0.1    37   119   239   313   225   356 0.78 -
# XP_032237500.1       -            653 p105-like_cnidaria   -            910   2.7e-18   57.8   0.1   2   2   1.7e-12   1.9e-12   38.5   0.0   231   373   378   516   366   522 0.86 -
# XP_032237499.1       -            655 p105-like_cnidaria   -            910   2.8e-18   57.8   0.1   1   2   5.8e-06   6.3e-06   16.9   0.1    37   119   241   315   227   358 0.78 -
# XP_032237499.1       -            655 p105-like_cnidaria   -            910   2.8e-18   57.8   0.1   2   2   1.7e-12   1.9e-12   38.5   0.0   231   373   380   518   368   524 0.86 -
# XP_032237498.1       -            661 p105-like_cnidaria   -            910   2.8e-18   57.8   0.1   1   2   5.9e-06   6.4e-06   16.9   0.1    37   119   247   321   233   364 0.78 -
# XP_032237498.1       -            661 p105-like_cnidaria   -            910   2.8e-18   57.8   0.1   2   2   1.7e-12   1.9e-12   38.5   0.0   231   373   386   524   374   530 0.86 -
# XP_032237497.1       -            663 p105-like_cnidaria   -            910   2.9e-18   57.8   0.1   1   2   5.9e-06   6.4e-06   16.9   0.1    37   119   249   323   235   366 0.78 -
# XP_032237497.1       -            663 p105-like_cnidaria   -            910   2.9e-18   57.8   0.1   2   2   1.8e-12   1.9e-12   38.5   0.0   231   373   388   526   376   532 0.86 -
# XP_048589696.1       -            666 p105-like_cnidaria   -            910     3e-18   57.7   0.1   1   2   5.9e-06   6.5e-06   16.9   0.1    37   119   239   313   225   356 0.78 -
