protein accession	sequence accession	genome accession	contig accession	pass all	Leader().upstreamOfPfam('PF00081').betweenAA(-35, -15).is_SP()	Pfam.matches('PF00081')	Pfam.matches('PF02777')	KO.matches('K04564', bound_cterm=True)	HMMAlignment('k04564.hmm').is_at('H', 61)	HMMAlignment('k04564.hmm').is_at('H', 106)	HMMAlignment('k04564.hmm').is_at('D', 187)	HMMAlignment('k04564.hmm').is_at('H', 191)	HMMAlignment('k04564.hmm').matches_regex('[QDK]', 196)	Leader.call('noTP')	Leader.call('mTP')	Leader.call('SP')
durusdinium_trenchii_TRINITY_DN155815_c0_g2_i1.p1	durusdinium_trenchii_TRINITY_DN155815_c0_g2_i1.p1_to_K04564_245			true	true	true	true	true	true	true	true	true	true	0	0	100
durusdinium_trenchii_TRINITY_DN155815_c0_g2_i1.p1	durusdinium_trenchii_TRINITY_DN155815_c0_g2_i1.p1_with_leader_u32_PF00081_M_to_K04564_245			true	true	true	true	true	true	true	true	true	true	0	0	100
durusdinium_trenchii_TRINITY_DN160370_c0_g1_i1.p1	durusdinium_trenchii_TRINITY_DN160370_c0_g1_i1.p1_to_K04564_222			false	false	true	true	true	true	true	true	true	true	7	93	1
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1	durusdinium_trenchii_TRINITY_DN160635_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_277			true	true	true	true	true	true	true	true	true	true	16	0	84
durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1	durusdinium_trenchii_TRINITY_DN160635_c0_g1_i2.p1_with_leader_u18_PF00081_M_to_K04564_277			true	true	true	true	true	true	true	true	true	true	16	0	84
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i1.p1	prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_281			true	true	true	true	true	true	true	true	true	true	0	0	100
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i4.p1	prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i4.p1_with_leader_u18_PF00081_M_to_K04564_238			true	true	true	true	true	true	true	true	true	true	0	0	100
prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i5.p1	prorocentrum_cordatum_20_ex_TRINITY_DN23936_c1_g1_i5.p1_with_leader_u18_PF00081_M_to_K04564_258			true	true	true	true	true	true	true	true	true	true	0	0	100
prorocentrum_cordatum_20_st_TRINITY_DN21937_c0_g3_i1.p2	prorocentrum_cordatum_20_st_TRINITY_DN21937_c0_g3_i1.p2_with_leader_u18_PF00081_M_to_K04564_260			true	true	true	true	true	true	true	true	true	true	0	0	100
prorocentrum_cordatum_26_ex_TRINITY_DN18142_c0_g1_i1.p1	prorocentrum_cordatum_26_ex_TRINITY_DN18142_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_259			true	true	true	true	true	true	true	true	true	true	0	0	100
prorocentrum_cordatum_26_st_TRINITY_DN46994_c0_g1_i1.p2	prorocentrum_cordatum_26_st_TRINITY_DN46994_c0_g1_i1.p2_with_leader_u18_PF00081_M_to_K04564_261			true	true	true	true	true	true	true	true	true	true	0	0	100
prorocentrum_cordatum_30_st_TRINITY_DN3926_c0_g1_i1.p1	prorocentrum_cordatum_30_st_TRINITY_DN3926_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_260			true	true	true	true	true	true	true	true	true	true	0	0	100
