model	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00020	359.73	full	all	0.572968	7116	6358	3831	552	11.15	0.590	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	446.07	full	all	0.929243	2740	2595	7217	888	4.04	0.590	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00022	364.23	domain	all	0.958043	903	848	1577	391	2.86	0.590	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
K00023	338.97	domain	all	0.941231	2932	2405	812	338	4.54	0.590	acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	358.83	domain	all	0.846575	7393	5965	1485	443	6.66	0.590	malate dehydrogenase [EC:1.1.1.37]
K00025	542.60	full	all	0.927135	1693	1500	2425	453	4.51	0.590	malate dehydrogenase [EC:1.1.1.37]
K00026	494.00	full	all	0.865596	2850	2628	3992	473	4.75	0.590	malate dehydrogenase [EC:1.1.1.37]
K00027	498.17	domain	all	0.654593	6993	5890	4284	760	3.95	0.590	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	715.03	domain	all	0.976563	505	474	1383	607	1.02	0.590	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	298.20	domain	all	0.572173	8942	7861	5760	876	3.83	0.590	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	419.30	full	all	0.944060	5197	4650	5724	470	4.18	0.590	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	109.67	domain	trim	0.937332	12024	10298	4239	564	5.14	0.590	isocitrate dehydrogenase [EC:1.1.1.42]
K00032	496.90	domain	trim	0.872412	273	249	422	324	1.11	0.589	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	148.20	domain	all	0.998853	10209	8719	4632	692	4.41	0.590	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	313.60	domain	all	0.757431	2008	1797	1469	388	3.23	0.590	glucose 1-dehydrogenase [EC:1.1.1.47]
K00035	352.73	full	all	0.824786	658	584	580	308	1.64	0.590	D-galactose 1-dehydrogenase [EC:1.1.1.48]
K00036	364.23	full	all	0.994844	11399	9823	6670	577	3.54	0.590	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037	646.70	domain	trim	0.657235	56	53	471	323	0.62	0.592	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038	305.07	domain	all	0.871582	1827	1673	1015	433	3.36	0.590	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	261.17	domain	all	0.998733	498	396	362	242	1.13	0.591	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	581.47	full	all	0.721195	2551	2190	2006	539	2.99	0.590	fructuronate reductase [EC:1.1.1.57]
K00041	278.17	full	trim	0.996655	1515	1340	1029	493	2.42	0.590	tagaturonate reductase [EC:1.1.1.58]
K00042	345.67	domain	all	0.953900	3250	2724	1022	385	4.83	0.590	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	424.43	full	all	0.986276	455	407	587	374	1.97	0.590	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	394.30	domain	all	0.956596	430	406	1422	422	2.67	0.590	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	651.77	full	all	0.923993	1339	1249	1493	645	2.63	0.590	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	322.27	domain	all	0.899611	2174	1802	890	311	3.30	0.590	gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	575.57	full	all	0.992385	636	464	510	383	1.26	0.589	lactaldehyde reductase [EC:1.1.1.77]
K00049	431.17	full	all	0.886560	1444	1403	2519	437	3.39	0.590	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00051	622.57	full	all	0.995555	244	226	781	437	0.75	0.590	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	426.27	full	all	0.938599	9492	8259	2732	613	5.33	0.590	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	65.57	full	all	1.000000	9249	7435	2493	545	4.41	0.590	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	240.53	full	all	0.995744	1618	1406	2094	793	3.73	0.590	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	389.07	domain	all	0.989915	1234	1147	1013	513	2.16	0.590	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	272.73	domain	all	0.943030	9605	7979	2363	527	6.76	0.590	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	325.53	full	all	0.750973	15074	13218	6187	499	7.58	0.590	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	270.40	full	all	0.466091	39571	34790	7959	413	18.73	0.590	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	349.03	domain	all	0.982233	2783	2197	954	483	3.54	0.590	threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	518.07	domain	all	0.955195	455	420	1057	402	2.07	0.590	11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	337.80	full	trim	0.934745	105	95	793	373	1.54	0.590	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	435.77	domain	all	1.000000	37	36	383	318	0.80	0.590	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	257.43	full	all	0.967681	2156	2028	1604	446	5.24	0.590	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	332.60	domain	all	0.927511	3021	2525	1012	359	3.35	0.590	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	472.60	full	all	0.990377	590	525	1151	473	1.85	0.590	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	306.20	full	all	0.823656	7859	7155	3380	454	9.68	0.590	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	274.50	domain	all	0.992684	912	551	623	271	1.68	0.590	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	220.57	domain	all	0.934402	2272	2132	3305	397	7.71	0.590	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	407.53	full	trim	0.883449	833	803	1830	545	3.86	0.590	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	445.43	domain	all	0.968020	483	449	1754	567	1.98	0.590	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	197.80	full	all	0.970139	1058	1016	1370	347	4.56	0.590	sepiapterin reductase [EC:1.1.1.153]
K00073	537.70	full	all	0.995807	338	240	441	351	1.01	0.591	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	392.40	domain	all	0.702087	10320	9346	4521	639	10.12	0.590	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	122.07	full	all	0.992743	9340	8083	4075	581	9.09	0.590	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	272.70	domain	all	0.827232	1195	908	655	310	4.06	0.590	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	78.83	full	all	0.987632	9722	8564	5093	405	17.83	0.590	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	257.73	full	all	0.971834	1287	1258	3660	679	5.36	0.590	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	337.43	domain	all	0.775657	2340	2248	2885	404	5.90	0.590	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	432.00	domain	all	0.941705	140	134	812	311	1.27	0.591	carbonyl reductase 2 [EC:1.1.1.184]
K00082	350.83	full	all	1.000000	15	7	222	207	0.52	0.592	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	518.10	full	all	0.509744	1365	1277	1449	413	1.51	0.591	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	456.53	domain	trim	0.705048	264	243	584	293	1.98	0.589	carbonyl reductase 3 [EC:1.1.1.184]
K00085	662.33	full	all	1.000000	7	7	310	310	0.43	0.589	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	590.87	full	all	0.916745	189	142	498	387	1.41	0.589	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	788.33	domain	all	0.929302	420	354	1537	738	5.02	0.590	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	363.33	full	all	0.917130	13118	10829	5542	626	3.42	0.590	IMP dehydrogenase [EC:1.1.1.205]
K00089	742.03	domain	all	0.655556	7	6	344	323	0.42	0.587	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K00090	433.70	domain	all	0.782232	1852	1475	619	325	1.62	0.590	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	330.73	domain	all	0.953084	631	545	672	342	3.09	0.590	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	568.33	full	all	0.667062	3	3	385	382	0.59	0.592	methanol dehydrogenase [EC:1.1.1.244]
K00094	464.60	full	all	0.975196	229	125	388	347	0.84	0.589	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095	760.73	full	trim	0.711111	16	11	399	360	0.45	0.590	mannitol dehydrogenase [EC:1.1.1.255]
K00096	161.47	full	trim	0.996935	1474	1308	1332	480	7.28	0.590	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	427.77	full	all	0.859551	4529	3991	2061	548	4.55	0.590	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	359.30	domain	all	0.990391	1194	1050	768	355	1.78	0.589	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	210.93	full	all	0.999929	8095	7076	2674	538	3.20	0.590	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	551.40	full	all	0.926182	124	111	480	387	1.41	0.590	butanol dehydrogenase [EC:1.1.1.-]
K00101	483.93	domain	all	0.556181	4717	4026	3992	671	4.70	0.590	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	508.87	full	all	0.958857	3174	2960	6936	640	5.08	0.590	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	364.60	full	all	0.918005	1344	1283	3721	547	5.72	0.590	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	531.60	full	all	0.921841	5533	4968	3873	734	8.03	0.590	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]
K00105	561.80	domain	all	0.984663	282	226	971	609	0.81	0.591	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	1637.83	full	all	0.802653	2598	2582	16972	1813	3.34	0.590	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	517.53	full	trim	0.985507	144	136	991	517	0.98	0.590	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	706.00	full	all	0.985289	2962	2583	4400	768	2.40	0.590	choline dehydrogenase [EC:1.1.99.1]
K00109	424.70	full	all	0.957147	1164	1127	2434	559	3.01	0.590	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	158.00	full	all	0.929683	11263	9980	8771	758	9.23	0.590	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	121.53	full	all	0.993873	932	730	1075	456	4.83	0.590	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	289.03	full	all	0.995063	1172	916	1331	527	3.36	0.590	glycerol-3-phosphate dehydrogenase subunit C
K00114	694.17	full	all	0.776254	1068	967	2316	800	5.29	0.590	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	664.50	full	all	0.972350	666	646	3169	802	2.04	0.590	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	212.60	full	all	0.999850	3966	3344	1387	640	3.03	0.590	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	803.13	full	all	0.734849	2420	2127	4517	873	7.27	0.590	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	530.00	full	all	1.000000	11	8	482	437	0.63	0.590	glucose-fructose oxidoreductase [EC:1.1.99.28]
K00119	520.00	full	all	0.960339	272	207	592	371	1.22	0.590	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K00120	508.77	full	all	0.989247	81	50	786	374	0.92	0.590	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00121	613.90	full	all	0.669822	8922	7702	3369	509	4.22	0.590	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	234.60	domain	trim	0.994588	945	833	1580	569	2.54	0.590	formate dehydrogenase [EC:1.17.1.9]
K00123	840.00	full	all	0.680372	6617	5640	6054	868	5.87	0.590	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	160.07	full	trim	0.584279	4354	3530	2578	347	5.53	0.590	formate dehydrogenase iron-sulfur subunit
K00125	200.27	full	all	1.000000	325	295	662	378	3.10	0.590	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	43.03	domain	all	0.998370	1084	919	324	124	4.94	0.590	formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	91.50	full	trim	0.706354	3811	3100	1772	285	12.41	0.590	formate dehydrogenase subunit gamma
K00128	611.13	full	all	0.298044	18214	16896	11062	786	10.23	0.590	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	794.00	domain	all	0.630113	1367	1323	4331	643	3.31	0.590	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	682.93	domain	all	0.686474	5680	5128	2567	574	3.57	0.590	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	473.23	domain	all	0.993490	1430	1237	1056	501	2.06	0.591	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	656.70	full	all	0.940316	519	450	949	496	1.52	0.590	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	226.73	full	all	0.994570	10866	9158	2342	545	5.87	0.590	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	409.53	full	all	0.752981	16742	13811	5702	442	5.92	0.590	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00135	584.60	domain	all	0.670193	14062	12609	4398	801	5.57	0.590	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	685.27	domain	all	0.967659	1146	941	818	478	0.96	0.591	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	752.97	domain	all	0.986407	4341	3629	1285	980	1.63	0.590	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	819.60	domain	trim	0.810990	877	856	2142	637	1.88	0.589	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	490.23	domain	all	0.996641	8741	7764	5786	685	2.34	0.590	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	624.60	domain	trim	0.933936	942	841	738	486	1.50	0.590	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	418.40	domain	all	0.991811	928	922	8380	1082	4.25	0.590	acyl-CoA synthetase [EC:6.2.1.-]
K00143	920.80	domain	all	0.997494	204	200	3328	1407	1.29	0.591	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	167.77	full	all	0.907209	8484	7505	2503	425	3.93	0.590	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	690.83	domain	trim	0.497715	1599	1312	754	493	1.53	0.590	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	553.83	full	all	0.956871	8348	7432	2089	611	4.00	0.590	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	397.80	full	all	0.994524	1647	1373	821	400	1.22	0.590	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	777.27	domain	all	0.977089	760	739	1821	647	1.24	0.590	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	357.57	full	all	0.800559	1440	1210	754	353	4.10	0.590	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
K00151	725.33	domain	all	0.979554	1360	1099	718	495	1.28	0.589	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	928.10	full	all	1.000000	12	10	483	483	0.48	0.593	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	404.23	domain	trim	0.994419	1289	1170	960	397	1.15	0.590	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	579.53	domain	all	0.958492	2177	1971	1264	546	1.99	0.591	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00155	1130.27	domain	all	0.974359	22	22	1171	1031	0.99	0.590	L-tyrosine reductase [EC:1.2.1.101]
K00156	698.17	domain	all	0.952432	3611	3175	2495	692	2.65	0.590	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	2166.67	full	all	0.955405	936	934	7358	1573	1.45	0.590	aldehyde oxidase [EC:1.2.3.1]
K00158	612.73	full	trim	0.960394	898	704	956	578	2.24	0.590	pyruvate oxidase [EC:1.2.3.3]
K00161	423.00	full	all	0.814196	6826	5795	4521	469	4.38	0.590	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00162	481.77	full	all	0.815848	6292	5314	2649	426	2.46	0.590	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
K00163	333.10	full	all	1.000000	5883	5063	3302	973	2.34	0.590	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	1212.20	domain	all	0.890722	7829	6803	7095	1052	2.22	0.590	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	422.17	full	all	0.773195	5950	5292	4375	589	4.55	0.590	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]
K00167	456.20	full	all	0.815703	5789	4943	3333	436	2.00	0.589	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00169	292.53	domain	trim	0.871663	1311	1027	1417	530	3.48	0.590	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	324.03	full	all	0.815513	1213	1042	1194	372	3.13	0.590	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	103.80	domain	trim	0.806056	890	701	406	166	3.92	0.590	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	149.40	domain	trim	0.859887	1107	954	796	326	5.22	0.590	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	262.47	full	all	0.927006	4230	3831	2207	658	5.15	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	232.33	domain	all	0.941644	4286	3760	1822	641	5.64	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	71.07	domain	all	0.952417	1422	1183	432	161	5.21	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	136.17	full	all	0.896696	1489	1298	616	232	3.87	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	399.00	full	all	0.985271	1598	1527	3163	672	3.57	0.590	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	143.10	full	trim	0.972177	1538	1292	1110	353	7.33	0.590	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00181	192.57	full	all	0.999382	864	812	4306	584	2.80	0.590	O-palmitoleoyl transferase [EC:2.3.1.250]
K00182	488.33	domain	all	0.968244	1203	976	1712	436	2.09	0.590	wingless-type MMTV integration site family, member 2
K00184	253.80	full	all	0.966460	120	107	520	249	1.20	0.591	dimethyl sulfoxide reductase iron-sulfur subunit
K00185	332.60	full	all	0.989071	104	93	574	408	1.67	0.590	dimethyl sulfoxide reductase membrane subunit
K00186	473.93	full	trim	0.857113	186	163	507	382	1.72	0.590	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
K00187	532.10	full	all	0.787921	158	146	617	478	1.44	0.591	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
K00188	91.03	domain	all	0.866174	142	120	263	140	1.86	0.590	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
K00189	295.00	full	trim	0.702070	74	70	274	183	1.59	0.590	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
K00192	638.47	full	all	1.000000	140	127	943	778	1.00	0.589	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00193	619.13	full	trim	0.948075	146	115	708	452	1.34	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
K00194	271.93	full	trim	0.960041	285	225	706	332	1.49	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
K00195	101.13	full	all	0.995556	137	115	231	175	2.50	0.590	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	148.47	domain	trim	0.559550	651	569	559	204	2.51	0.590	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	361.00	full	all	1.000000	306	269	917	460	1.48	0.591	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
K00198	367.67	full	all	0.999241	706	658	1748	761	2.18	0.590	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	271.47	full	all	1.000000	525	497	1034	546	1.71	0.591	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	169.33	full	all	0.999050	582	529	1139	451	4.52	0.590	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	183.70	full	all	0.998942	506	475	828	409	3.76	0.590	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	120.90	domain	all	0.927689	266	214	227	130	3.19	0.590	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	170.80	domain	all	0.989247	58	48	204	155	1.06	0.591	4Fe-4S ferredoxin
K00205	145.13	domain	all	0.974198	233	198	832	406	1.98	0.590	4Fe-4S ferredoxin
K00206	619.50	domain	all	0.995334	386	324	562	481	0.99	0.591	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00207	452.13	full	all	0.987967	1071	1049	3201	1064	1.64	0.590	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	271.17	full	all	0.947257	7191	5691	1485	421	3.73	0.590	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	123.93	domain	all	0.999025	1782	1539	1247	419	2.33	0.590	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00211	437.20	full	all	0.993289	226	222	1473	478	0.95	0.591	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	630.00	domain	all	0.531667	101	98	698	323	0.71	0.589	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	406.53	full	all	0.978623	960	932	2246	532	2.97	0.590	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	153.77	full	all	0.999212	687	634	1251	520	3.63	0.590	biliverdin reductase [EC:1.3.1.24]
K00215	134.17	full	all	0.986277	9932	8515	2091	392	9.03	0.590	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	245.77	domain	all	0.986633	1379	1078	1238	505	2.50	0.590	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	306.80	full	trim	0.956175	1104	1018	1086	645	3.41	0.590	maleylacetate reductase [EC:1.3.1.32]
K00218	267.70	domain	trim	0.983812	702	655	1014	407	2.60	0.590	protochlorophyllide reductase [EC:1.3.1.33]
K00219	629.40	domain	all	0.999820	3144	2789	2562	1100	2.06	0.590	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	388.50	full	all	0.972630	992	901	700	412	2.29	0.590	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	81.10	domain	all	0.872348	197	135	654	230	4.42	0.590	alkylmercury lyase [EC:4.99.1.2]
