protein accession	sequence accession	genome accession	contig accession	pass all	Leader().upstreamOfPfam('PF00081').betweenAA(-35, -15).is_SP(deeploc=True)	Pfam.matches('PF00081')	Pfam.matches('PF02777')	KO.matches('K04564', bound_cterm=True)	HMMAlignment('k04564.hmm').is_at('H', 61)	HMMAlignment('k04564.hmm').is_at('H', 106)	HMMAlignment('k04564.hmm').is_at('D', 187)	HMMAlignment('k04564.hmm').is_at('H', 191)	HMMAlignment('k04564.hmm').matches_regex('[QDK]', 196)	Leader.call('mTP')	Leader.call('SP')	Leader.localization	Leader.call('Cell membrane')	Leader.call('Cytoplasm')	Leader.call('Endoplasmic reticulum')	Leader.call('Extracellular')	Leader.call('Golgi apparatus')	Leader.call('Lipid anchor')	Leader.call('Lysosome/Vacuole')	Leader.call('Mitochondrion')	Leader.call('Nucleus')	Leader.call('Peripheral')	Leader.call('Peroxisome')	Leader.call('Plastid')	Leader.call('Soluble')	Leader.call('Transmembrane')
CAXAMM010040173.1_K04564_1d3f7085	CAXAMM010040173.1_K04564_1d3f7085_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	17	6	7	68	5	8	3	63	2	71	5	36	67	8
CAXAMM010040173.1_K04564_b38f776c	CAXAMM010040173.1_K04564_b38f776c_with_leader_u18_PF00081_M_to_K04564_203	GCA_963969995.1	CAXAMM010040173.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	17	6	7	68	5	8	3	63	2	71	5	36	67	8
CAK9032107.1	CAK9032107.1_to_K04564_230	GCA_963970005.1	CAXAMN010010569.1	true	true	true	true	true	true	true	true	true	true	0	100	Extracellular	12	15	25	83	45	5	41	17	4	54	1	10	76	9
CAK9113181.1	CAK9113181.1_with_leader_u18_PF00081_M_to_K04564_257	GCA_963970005.1	CAXAMN010027806.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular	17	6	7	71	5	10	3	60	2	72	5	37	60	8
CAK9113185.1	CAK9113185.1_with_leader_u35_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	false	true	true	true	true	true	true	true	true	0	0	Plastid	14	24	11	54	12	17	3	59	5	72	20	65	56	9
CAK9113185.1	CAK9113185.1_with_leader_u21_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular	12	10	6	79	7	17	6	44	3	71	13	47	61	7
CAK9113185.1	CAK9113185.1_with_leader_u18_PF00081_M_to_K04564_914	GCA_963970005.1	CAXAMN010027806.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular	19	6	7	70	5	16	3	58	2	74	4	39	57	8
CAXAMN010027783.1_K04564_0f8290bd	CAXAMN010027783.1_K04564_0f8290bd_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	17	6	7	68	5	8	3	63	2	71	5	36	67	8
CAXAMN010027783.1_K04564_a5ab1868	CAXAMN010027783.1_K04564_a5ab1868_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027783.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	17	6	7	68	5	8	3	63	2	71	5	36	67	8
CAXAMN010027806.1_K04564_b422a675	CAXAMN010027806.1_K04564_b422a675_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	17	6	7	68	5	8	3	63	2	71	5	36	67	8
CAXAMN010027806.1_K04564_f0a63ebd	CAXAMN010027806.1_K04564_f0a63ebd_with_leader_u18_PF00081_M_to_K04564_203	GCA_963970005.1	CAXAMN010027806.1	false	false	true	true	true	true	true	true	true	true	0	0	Extracellular|Mitochondrion	17	6	7	68	5	8	3	63	2	71	5	36	67	8
OZ257276.1_K04564_ace37290	OZ257276.1_K04564_ace37290_with_leader_u31_PF00081_M_to_K04564_198	GCA_965279495.1	OZ257276.1	false	false	true	true	true	true	true	true	true	true	0	0	Plastid	14	8	12	47	6	9	6	43	3	72	9	84	52	17
TRINITY_DN30502_c0_g1_i4.p1|durusdinium_trenchii	TRINITY_DN30502_c0_g1_i4.p1_with_leader_u18_PF00081_M_to_K04564_273|durusdinium_trenchii			false	false	true	true	true	true	true	true	true	true	0	0	Extracellular	17	6	7	71	5	10	3	60	2	72	5	37	60	8
TRINITY_DN30502_c0_g1_i1.p1|durusdinium_trenchii	TRINITY_DN30502_c0_g1_i1.p1_with_leader_u18_PF00081_M_to_K04564_270|durusdinium_trenchii			false	false	true	true	true	true	true	true	true	true	0	0	Extracellular	17	6	7	71	5	10	3	60	2	72	5	37	60	8
TRINITY_DN30502_c0_g1_i3.p1|durusdinium_trenchii	TRINITY_DN30502_c0_g1_i3.p1_with_leader_u18_PF00081_M_to_K04564_273|durusdinium_trenchii			false	false	true	true	true	true	true	true	true	true	0	0	Extracellular	17	6	7	71	5	10	3	60	2	72	5	37	60	8
TRINITY_DN30502_c0_g1_i2.p1|durusdinium_trenchii	TRINITY_DN30502_c0_g1_i2.p1_with_leader_u18_PF00081_M_to_K04564_270|durusdinium_trenchii			false	false	true	true	true	true	true	true	true	true	0	0	Extracellular	17	6	7	71	5	10	3	60	2	72	5	37	60	8
siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1|breviolum_b5	siderastrea_symb_TRINITY_DN8493_c0_g1_i1.p1_to_K04564_227|breviolum_b5			true	true	true	true	true	true	true	true	true	true	0	100	Extracellular|Lysosome/Vacuole	6	19	22	79	43	5	60	6	6	48	0	1	79	8
pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1|symbiodinium_a3	pseudodiploria_symb_TRINITY_DN348117_c0_g1_i1.p1_with_leader_u16_PF00081_M_to_K04564_250|symbiodinium_a3			true	true	true	true	true	true	true	true	true	true	0	100	Extracellular	5	17	16	77	37	5	46	6	5	50	1	4	78	8
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1|breviolum_faviinorum	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_to_K04564_236|breviolum_faviinorum			true	true	true	true	true	true	true	true	true	true	0	100	Extracellular	12	18	17	71	43	5	47	11	5	60	0	3	76	8
orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1|breviolum_faviinorum	orbicella_symb_TRINITY_DN78611_c0_g2_i1.p1_with_leader_u20_PF00081_M_to_K04564_236|breviolum_faviinorum			true	true	true	true	true	true	true	true	true	true	0	100	Extracellular	9	16	17	65	53	5	52	15	5	61	1	3	75	8
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1|breviolum_faviinorum	orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_to_K04564_147|breviolum_faviinorum			false	true	true	false	true	true	true	false	false	false	0	100	Extracellular	18	20	22	68	48	8	35	12	3	60	0	1	67	16
orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1|breviolum_faviinorum	orbicella_symb_TRINITY_DN241331_c0_g1_i1.p1_with_leader_u17_PF00081_M_to_K04564_147|breviolum_faviinorum			false	true	true	false	true	true	true	false	false	false	0	100	Extracellular	10	17	30	72	53	7	40	12	2	64	0	2	68	13
orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1|breviolum_faviinorum	orbicella_symb_TRINITY_DN393612_c0_g1_i1.p1_with_leader_u31_PF00081_M_to_K04564_278|breviolum_faviinorum			false	false	true	true	true	true	true	true	true	true	0	0	Plastid	10	8	14	59	8	9	5	41	2	79	7	85	49	15
d_trenchii_TRINITY_DN533_c0_g1_i4.p1|durusdinium_trenchii	d_trenchii_TRINITY_DN533_c0_g1_i4.p1_with_leader_u18_PF00081_M_to_K04564_257|durusdinium_trenchii			false	false	true	true	true	true	true	true	true	true	0	0	Extracellular	17	6	7	71	5	10	3	60	2	72	5	37	60	8
d_trenchii_TRINITY_DN32906_c0_g1_i1.p1|durusdinium_trenchii	d_trenchii_TRINITY_DN32906_c0_g1_i1.p1_with_leader_u21_PF00081_M_to_K04564_249|durusdinium_trenchii			true	true	true	true	true	true	true	true	true	true	0	100	Extracellular	12	15	25	83	45	5	41	17	4	54	1	10	76	9
evm.model.scf7180000356577.1|cladocopium_goreaui	evm.model.scf7180000356577.1_with_leader_u21_PF00081_M_to_K04564_350|cladocopium_goreaui			false	false	true	true	true	true	true	true	true	true	0	0	Plastid	9	30	3	54	9	4	14	23	9	52	11	71	77	8
