Genome accession	NFkB candidate	IkB candidate	NFkB chain contact coordinate	pDockQ2 region	pDockQ2 score	zipfile	zipfile_sha256	scoring_signature
GCA_942486025.1	CAH3027709.1	CAH3198638.1	258:401	A_B	0.800817	fold_cah3027709_1_cah3198638_1.zip	1f52e3a7e3b73d7474c051b70c8a6e0438c062b09d2f7f22726b2609135dc043	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3198638.1	258:401	A_C	0.361993	fold_cah3027709_1_cah3198638_1.zip	1f52e3a7e3b73d7474c051b70c8a6e0438c062b09d2f7f22726b2609135dc043	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3198638.1	258:401	B_C	0.521321	fold_cah3027709_1_cah3198638_1.zip	1f52e3a7e3b73d7474c051b70c8a6e0438c062b09d2f7f22726b2609135dc043	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3198638.1	258:401	A_region_B_region	0.805896	fold_cah3027709_1_cah3198638_1.zip	1f52e3a7e3b73d7474c051b70c8a6e0438c062b09d2f7f22726b2609135dc043	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3198638.1	258:401	A_region_C	0.361993	fold_cah3027709_1_cah3198638_1.zip	1f52e3a7e3b73d7474c051b70c8a6e0438c062b09d2f7f22726b2609135dc043	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3027709.1	CAH3198638.1	258:401	B_region_C	0.521321	fold_cah3027709_1_cah3198638_1.zip	1f52e3a7e3b73d7474c051b70c8a6e0438c062b09d2f7f22726b2609135dc043	f9ad4d4b1cc91cab8f0bc885815df77cef199701e3cab71cd029332bf6e06b3f
GCA_942486025.1	CAH3185197.1	CAH3027367.1	255:398	A_B	0.742622	fold_cah3185197_1_cah3027367_1.zip	f95c475eb19782fd2a8b0a739f6e0a896b29b7e1c1ebd270ec51d0686221d5c5	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3027367.1	255:398	A_C	0.400940	fold_cah3185197_1_cah3027367_1.zip	f95c475eb19782fd2a8b0a739f6e0a896b29b7e1c1ebd270ec51d0686221d5c5	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3027367.1	255:398	B_C	0.219384	fold_cah3185197_1_cah3027367_1.zip	f95c475eb19782fd2a8b0a739f6e0a896b29b7e1c1ebd270ec51d0686221d5c5	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3027367.1	255:398	A_region_B_region	0.752714	fold_cah3185197_1_cah3027367_1.zip	f95c475eb19782fd2a8b0a739f6e0a896b29b7e1c1ebd270ec51d0686221d5c5	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3027367.1	255:398	A_region_C	0.400940	fold_cah3185197_1_cah3027367_1.zip	f95c475eb19782fd2a8b0a739f6e0a896b29b7e1c1ebd270ec51d0686221d5c5	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3027367.1	255:398	B_region_C	0.272615	fold_cah3185197_1_cah3027367_1.zip	f95c475eb19782fd2a8b0a739f6e0a896b29b7e1c1ebd270ec51d0686221d5c5	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3028528.1	255:398	A_B	0.721339	fold_cah3185197_1_cah3028528_1.zip	4ede570c0ef1c6ccffaacce1ebfef5996007acb5fb9a74b98e0795befe056947	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3028528.1	255:398	A_C	0.391267	fold_cah3185197_1_cah3028528_1.zip	4ede570c0ef1c6ccffaacce1ebfef5996007acb5fb9a74b98e0795befe056947	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3028528.1	255:398	B_C	0.459050	fold_cah3185197_1_cah3028528_1.zip	4ede570c0ef1c6ccffaacce1ebfef5996007acb5fb9a74b98e0795befe056947	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3028528.1	255:398	A_region_B_region	0.721339	fold_cah3185197_1_cah3028528_1.zip	4ede570c0ef1c6ccffaacce1ebfef5996007acb5fb9a74b98e0795befe056947	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3028528.1	255:398	A_region_C	0.391267	fold_cah3185197_1_cah3028528_1.zip	4ede570c0ef1c6ccffaacce1ebfef5996007acb5fb9a74b98e0795befe056947	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3028528.1	255:398	B_region_C	0.459050	fold_cah3185197_1_cah3028528_1.zip	4ede570c0ef1c6ccffaacce1ebfef5996007acb5fb9a74b98e0795befe056947	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3148052.1	255:398	A_B	0.690889	fold_cah3185197_1_cah3148052_1.zip	6575bf3a42c5b0441a004eb0b174ba8af077bef3993f29af430ac97f66591b77	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3148052.1	255:398	A_C	0.214823	fold_cah3185197_1_cah3148052_1.zip	6575bf3a42c5b0441a004eb0b174ba8af077bef3993f29af430ac97f66591b77	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3148052.1	255:398	B_C	0.355498	fold_cah3185197_1_cah3148052_1.zip	6575bf3a42c5b0441a004eb0b174ba8af077bef3993f29af430ac97f66591b77	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3148052.1	255:398	A_region_B_region	0.690889	fold_cah3185197_1_cah3148052_1.zip	6575bf3a42c5b0441a004eb0b174ba8af077bef3993f29af430ac97f66591b77	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3148052.1	255:398	A_region_C	0.214823	fold_cah3185197_1_cah3148052_1.zip	6575bf3a42c5b0441a004eb0b174ba8af077bef3993f29af430ac97f66591b77	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3148052.1	255:398	B_region_C	0.355498	fold_cah3185197_1_cah3148052_1.zip	6575bf3a42c5b0441a004eb0b174ba8af077bef3993f29af430ac97f66591b77	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3197536.1	255:398	A_B	0.206794	fold_cah3185197_1_cah3197536_1.zip	5f0ed1978548203064db3319dfa3fadd4d3e9e2fde26a617049231058fd3f3d4	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3197536.1	255:398	A_C	0.297127	fold_cah3185197_1_cah3197536_1.zip	5f0ed1978548203064db3319dfa3fadd4d3e9e2fde26a617049231058fd3f3d4	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3197536.1	255:398	B_C	0.012971	fold_cah3185197_1_cah3197536_1.zip	5f0ed1978548203064db3319dfa3fadd4d3e9e2fde26a617049231058fd3f3d4	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3197536.1	255:398	A_region_B_region	0.571674	fold_cah3185197_1_cah3197536_1.zip	5f0ed1978548203064db3319dfa3fadd4d3e9e2fde26a617049231058fd3f3d4	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3197536.1	255:398	A_region_C	0.297127	fold_cah3185197_1_cah3197536_1.zip	5f0ed1978548203064db3319dfa3fadd4d3e9e2fde26a617049231058fd3f3d4	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3197536.1	255:398	B_region_C	0.012971	fold_cah3185197_1_cah3197536_1.zip	5f0ed1978548203064db3319dfa3fadd4d3e9e2fde26a617049231058fd3f3d4	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3198638.1	255:398	A_B	0.135312	fold_cah3185197_1_cah3198638_1.zip	bd27d7d7df0ac98ad9e0eb7524fecd9a34286aa66a32c80f40d362a9042d58cf	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3198638.1	255:398	A_C	0.164330	fold_cah3185197_1_cah3198638_1.zip	bd27d7d7df0ac98ad9e0eb7524fecd9a34286aa66a32c80f40d362a9042d58cf	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3198638.1	255:398	B_C	0.012123	fold_cah3185197_1_cah3198638_1.zip	bd27d7d7df0ac98ad9e0eb7524fecd9a34286aa66a32c80f40d362a9042d58cf	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3198638.1	255:398	A_region_B_region	0.547439	fold_cah3185197_1_cah3198638_1.zip	bd27d7d7df0ac98ad9e0eb7524fecd9a34286aa66a32c80f40d362a9042d58cf	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3198638.1	255:398	A_region_C	0.164330	fold_cah3185197_1_cah3198638_1.zip	bd27d7d7df0ac98ad9e0eb7524fecd9a34286aa66a32c80f40d362a9042d58cf	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486025.1	CAH3185197.1	CAH3198638.1	255:398	B_region_C	0.012123	fold_cah3185197_1_cah3198638_1.zip	bd27d7d7df0ac98ad9e0eb7524fecd9a34286aa66a32c80f40d362a9042d58cf	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3136379.1	255:398	A_region_A_Cterm	0.490608	fold_cah3136379_1.zip	1309ae4af4b1cbb536233dceab5845161610dd18900397cbeb6daf76a399b050	40ad1fb5ab55e140255d5d528b52fc60e7ea053bfa4ae1b82825e2ae77752e65
GCA_942486035.1	CAH3136379.1	CAH3116438.1	255:398	A_B	0.808478	fold_cah3136379_1_cah3116438_1.zip	f808b3af25930fcc2ed4e5e38026baec03f79d2d51f625d507fddbafb71b89ed	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3116438.1	255:398	A_C	0.301646	fold_cah3136379_1_cah3116438_1.zip	f808b3af25930fcc2ed4e5e38026baec03f79d2d51f625d507fddbafb71b89ed	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3116438.1	255:398	B_C	0.560494	fold_cah3136379_1_cah3116438_1.zip	f808b3af25930fcc2ed4e5e38026baec03f79d2d51f625d507fddbafb71b89ed	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3116438.1	255:398	A_region_B_region	0.811656	fold_cah3136379_1_cah3116438_1.zip	f808b3af25930fcc2ed4e5e38026baec03f79d2d51f625d507fddbafb71b89ed	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3116438.1	255:398	A_region_C	0.301646	fold_cah3136379_1_cah3116438_1.zip	f808b3af25930fcc2ed4e5e38026baec03f79d2d51f625d507fddbafb71b89ed	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3116438.1	255:398	B_region_C	0.570421	fold_cah3136379_1_cah3116438_1.zip	f808b3af25930fcc2ed4e5e38026baec03f79d2d51f625d507fddbafb71b89ed	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3158544.1	255:398	A_B	0.209255	fold_cah3136379_1_cah3158544_1.zip	4dadfed07b892f2ea1bf734e2e8a2c6d828482dced0aeaf7432984d3f49fec33	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3158544.1	255:398	A_C	0.345711	fold_cah3136379_1_cah3158544_1.zip	4dadfed07b892f2ea1bf734e2e8a2c6d828482dced0aeaf7432984d3f49fec33	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3158544.1	255:398	B_C	0.330712	fold_cah3136379_1_cah3158544_1.zip	4dadfed07b892f2ea1bf734e2e8a2c6d828482dced0aeaf7432984d3f49fec33	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3158544.1	255:398	A_region_B_region	0.766993	fold_cah3136379_1_cah3158544_1.zip	4dadfed07b892f2ea1bf734e2e8a2c6d828482dced0aeaf7432984d3f49fec33	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3158544.1	255:398	A_region_C	0.345711	fold_cah3136379_1_cah3158544_1.zip	4dadfed07b892f2ea1bf734e2e8a2c6d828482dced0aeaf7432984d3f49fec33	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3158544.1	255:398	B_region_C	0.330712	fold_cah3136379_1_cah3158544_1.zip	4dadfed07b892f2ea1bf734e2e8a2c6d828482dced0aeaf7432984d3f49fec33	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3158546.1	255:398	A_B	0.238302	fold_cah3136379_1_cah3158546_1.zip	2967e88c2efcc45bb9f5d7318ffa8ec91de860df8224b806152c7d95df311e50	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
GCA_942486035.1	CAH3136379.1	CAH3158546.1	255:398	A_C	0.616157	fold_cah3136379_1_cah3158546_1.zip	2967e88c2efcc45bb9f5d7318ffa8ec91de860df8224b806152c7d95df311e50	ff1ca08f477a5e8c317fd8f9d116cb12edde2c7a2951fa5492170faee70dd512
