Cluster Repr	Cluster Member
CAB4013506.1	CAB4013506.1
CAB4013506.1	CAB4013505.1
CAB4022695.1	CAB4022695.1
CAB4022695.1	XP_015760549.1
CAB4022695.1	XP_015760556.1
CAB4022695.1	XP_029205555.1
CAB4022695.1	XP_029205556.1
CAB4022695.1	XP_029205555.2
CAB4022695.1	XP_029205556.2
CAB4022695.1	XP_044180343.1
CAB4022695.1	XP_067053484.1
CAB4022695.1	XP_068713489.1
CAB4022695.1	XP_068759456.1
CAB4022695.1	XP_068759457.1
CAB4022695.1	XP_068713490.1
CAB4022695.1	XP_068713491.1
CAB4022695.1	XP_068713492.1
CAB4022695.1	XP_068713493.1
CAB4032877.1	CAB4032877.1
CACRXK020002462.1_K21952_910ab258	CACRXK020002462.1_K21952_910ab258
CACRXK020002792.1_K21435_0bec6680	CACRXK020002792.1_K21435_0bec6680
CACRXK020002792.1_K24047_796b142e	CACRXK020002792.1_K24047_796b142e
CACRXK020005745.1_K21440_15414a31	CACRXK020005745.1_K21440_15414a31
CACRXK020005745.1_K21440_15414a31	CACRXK020004484.1_K21440_e2024f9d
CACRXK020005745.1_K21440_15414a31	NW_021163019.1_K21440_834cb4a2
CACRXK020005745.1_K21440_15414a31	NW_021163019.1_K21440_2c3050b7
CACRXK020005745.1_K21440_15414a31	NW_021163019.1_K21440_8046b2d0
CACRXK020005745.1_K21440_15414a31	MPSW01003544.1_K21440_a8ccab5b
CACRXK020005745.1_K21440_15414a31	MPSW01003544.1_K21440_1659d04c
CACRXK020005745.1_K21440_15414a31	MPSW01003544.1_K21440_8a7e8c97
CACRXK020005745.1_K21440_15414a31	MPSW01003544.1_K21440_d8ee613a
CACRXK020005745.1_K21440_15414a31	OZ116698.1_K21440_e3074dfb
CACRXK020005745.1_K21440_15414a31	NW_018150112.1_K21440_134c5eb9
CACRXK020005745.1_K21440_15414a31	NW_018150112.1_K21440_2b40352d
CACRXK020005745.1_K21440_15414a31	NW_018150112.1_K21440_5a385e9f
CACRXK020005745.1_K21440_15414a31	NW_018150112.1_K21440_d4cab01b
CACRXK020005745.1_K21440_15414a31	MPSW01010470.1_K21440_844ef88b
CACRXK020005745.1_K21440_15414a31	OZ116698.1_K21440_11088c0c
CACRXK020005745.1_K21440_15414a31	NW_018150124.1_K21440_02a427b5
CACRXK020005745.1_K21440_15414a31	MU826837.1_K21440_492c426e
CACRXK020005745.1_K21440_15414a31	MU826872.1_K21440_ec9819ab
CACRXK020005745.1_K21440_15414a31	RDEB01000119.1_K21440_8a459c3f
CACRXK020005745.1_K21440_15414a31	RDEB01000119.1_K21440_b0c9b1cb
CACRXK020005745.1_K21440_15414a31	NC_090884.1_K21440_1c77d4c5
CACRXK020005745.1_K21440_15414a31	NC_090884.1_K21440_33f8fb1b
CACRXK020005745.1_K21440_15414a31	NC_090870.1_K21440_4b8defee
CACRXK020005745.1_K21440_15414a31	BLFE01003426.1_K21440_6f2ed8c4
CACRXK020005745.1_K21440_15414a31	BLAZ01000517.1_K21440_184fb667
CACRXK020005745.1_K21440_15414a31	BLAZ01000517.1_K21440_389319b0
CACRXK020005745.1_K21440_15414a31	BLAZ01000517.1_K21440_79dd1e55
CACRXK020005745.1_K21440_15414a31	BLFE01001271.1_K21440_5e4ca8d7
CACRXK020005745.1_K21440_15414a31	BLFE01001271.1_K21440_85836509
CACRXK020005745.1_K21440_15414a31	NW_015442235.1_K21440_d26a4ffa
CACRXK020005745.1_K21440_15414a31	NW_021126385.1_K21440_6937fb5d
CACRXK020005745.1_K21440_15414a31	NC_058066.1_K21440_0441e9c9
CACRXK020005745.1_K21440_15414a31	NC_058066.1_K21440_87ea64bf
CACRXK020005745.1_K21440_15414a31	NC_090045.1_K21440_42860a48
CACRXK020005745.1_K21440_15414a31	NC_090045.1_K21440_437a0179
CACRXK020005745.1_K21440_15414a31	NC_090045.1_K21440_c29b20d9
CACRXK020005745.1_K21440_15414a31	BLAZ01000784.1_K21440_f2e8f7d3
CACRXK020005745.1_K21440_15414a31	BLEZ01002222.1_K21440_da03fcea
CACRXK020005745.1_K21440_15414a31	NW_021126385.1_K21440_8c674e1f
CACRXK020005745.1_K21440_15414a31	NC_090045.1_K21440_6e900e17
CACRXK020005745.1_K21440_15414a31	NC_090045.1_K21440_b2a7233d
CACRXK020005745.1_K21440_15414a31	JAUJYZ010000219.1_K21440_39f42371
CACRXK020005745.1_K21440_15414a31	JAUJYZ010000219.1_K21440_8a42d2f4
CACRXK020005745.1_K21440_15414a31	CM106368.1_K21440_0e77534c
CACRXK020005745.1_K21440_15414a31	JAJLRJ010000008.1_K21440_14bd3eda
CACRXK020005745.1_K21440_15414a31	NW_026709451.1_K21440_93738c29
CACRXK020005745.1_K21440_15414a31	CALNXJ010000037.1_K21440_d142c2e2
CACRXK020005745.1_K21440_15414a31	NW_020845063.1_K21440_c9730d37
CACRXK020005745.1_K21440_15414a31	NC_089315.1_K21440_7f613822
CACRXK020005745.1_K21440_15414a31	NC_133211.1_K21440_2ea6733c
CACRXK020005745.1_K21440_15414a31	CALNXI010000067.1_K21440_544b230a
CACRXK020005745.1_K21440_15414a31	CALNXI010004719.1_K21440_8ea5a456
CACRXK020005745.1_K21440_15414a31	CALNXK010000034.1_K21440_c4856a53
CACRXK020005745.1_K21440_15414a31	CALNXI010000356.1_K21440_7acdf1b8
CACRXK020005745.1_K21440_15414a31	JAJLRJ010000003.1_K21440_d3b4846f
CACRXK020005745.1_K21440_15414a31	CM106368.1_K21440_116b7d71
CACRXK020005745.1_K21440_15414a31	CALNXI010003358.1_K21440_6e01b0e7
CACRXK020005745.1_K21440_15414a31	CALNXK010000156.1_K21440_928160a9
CACRXK020005745.1_K21440_15414a31	NW_015441295.1_K21440_6fd1d7c1
CACRXK020005745.1_K21440_15414a31	BLEZ01002222.1_K21440_1af0e934
CACRXK020005745.1_K21440_15414a31	BLEZ01002222.1_K21440_9742cbfd
CACRXK020005745.1_K21440_15414a31	NC_133205.1_K21440_2658ef18
CACRXK020005745.1_K21440_15414a31	CALNXK010000080.1_K21440_c3276ee5
CACRXK020005745.1_K21440_15414a31	CALNXK010000080.1_K21440_301927e3
CACRXK020005745.1_K21440_15414a31	CALNXJ010000004.1_K21440_19f7671a
CACRXK020005745.1_K21440_15414a31	CALNXJ010000004.1_K21440_413f347a
CACRXK020005745.1_K21440_15414a31	CALNXJ010000004.1_K21440_7b47de9e
CACRXK020005745.1_K21440_15414a31	CALNXJ010000004.1_K21440_ac67447a
CACRXK020005745.1_K21440_15414a31	CALNXJ010000004.1_K21440_d6d0840d
CACRXK020005745.1_K21440_15414a31	CALNXJ010000004.1_K21440_da89cc6b
CACRXK020005745.1_K21440_15414a31	NW_026711155.1_K21440_67adb696
CACRXK020005745.1_K21440_15414a31	NW_018385753.1_K21440_6a35f848
CACRXK020005745.1_K21440_15414a31	NW_019217928.1_K21440_a9209514
CACRXK020005745.1_K21440_15414a31	XP_022790585.1
CACRXK020005745.1_K21440_15414a31	NC_058066.1_K21440_da9b093a
CACRXK020005745.1_K21440_15414a31	NW_015442235.1_K21440_774cdddd
CACRXK020005745.1_K21440_15414a31	JARQWQ010000018.1_K21440_c83059ee
CACRXK020005745.1_K21440_15414a31	NW_021126385.1_K21440_dcead620
CACRXK020005745.1_K21440_15414a31	NC_133213.1_K21440_658b51ef
CACRXK020005745.1_K21440_15414a31	CALNXI010000344.1_K21440_ace1906f
CACRXK020005745.1_K21440_15414a31	NC_133213.1_K21440_3c4ffd06
CACRXK020005745.1_K21440_15414a31	CALNXK010000246.1_K21440_cf3cace8
CACRXK020005745.1_K21440_15414a31	RDEB01003147.1_K21440_de7a9c2a
CACRXK020005745.1_K21440_15414a31	NW_026709512.1_K21440_78b8280d
CACRXK020005745.1_K21440_15414a31	NW_026709512.1_K21440_07ac0b6f
CACRXK020005745.1_K21440_15414a31	BLFE01005339.1_K21440_5bab0ae3
CACRXK020005745.1_K21440_15414a31	XP_022807974.1
CACRXK020005745.1_K21440_15414a31	NW_019218589.1_K21440_98531b5d
CACRXK020005745.1_K21440_15414a31	NW_019218589.1_K21440_84d741bf
CACRXK020005745.1_K21440_15414a31	NC_064035.1_K21440_9707c549
CACRXK020005745.1_K21440_15414a31	NW_001834388.1_K21440_02c6d35f
CAH3019517.1	CAH3019517.1
CAH3019517.1	KAK2572872.1
CAH3019517.1	CAH3151893.1
CAH3019517.1	XP_015755312.1
CAH3019517.1	XP_029198641.1
CAH3019517.1	XP_067038074.1
CAH3019517.1	XP_068745238.1
CAH3019517.1	XP_068710233.1
CAH3019517.1	XP_073240624.1
CAH3019517.1	XP_032220659.1
CAH3019517.1	XP_032220658.1
CAH3022935.1	CAH3022935.1
CAH3022935.1	MPSW01005223.1_K10349_d3e3239d
CAH3022935.1	KAJ7384843.1
CAH3022935.1	CAH3123331.1
CAH3022935.1	XP_073251275.1
CAH3022935.1	JAUJYZ010000149.1_K25805_63f06f3d
CAH3022935.1	CAH3163700.1
CAH3022935.1	CAH3150891.1
CAH3022935.1	CAH3178474.1
CAH3022935.1	CAH3178475.1
CAH3022935.1	XP_073228587.1
CAH3022935.1	BLFE01003093.1_K25805_2b80b118
CAH3022935.1	NC_090870.1_K25805_d6c9e1e4
CAH3022935.1	RDEB01009009.1_K10349_69aaa3b7
CAH3022935.1	XP_015748431.1
CAH3022935.1	XP_048583406.1
CAH3022935.1	XP_032218027.1
CAH3023043.1	CAH3023043.1
CAH3029001.1	CAH3029001.1
CAH3029001.1	XP_068761626.1
CAH3156665.1	CAH3156665.1
CAH3156665.1	CAH3157530.1
CAH3156665.1	XP_066022580.1
CAH3156665.1	XP_068695669.1
CAH3156665.1	XP_058950929.1
CAH3161129.1	CAH3161129.1
CAH3163669.1	CAH3163669.1
CAH3163669.1	CAH3037394.1
CAH3163669.1	CAH3194929.1
CAH3163669.1	KAJ7340128.1
CAH3175250.1	CAH3175250.1
CAH3183011.1	CAH3183011.1
CAH3183011.1	KAJ7384473.1
CAH3183011.1	CAH3156130.1
CAH3183011.1	XP_073243568.1
CALNXI010000244.1_K12460_d4c50d78	CALNXI010000244.1_K12460_d4c50d78
CALNXI010001835.1_K25138_e0361130	CALNXI010001835.1_K25138_e0361130
CALNXI010001835.1_K25138_e0361130	MPSW01001274.1_K25138_2e49bef9
CALNXI010001835.1_K25138_e0361130	BLAZ01001392.1_K25138_1a27c8c6
CALNXI010001835.1_K25138_e0361130	BLEZ01001162.1_K25138_41a4ad04
CALNXI010001835.1_K25138_e0361130	BLFE01005414.1_K25138_a4568d1f
CALNXI010001835.1_K25138_e0361130	MU827344.1_K25138_d34a374b
CALNXI010001835.1_K25138_e0361130	JARQWQ010000061.1_K25138_ebe4b667
CALNXI010001835.1_K25138_e0361130	OZ116708.1_K25138_a6c66440
CALNXI010001835.1_K25138_e0361130	NW_001834406.1_K25138_3d88936f
CALNXI010001835.1_K25138_e0361130	NW_001834406.1_K25138_dbc797a5
CALNXI010001835.1_K25138_e0361130	NW_018150375.1_K25138_0f26627e
CALNXI010001835.1_K25138_e0361130	NW_019218258.1_K25138_9fd505fb
CALNXI010001835.1_K25138_e0361130	NC_090048.1_K25138_6aeb2709
CALNXI010001835.1_K25138_e0361130	NC_064034.1_K25138_88503649
CALNXI010001835.1_K25138_e0361130	NC_064034.1_K25138_d0dc5a8d
CALNXI010003318.1_K04984_efc04874	CALNXI010003318.1_K04984_efc04874
CALNXI010005714.1_K10645_405e161d	CALNXI010005714.1_K10645_405e161d
CALNXI010005714.1_K10645_405e161d	MPSW01002559.1_K10645_ab446a93
CALNXI010005714.1_K10645_405e161d	NW_018384504.1_K10645_92a8801b
CALNXI010005714.1_K10645_405e161d	CAH3186922.1
CAH3038872.1	CAH3038872.1
CAH3038872.1	CAH3027049.1
CAH3038872.1	KAJ7393228.1
CAH3042487.1	CAH3042487.1
CAH3106815.1	CAH3106815.1
CAH3116438.1	CAH3116438.1
CAH3116438.1	CAH3140492.1
CAH3124889.1	CAH3124889.1
CAH3134749.1	CAH3134749.1
XP_027057036.1	XP_027057036.1
NW_021126385.1_K04984_ea91a896	NW_021126385.1_K04984_ea91a896
NW_021129424.1_K10645_9f0183ca	NW_021129424.1_K10645_9f0183ca
NW_021129424.1_K10645_9f0183ca	RDEB01008982.1_K10645_0f879555
NW_021129424.1_K10645_9f0183ca	NC_090886.1_K10645_9c8861bf
NW_021129424.1_K10645_9f0183ca	BLFE01002685.1_K10645_d008df7e
NW_021129424.1_K10645_9f0183ca	BLEZ01002260.1_K10645_2991df8a
NW_021129424.1_K10645_9f0183ca	JARQWQ010000001.1_K10645_b40b464a
NW_021129424.1_K10645_9f0183ca	NW_015441057.1_K10645_195d005d
NW_021129424.1_K10645_9f0183ca	NC_058068.1_K10645_45049135
NW_021129424.1_K10645_9f0183ca	NC_090038.1_K10645_f6bc0e68
NW_021129424.1_K10645_9f0183ca	NW_019218082.1_K10645_6e84f950
NW_021129424.1_K10645_9f0183ca	NW_026710727.1_K10645_906f210e
NW_021129424.1_K10645_9f0183ca	CALNXJ010000011.1_K10645_5cd5f74d
NW_021129424.1_K10645_9f0183ca	NW_020846678.1_K10645_f44bf2fe
NW_021129424.1_K10645_9f0183ca	NC_089313.1_K10645_ea3b237f
NW_021129424.1_K10645_9f0183ca	CAH3192128.1
NW_021129424.1_K10645_9f0183ca	CALNXI010003093.1_K10645_1f73cb46
NW_021129424.1_K10645_9f0183ca	XP_027046654.1
NW_021129424.1_K10645_9f0183ca	NW_019217903.1_K10645_adf24b84
NW_021129424.1_K10645_9f0183ca	NW_020845701.1_K10645_c50cd3bc
NW_021129424.1_K10645_9f0183ca	NW_026711276.1_K10645_366afc87
NW_021129424.1_K10645_9f0183ca	NC_089316.1_K10645_7cf54095
NW_021129424.1_K10645_9f0183ca	BLFE01001668.1_K10645_ebb0bc98
NW_021129424.1_K10645_9f0183ca	BLEZ01001636.1_K10645_ddaef3a2
NW_021129424.1_K10645_9f0183ca	NW_021127372.1_K10645_5d41f76d
NW_021129424.1_K10645_9f0183ca	NW_021127372.1_K10645_4ce23cab
NW_021129424.1_K10645_9f0183ca	NC_058074.1_K10645_6783869d
NW_021129424.1_K10645_9f0183ca	BLFE01001668.1_K10645_92bd7aa4
NW_021129424.1_K10645_9f0183ca	CAH3162228.1
NW_021129424.1_K10645_9f0183ca	CALNXJ010000083.1_K10645_d18204d9
NW_021129424.1_K10645_9f0183ca	NC_089316.1_K10645_4034d7e5
NW_021129424.1_K10645_9f0183ca	NC_089316.1_K10645_6f90f5a1
NW_021129424.1_K10645_9f0183ca	CALNXJ010000083.1_K10645_a76610f5
NW_021129424.1_K10645_9f0183ca	NW_026710637.1_K10645_7fc86832
NW_021129424.1_K10645_9f0183ca	NC_089316.1_K10645_665351a2
NW_021129424.1_K10645_9f0183ca	NC_058074.1_K10645_94ba0948
NW_021129424.1_K10645_9f0183ca	NC_058074.1_K10645_d86cc543
NW_021129424.1_K10645_9f0183ca	BLAZ01000589.1_K10645_8b0b359f
NW_021129424.1_K10645_9f0183ca	BLEZ01001636.1_K10645_9893d18c
NW_021129424.1_K10645_9f0183ca	BLFE01005025.1_K10645_c2689185
NW_021129424.1_K10645_9f0183ca	JARQWQ010000038.1_K10645_40401166
NW_021129424.1_K10645_9f0183ca	NC_058074.1_K10645_c262ed89
NW_021129424.1_K10645_9f0183ca	BLEZ01001636.1_K10645_2092e0e4
XP_029180134.1	XP_029180134.1
XP_029180134.1	XP_029180135.1
XP_029180134.1	XP_029180134.2
XP_029180134.1	XP_029180135.2
XP_029180134.1	XP_067039738.1
XP_029180134.1	XP_027039396.1
XP_029180134.1	XP_020603897.1
XP_029180134.1	XP_022784980.1
XP_029180134.1	XP_022784981.1
XP_029180134.1	XP_058965811.1
XP_029180134.1	XP_058965811.2
XP_029180134.1	XP_066026975.1
XP_029180134.1	XP_068760562.1
XP_029180134.1	XP_068760563.1
XP_029180134.1	CAH3160687.1
XP_029180134.1	XP_027039397.1
XP_029180134.1	XP_020603898.1
XP_029180134.1	XP_028403616.1
XP_029180134.1	XP_065670718.1
XP_029180134.1	XP_065070984.1
XP_029180134.1	XP_028403442.1
XP_029180134.1	XP_065647593.1
XP_029180134.1	XP_048585573.1
XP_029180134.1	KAK3703283.1
XP_029180134.1	XP_032240615.1
XP_029180134.1	XP_020899511.1
XP_029180134.1	XP_020899510.1
XP_029180134.1	XP_073245830.1
XP_029180134.1	XP_073245828.1
XP_029180134.1	CAH3171994.1
XP_029181939.1	XP_029181939.1
XP_029181939.1	XP_029181942.1
XP_029181939.1	XP_029181939.2
XP_029181939.1	XP_067052730.1
XP_029181939.1	CAH3172151.1
XP_029181939.1	XP_068682081.1
XP_029181939.1	XP_020901636.1
XP_029181939.1	XP_032223313.1
XP_029181939.1	XP_032223314.1
XP_029181939.1	XP_032223313.2
XP_029181939.1	XP_031559897.1
XP_029207448.1	XP_029207448.1
XP_029208839.1	XP_029208839.1
XP_031566534.1	XP_031566534.1
XP_031566534.1	XP_020903771.1
XP_031566534.1	XP_068687147.1
XP_031566534.1	XP_068731939.1
XP_031566534.1	XP_068731937.1
XP_031566534.1	KAK2566508.1
XP_031566534.1	XP_029214164.1
XP_031566534.1	XP_029214164.2
XP_031566534.1	XP_067031528.1
XP_031566534.1	XP_068731938.1
XP_031566534.1	XP_068687145.1
XP_031566534.1	XP_068687146.1
XP_065056009.1	XP_065056009.1
XP_065056061.1	XP_065056061.1
XP_065056061.1	XP_065056060.1
XP_065056624.1	XP_065056624.1
XP_065058972.1	XP_065058972.1
XP_065058972.1	XP_065058971.1
XP_065063204.1	XP_065063204.1
XP_065067816.1	XP_065067816.1
XP_065067816.1	CAB3990501.1
XP_065067816.1	XP_028411052.1
XP_065067816.1	XP_028411053.1
XP_065067816.1	XP_028411054.1
XP_065067816.1	XP_046844482.1
XP_065067816.1	XP_065646251.1
XP_065067816.1	XP_065646250.1
NC_058066.1_K21440_830634b8	NC_058066.1_K21440_830634b8
NC_058066.1_K21440_830634b8	NW_021127416.1_K21440_28dd602d
NC_058072.1_K21435_b31ced49	NC_058072.1_K21435_b31ced49
NC_058079.1_K10325_4e41c3c2	NC_058079.1_K10325_4e41c3c2
NC_058079.1_K10325_4e41c3c2	JARQWQ010000076.1_K10325_1e46098b
NC_058079.1_K10325_4e41c3c2	NW_015441151.1_K10325_5c029377
NC_058079.1_K10325_4e41c3c2	NW_015441607.1_K10325_e6813e41
NC_058079.1_K10325_4e41c3c2	NC_058079.1_K10325_4ef60cf7
NC_058079.1_K10325_4e41c3c2	NC_058079.1_K10325_ff15da17
NC_058079.1_K10325_4e41c3c2	NC_090049.1_K10325_24500bd0
NC_058079.1_K10325_4e41c3c2	NC_090049.1_K10325_d92197b3
NC_058079.1_K10325_4e41c3c2	NW_027179682.1_K10325_5baf9ea0
NC_058079.1_K10325_4e41c3c2	NC_090872.1_K10325_3c059eee
NC_058079.1_K10325_4e41c3c2	NC_090891.1_K10325_0e7c38fc
NC_058079.1_K10645_53b46b74	NC_058079.1_K10645_53b46b74
NC_090893.1_K04984_952cbe31	NC_090893.1_K04984_952cbe31
XP_068751943.1	XP_068751943.1
XP_068751943.1	XP_068751944.1
XP_068751943.1	XP_068751946.1
XP_068751943.1	XP_068751947.1
XP_068751943.1	XP_068751948.1
XP_068751943.1	XP_068751949.1
XP_068751972.1	XP_068751972.1
XP_068751972.1	XP_068751971.1
XP_068759739.1	XP_068759739.1
XP_068759739.1	BLEZ01001301.1_K21440_728787ee
XP_068759739.1	BLFE01005339.1_K21440_4dcdf299
XP_068759739.1	BLFE01005339.1_K21440_8f6f7c0e
XP_068759739.1	NW_015441154.1_K21440_736acb5d
XP_068759739.1	NW_015441541.1_K21440_4373ee86
XP_068759739.1	NW_021126653.1_K21440_f3a12a39
XP_068759739.1	KAK2550836.1
NC_090870.1_K21440_06620efd	NC_090870.1_K21440_06620efd
NC_090874.1_K24483_d91997dc	NC_090874.1_K24483_d91997dc
NC_090874.1_K24483_d91997dc	CM106369.1_K24483_f379100d
NC_090874.1_K24483_d91997dc	XP_027057176.1
NC_090874.1_K24483_d91997dc	KAJ7385513.1
NC_090874.1_K24483_d91997dc	CAH3158001.1
NC_090874.1_K24483_d91997dc	XP_020603720.1
NC_090874.1_K24483_d91997dc	XP_022804895.1
NC_090874.1_K24483_d91997dc	XP_022804896.1
NC_090874.1_K24483_d91997dc	XP_027057177.1
NC_090874.1_K24483_d91997dc	XP_027057178.1
NC_090874.1_K24483_d91997dc	XP_027057180.1
NC_090874.1_K24483_d91997dc	XP_058958356.1
NC_090874.1_K24483_d91997dc	XP_058958357.1
NC_090874.1_K24483_d91997dc	XP_058958358.1
NC_090874.1_K24483_d91997dc	XP_058958359.1
NC_090874.1_K24483_d91997dc	XP_058958356.2
NC_090874.1_K24483_d91997dc	XP_058958357.2
NC_090874.1_K24483_d91997dc	XP_058958359.2
NC_090874.1_K24483_d91997dc	XP_068746662.1
NC_090874.1_K24483_d91997dc	XP_068746663.1
NC_090874.1_K24483_d91997dc	XP_068746664.1
NC_090874.1_K24483_d91997dc	XP_068746667.1
NC_090874.1_K24483_d91997dc	XP_068746668.1
NC_090874.1_K24483_d91997dc	XP_068746669.1
NC_090874.1_K24483_d91997dc	XP_068711944.1
NC_090874.1_K24483_d91997dc	XP_068711945.1
NC_090874.1_K24483_d91997dc	XP_068711947.1
NC_090874.1_K24483_d91997dc	XP_068711948.1
NC_090874.1_K24483_d91997dc	CAB4007519.1
NC_090874.1_K24483_d91997dc	XP_028403256.1
NC_090874.1_K24483_d91997dc	XP_028415086.1
NC_090874.1_K24483_d91997dc	XP_046850344.1
NC_090874.1_K24483_d91997dc	XP_032222622.1
NC_090874.1_K24483_d91997dc	NW_001834410.1_K24483_216bdcfa
NC_090874.1_K24483_d91997dc	NC_064039.1_K24483_8f7d0f4a
NC_090874.1_K24483_d91997dc	XP_032222622.2
NC_090874.1_K24483_d91997dc	XP_048585044.1
NC_090874.1_K24483_d91997dc	XP_020913849.1
NC_090874.1_K24483_d91997dc	XP_067037679.1
NC_090874.1_K24483_d91997dc	KAK2558458.1
NC_090874.1_K24483_d91997dc	XP_029209820.1
NC_090874.1_K24483_d91997dc	XP_065072227.1
NC_090874.1_K24483_d91997dc	XP_065072226.1
NC_090874.1_K24483_d91997dc	CAB3985301.1
NC_090874.1_K24483_d91997dc	CAB3985302.1
NC_090874.1_K24483_d91997dc	CACRXK020000854.1_K24483_31d361c4
NC_090874.1_K24483_d91997dc	NW_021163036.1_K24483_311c2496
NC_090874.1_K24483_d91997dc	XP_028399884.1
NC_090874.1_K24483_d91997dc	NW_025813488.1_K24483_bea48c1c
NC_090874.1_K24483_d91997dc	XP_032219322.1
NC_090874.1_K24483_d91997dc	NW_001834394.1_K24483_ac3ee844
NC_090874.1_K24483_d91997dc	NC_064036.1_K24483_0c9af73d
NC_090874.1_K24483_d91997dc	XP_032219322.2
NC_090874.1_K24483_d91997dc	XP_048581554.1
NC_090874.1_K24483_d91997dc	XP_020609759.1
NC_090874.1_K24483_d91997dc	MPSW01002273.1_K24483_1fa4affb
NC_090874.1_K24483_d91997dc	JAJLRJ010000002.1_K24483_c4235df4
NC_090874.1_K24483_d91997dc	KAJ7360603.1
NC_090874.1_K24483_d91997dc	MU827309.1_K24483_2eee612d
NC_090874.1_K24483_d91997dc	JAUJYZ010000370.1_K24483_fccb727b
NC_090874.1_K24483_d91997dc	CM106371.1_K24483_b698a145
NC_090874.1_K24483_d91997dc	CALNXI010000381.1_K24483_2f2c9d73
NC_090874.1_K24483_d91997dc	CALNXK010000014.1_K24483_c83e102b
NC_090874.1_K24483_d91997dc	CALNXJ010000055.1_K24483_efcbb464
NC_090874.1_K24483_d91997dc	OZ116710.1_K24483_3c1b85cc
NC_090874.1_K24483_d91997dc	NW_001834236.1_K24483_db6d72da
NC_090874.1_K24483_d91997dc	NW_018384632.1_K24483_2d7ebcb6
NC_090874.1_K24483_d91997dc	XP_020893289.1
NC_090874.1_K24483_d91997dc	NW_018149184.1_K24483_d2c41a22
NC_090874.1_K24483_d91997dc	NW_019218050.1_K24483_3cdbac10
NC_090874.1_K24483_d91997dc	NW_020844487.1_K24483_9b155620
NC_090874.1_K24483_d91997dc	XP_027038653.1
NC_090874.1_K24483_d91997dc	NW_022261879.1_K24483_0f9e4009
NC_090874.1_K24483_d91997dc	XP_031574076.1
NC_090874.1_K24483_d91997dc	NW_026711039.1_K24483_0fd57087
NC_090874.1_K24483_d91997dc	XP_058971337.1
NC_090874.1_K24483_d91997dc	NC_089314.1_K24483_254146d3
NC_090874.1_K24483_d91997dc	NC_064046.1_K24483_6110d821
NC_090874.1_K24483_d91997dc	XP_048576642.1
NC_090874.1_K24483_d91997dc	NC_133202.1_K24483_305695e6
NC_090874.1_K24483_d91997dc	XP_073233852.1
NC_090874.1_K24483_d91997dc	XP_058971606.1
