protein accession	genome accession	contig accession	sequence accession	locus start 1b	locus end 1b	strand	sequence length	feature type	feature index	feature position 1b	error
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	ass	4	2672	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	ass	5	3110	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	ass	6	6851	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	ass	7	8825	
KAK2567480.1	GCA_032359415.1	JARQWQ010000014.1		289586	300731	+	11146	ass	8	10351	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	1	2530	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	2	3436	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	3	4199	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	4	4967	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	5	5628	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	6	6149	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	7	7110	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	8	8318	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	dss	9	9277	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	1	3402	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	2	3949	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	3	4756	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	4	5470	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	5	6045	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	6	7016	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	7	8180	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	8	9083	
KAK2568458.1	GCA_032359415.1	JARQWQ010000012.1		1530236	1540451	+	10216	ass	9	10194	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	1	27	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	2	178	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	3	765	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	4	1512	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	5	3131	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	6	4146	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	7	4604	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	8	5323	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	9	6375	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	10	6988	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	11	10630	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	12	11793	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	13	12410	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	14	12935	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	15	13119	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	16	13745	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	17	14241	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	18	14759	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	dss	19	15573	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	1	131	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	2	667	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	3	1358	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	4	2911	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	5	3988	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	6	4500	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	7	5229	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	8	6237	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	9	6788	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	10	10432	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	11	11682	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	12	12197	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	13	12847	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	14	13039	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	15	13578	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	16	14157	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	17	14694	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	18	15436	
KAK3739735.1	GCA_033675265.1	JAUJYZ010000622.1		170901	154254	-	16648	ass	19	16536	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	dss	1	481	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	dss	2	3998	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	dss	3	5518	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	dss	4	9553	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	dss	5	10780	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	ass	1	3905	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	ass	2	5410	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	ass	3	9263	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	ass	4	10469	
CAB3997549.1	GCA_902702795.2	CACRXK020003126.1		7901	20041	+	12141	ass	5	12052	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	dss	1	413	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	dss	2	4138	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	dss	3	5469	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	dss	4	6233	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	dss	5	7264	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	ass	1	4036	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	ass	2	5238	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	ass	3	6145	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	ass	4	7031	
CAB4007512.1	GCA_902702795.2	CACRXK020005816.1		13613	22176	+	8564	ass	5	8412	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	dss	1	392	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	dss	2	1936	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	dss	3	3281	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	dss	4	4012	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	dss	5	5197	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	ass	1	1834	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	ass	2	3050	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	ass	3	3924	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	ass	4	4964	
CAB4012946.1	GCA_902702795.2	CACRXK020007693.1		5580	12068	+	6489	ass	5	6337	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	dss	1	23	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	dss	2	1364	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	dss	3	1695	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	dss	4	1871	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	dss	5	2684	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	dss	6	6127	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	dss	7	6887	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	dss	8	8767	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	ass	1	1302	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	ass	2	1617	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	ass	3	1752	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	ass	4	2558	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	ass	5	5914	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	ass	6	6799	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	ass	7	8528	
CAB4029555.1	GCA_902702795.2	CACRXK020016248.1		1239	10537	+	9299	ass	8	9249	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	dss	1	566	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	dss	2	1379	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	dss	3	4822	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	dss	4	5582	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	dss	5	7462	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	ass	1	1253	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	ass	2	4609	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	ass	3	5494	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	ass	4	7223	
CAB4029556.1	GCA_902702795.2	CACRXK020016248.1		2544	10537	+	7994	ass	5	7944	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	dss	1	38	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	dss	2	2355	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	dss	3	3107	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	dss	4	4068	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	dss	5	4904	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	ass	1	2253	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	ass	2	2897	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	ass	3	3980	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	ass	4	4659	
CAH3027367.1	GCA_942486025.1	CALNXI010000448.1		256496	249664	-	6833	ass	5	6780	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	1	124	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	2	1633	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	3	2199	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	4	2949	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	5	6479	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	6	6883	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	7	7320	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	8	8239	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	9	9415	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	10	10112	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	11	10720	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	12	12643	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	13	14486	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	14	14979	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	15	18330	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	16	18992	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	17	19438	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	18	19840	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	19	20216	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	dss	20	20982	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	1	1599	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	2	1874	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	3	2801	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	4	6321	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	5	6779	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	6	7223	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	7	8101	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	8	9236	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	9	10023	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	10	10579	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	11	12532	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	12	14285	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	13	14891	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	14	18250	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	15	18825	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	16	19387	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	17	19802	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	18	20047	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	19	20838	
CAH3027709.1	GCA_942486025.1	CALNXI010000468.1		46614	68215	+	21602	ass	20	21469	
CAH3028528.1	GCA_942486025.1	CALNXI010000517.1		234877	231691	-	3187	dss	1	425	
CAH3028528.1	GCA_942486025.1	CALNXI010000517.1		234877	231691	-	3187	dss	2	1065	
CAH3028528.1	GCA_942486025.1	CALNXI010000517.1		234877	231691	-	3187	dss	3	1491	
CAH3028528.1	GCA_942486025.1	CALNXI010000517.1		234877	231691	-	3187	dss	4	2260	
CAH3028528.1	GCA_942486025.1	CALNXI010000517.1		234877	231691	-	3187	ass	1	960	
CAH3028528.1	GCA_942486025.1	CALNXI010000517.1		234877	231691	-	3187	ass	2	1257	
CAH3028528.1	GCA_942486025.1	CALNXI010000517.1		234877	231691	-	3187	ass	3	2172	
CAH3028528.1	GCA_942486025.1	CALNXI010000517.1		234877	231691	-	3187	ass	4	2882	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	1	1381	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	2	7068	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	3	9384	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	4	10755	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	5	12884	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	6	16797	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	7	19017	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	8	26851	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	9	27777	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	10	30323	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	11	32190	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	12	38569	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	13	39209	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	14	39635	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	15	40404	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	16	41262	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	17	49728	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	18	51481	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	19	52010	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	20	53317	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	21	53853	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	22	54479	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	dss	23	55456	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	1	6895	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	2	8959	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	3	10366	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	4	12788	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	5	16678	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	6	18797	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	7	26417	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	8	27342	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	9	30268	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	10	32032	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	11	38122	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	12	39104	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	13	39401	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	14	40316	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	15	41026	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	16	49518	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	17	51373	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	18	51891	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	19	53135	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	20	53640	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	21	54306	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	22	55316	
CAH3148052.1	GCA_942486025.1	CALNXI010000943.1		75619	19649	-	55971	ass	23	55804	
CAH3185197.1	GCA_942486025.1	CALNXI010002241.1		33468	41413	+	7946	dss	1	124	
CAH3185197.1	GCA_942486025.1	CALNXI010002241.1		33468	41413	+	7946	dss	2	1429	
CAH3185197.1	GCA_942486025.1	CALNXI010002241.1		33468	41413	+	7946	dss	3	1925	
CAH3185197.1	GCA_942486025.1	CALNXI010002241.1		33468	41413	+	7946	dss	4	3468	
CAH3185197.1	GCA_942486025.1	CALNXI010002241.1		33468	41413	+	7946	dss	5	4383	
