zipfile	zipfile_sha256	model	A_B_pDockQ2_max	A_C_pDockQ2_max	B_C_pDockQ2_max	A_265-405_B_265-405_pDockQ2_max	A_265-405_C_all_pDockQ2_max	B_265-405_C_all_pDockQ2_max
fold_nv_cah3158546.zip	f4edadc772bbd192bc2fdcd959527bb4829bd7e2fe863a9bd1259b20ca278bb2	2	0.840724	0.593295	0.383920	0.840724	0.593295	0.383920
fold_nv_cah3158546.zip	f4edadc772bbd192bc2fdcd959527bb4829bd7e2fe863a9bd1259b20ca278bb2	3	0.832040	0.590477	0.305785	0.832040	0.590477	0.305785
fold_nv_cah3158546.zip	f4edadc772bbd192bc2fdcd959527bb4829bd7e2fe863a9bd1259b20ca278bb2	4	0.105205	0.593172	0.235134	0.682083	0.593172	0.235134
fold_nv_cah3162228.zip	2c07b6dbce6b75bc7df8bb0bae6052e87e8ddf37dc9d66d7ab20afc380700a5f	0	0.059814	0.009666	0.009089	0.123280	0.009666	0.008774
fold_nv_cah3162228.zip	2c07b6dbce6b75bc7df8bb0bae6052e87e8ddf37dc9d66d7ab20afc380700a5f	1	0.020796	0.009068	0.009425	0.167338	0.009016	0.009425
fold_nv_cah3162228.zip	2c07b6dbce6b75bc7df8bb0bae6052e87e8ddf37dc9d66d7ab20afc380700a5f	2	0.029311	0.009124	0.009002	0.129630	0.009124	0.009002
fold_nv_cah3162228.zip	2c07b6dbce6b75bc7df8bb0bae6052e87e8ddf37dc9d66d7ab20afc380700a5f	3	0.044999	0.009072	0.000000	0.160428	0.008955	0.000000
fold_nv_cah3162228.zip	2c07b6dbce6b75bc7df8bb0bae6052e87e8ddf37dc9d66d7ab20afc380700a5f	4	0.076950	0.009332	0.000000	0.152468	0.009225	0.000000
fold_nv_cah3163115.zip	075aa60a2765dd4bd455ee26490e7a75097f5756bb7201c871b147277c918c28	0	0.229317	0.009109	0.009238	0.229317	0.009523	0.010450
fold_nv_cah3163115.zip	075aa60a2765dd4bd455ee26490e7a75097f5756bb7201c871b147277c918c28	1	0.252162	0.008531	0.009556	0.252162	0.010187	0.009556
fold_nv_cah3163115.zip	075aa60a2765dd4bd455ee26490e7a75097f5756bb7201c871b147277c918c28	2	0.197051	0.009597	0.009102	0.197051	0.010035	0.009521
fold_nv_cah3163115.zip	075aa60a2765dd4bd455ee26490e7a75097f5756bb7201c871b147277c918c28	3	0.206953	0.009409	0.009863	0.206953	0.009750	0.009863
fold_nv_cah3163115.zip	075aa60a2765dd4bd455ee26490e7a75097f5756bb7201c871b147277c918c28	4	0.223056	0.009785	0.008879	0.223056	0.010548	0.008860
fold_nv_cah3163669.zip	4601500be54df80a6db6b29f4ca0b61b4b52639d30a8518fa6292dc3c924c9fb	0	0.102237	0.009368	0.009301	0.393117	0.009638	0.009712
fold_nv_cah3163669.zip	4601500be54df80a6db6b29f4ca0b61b4b52639d30a8518fa6292dc3c924c9fb	1	0.053624	0.008770	0.008776	0.310458	0.000000	0.000000
fold_nv_cah3163669.zip	4601500be54df80a6db6b29f4ca0b61b4b52639d30a8518fa6292dc3c924c9fb	2	0.102880	0.008668	0.008790	0.321539	0.000000	0.000000
fold_nv_cah3163669.zip	4601500be54df80a6db6b29f4ca0b61b4b52639d30a8518fa6292dc3c924c9fb	3	0.374859	0.009369	0.009627	0.374859	0.009369	0.009627
fold_nv_cah3163669.zip	4601500be54df80a6db6b29f4ca0b61b4b52639d30a8518fa6292dc3c924c9fb	4	0.034919	0.009342	0.000000	0.424517	0.009342	0.000000
fold_nv_kaj7330771.zip	639910b277b43379f0858b0b48b51e20c119c779dfa57c4670b16d6dcdcf5429	0	0.751776	0.168986	0.398259	0.751776	0.450398	0.398259
fold_nv_kaj7330771.zip	639910b277b43379f0858b0b48b51e20c119c779dfa57c4670b16d6dcdcf5429	1	0.748163	0.121312	0.269693	0.748163	0.398365	0.345887
fold_nv_kaj7330771.zip	639910b277b43379f0858b0b48b51e20c119c779dfa57c4670b16d6dcdcf5429	2	0.749180	0.174536	0.373806	0.749180	0.380051	0.373806
fold_nv_kaj7330771.zip	639910b277b43379f0858b0b48b51e20c119c779dfa57c4670b16d6dcdcf5429	3	0.752647	0.122616	0.352745	0.752647	0.287367	0.352745
fold_nv_kaj7330771.zip	639910b277b43379f0858b0b48b51e20c119c779dfa57c4670b16d6dcdcf5429	4	0.760552	0.182604	0.348470	0.760552	0.465646	0.348470
fold_nv_kaj7378236.zip	116885f4b20056400fc86243f9c90490f8f47d735dea2250cd355960f2494ecd	0	0.259751	0.231075	0.285129	0.737855	0.231075	0.285129
fold_nv_kaj7378236.zip	116885f4b20056400fc86243f9c90490f8f47d735dea2250cd355960f2494ecd	1	0.194907	0.117613	0.244519	0.725849	0.117613	0.244519
fold_nv_kaj7378236.zip	116885f4b20056400fc86243f9c90490f8f47d735dea2250cd355960f2494ecd	2	0.144380	0.237900	0.273447	0.740847	0.237900	0.273447
fold_nv_kaj7378236.zip	116885f4b20056400fc86243f9c90490f8f47d735dea2250cd355960f2494ecd	3	0.192447	0.159534	0.245506	0.723705	0.159534	0.245506
fold_nv_kaj7378236.zip	116885f4b20056400fc86243f9c90490f8f47d735dea2250cd355960f2494ecd	4	0.145449	0.233582	0.281654	0.742794	0.233582	0.281654
fold_nv_kak2554988.zip	fd948aa1b9e242d80fb6f5af9a2e1786692d76511c7d6d188696f50a4cb8dc0b	0	0.106916	0.010010	0.009114	0.310010	0.000000	0.000000
fold_nv_kak2554988.zip	fd948aa1b9e242d80fb6f5af9a2e1786692d76511c7d6d188696f50a4cb8dc0b	1	0.267899	0.009456	0.009154	0.267899	0.009292	0.000000
fold_nv_kak2554988.zip	fd948aa1b9e242d80fb6f5af9a2e1786692d76511c7d6d188696f50a4cb8dc0b	2	0.216415	0.009138	0.009150	0.216415	0.009343	0.009533
fold_nv_kak2554988.zip	fd948aa1b9e242d80fb6f5af9a2e1786692d76511c7d6d188696f50a4cb8dc0b	3	0.304115	0.008599	0.009534	0.304115	0.000000	0.009226
fold_nv_kak2554988.zip	fd948aa1b9e242d80fb6f5af9a2e1786692d76511c7d6d188696f50a4cb8dc0b	4	0.250133	0.008926	0.008673	0.314315	0.009197	0.000000
fold_nv_kak2567480.zip	c2135af4291be071dc8ef362d181f9509b83b797b91fddebc161b4dbb6f3b09f	0	0.099307	0.065712	0.012512	0.099307	0.065712	0.016263
fold_nv_kak2567480.zip	c2135af4291be071dc8ef362d181f9509b83b797b91fddebc161b4dbb6f3b09f	1	0.087215	0.036956	0.017320	0.087215	0.113098	0.038364
fold_nv_kak2567480.zip	c2135af4291be071dc8ef362d181f9509b83b797b91fddebc161b4dbb6f3b09f	2	0.106070	0.020450	0.027053	0.335825	0.020450	0.027053
fold_nv_kak2567480.zip	c2135af4291be071dc8ef362d181f9509b83b797b91fddebc161b4dbb6f3b09f	3	0.376461	0.024290	0.046981	0.376461	0.029061	0.049180
fold_nv_kak2567480.zip	c2135af4291be071dc8ef362d181f9509b83b797b91fddebc161b4dbb6f3b09f	4	0.168754	0.014155	0.065964	0.168754	0.016997	0.065964
fold_nv_kak3699440.zip	a9493e3939bb78d7c17279cd8785f222aeac458426af68f7a228ac22eb0b8b28	0	0.234702	0.023694	0.022103	0.234702	0.031605	0.028146
fold_nv_kak3699440.zip	a9493e3939bb78d7c17279cd8785f222aeac458426af68f7a228ac22eb0b8b28	1	0.424982	0.032618	0.022165	0.654304	0.064461	0.026687
fold_nv_kak3699440.zip	a9493e3939bb78d7c17279cd8785f222aeac458426af68f7a228ac22eb0b8b28	2	0.157758	0.020914	0.016176	0.157758	0.035503	0.023409
fold_nv_kak3699440.zip	a9493e3939bb78d7c17279cd8785f222aeac458426af68f7a228ac22eb0b8b28	3	0.117070	0.022212	0.017653	0.505224	0.035670	0.018559
fold_nv_kak3699440.zip	a9493e3939bb78d7c17279cd8785f222aeac458426af68f7a228ac22eb0b8b28	4	0.144857	0.019392	0.018628	0.497156	0.020671	0.018628
fold_nv_xp_001626962.zip	224ff29ded5979cce8860078b04c6d931ab3487673493fa4ad91d3eee1989187	0	0.818169	0.357770	0.410700	0.818169	0.357770	0.410700
fold_nv_xp_001626962.zip	224ff29ded5979cce8860078b04c6d931ab3487673493fa4ad91d3eee1989187	1	0.814804	0.317031	0.406802	0.814804	0.317031	0.406802
fold_nv_xp_001626962.zip	224ff29ded5979cce8860078b04c6d931ab3487673493fa4ad91d3eee1989187	2	0.815775	0.480107	0.478714	0.815775	0.480107	0.478714
fold_nv_xp_001626962.zip	224ff29ded5979cce8860078b04c6d931ab3487673493fa4ad91d3eee1989187	3	0.810039	0.225692	0.394969	0.810039	0.225692	0.394969
fold_nv_xp_001626962.zip	224ff29ded5979cce8860078b04c6d931ab3487673493fa4ad91d3eee1989187	4	0.160361	0.416230	0.432711	0.810639	0.416230	0.432711
fold_nv_xp_015760571.zip	d9fda13bbd1af6cc478fc3da92e380224cd2fd15c5fba1d6f6736c804e789064	0	0.014885	0.008811	0.009091	0.014885	0.009020	0.009099
fold_nv_xp_015760571.zip	d9fda13bbd1af6cc478fc3da92e380224cd2fd15c5fba1d6f6736c804e789064	1	0.078897	0.009330	0.009193	0.078897	0.009464	0.009263
fold_nv_xp_015760571.zip	d9fda13bbd1af6cc478fc3da92e380224cd2fd15c5fba1d6f6736c804e789064	2	0.049081	0.009034	0.009257	0.110002	0.009182	0.009257
fold_nv_xp_015760571.zip	d9fda13bbd1af6cc478fc3da92e380224cd2fd15c5fba1d6f6736c804e789064	3	0.071507	0.009216	0.008213	0.071507	0.009238	0.008325
fold_nv_xp_015760571.zip	d9fda13bbd1af6cc478fc3da92e380224cd2fd15c5fba1d6f6736c804e789064	4	0.081497	0.009116	0.009081	0.081497	0.009051	0.009432
fold_nv_xp_015763135.zip	e99c5434d262120da836eabbed100726546f044123c40490771d3b899e9208d2	0	0.254751	0.009165	0.009567	0.254751	0.008396	0.000000
fold_nv_xp_015763135.zip	e99c5434d262120da836eabbed100726546f044123c40490771d3b899e9208d2	1	0.170113	0.009635	0.000000	0.221525	0.009635	0.000000
fold_nv_xp_015763135.zip	e99c5434d262120da836eabbed100726546f044123c40490771d3b899e9208d2	2	0.308881	0.009422	0.009544	0.308881	0.000000	0.000000
fold_nv_xp_015763135.zip	e99c5434d262120da836eabbed100726546f044123c40490771d3b899e9208d2	3	0.049740	0.009198	0.009455	0.264538	0.009053	0.009455
fold_nv_xp_015763135.zip	e99c5434d262120da836eabbed100726546f044123c40490771d3b899e9208d2	4	0.056052	0.009223	0.000000	0.241615	0.009223	0.000000
fold_nv_xp_015772883.zip	31d6af14b381d2b4aaf44f544012b79ed4b1b71066d4ae618bd5b07d34428486	0	0.412784	0.009230	0.009423	0.412784	0.009124	0.000000
fold_nv_xp_015772883.zip	31d6af14b381d2b4aaf44f544012b79ed4b1b71066d4ae618bd5b07d34428486	1	0.487346	0.009255	0.009532	0.487346	0.009600	0.009532
fold_nv_xp_015772883.zip	31d6af14b381d2b4aaf44f544012b79ed4b1b71066d4ae618bd5b07d34428486	2	0.114819	0.009805	0.000000	0.425484	0.009800	0.000000
