protein accession	sequence accession	genome accession	contig accession	pass all	TFMotifs.has('GM.5.0.Rel', min_score_threshold=None, fpr=0.01).between(-1500, 500)
XP_028414684.1	XP_028414684.1	GCF_004324835.1	NW_021163174.1	true	yes
XP_028414852.1	XP_028414852.1	GCF_004324835.1	NW_021163179.1	true	yes
XP_031557780.1	XP_031557780.1	GCF_009602425.1	NW_022259836.1	true	yes
XP_031565156.1	XP_031565156.1	GCF_009602425.1	NW_022261383.1	true	yes
XP_031565157.1	XP_031565157.1	GCF_009602425.1	NW_022261383.1	true	yes
XP_031566534.1	XP_031566534.1	GCF_009602425.1	NW_022261448.1	true	yes
XP_031569757.1	XP_031569757.1	GCF_009602425.1	NW_022261607.1	true	yes
XP_065051077.1	XP_065051077.1	GCF_013076305.1	NW_027019301.1	true	yes
XP_065056061.1	XP_065056061.1	GCF_013076305.1	NW_027019322.1	true	yes
XP_029186950.2	XP_029186950.2	GCF_013753865.1	NC_058069.1	false	missing_GM.5.0.Rel
XP_029197502.2	XP_029197502.2	GCF_013753865.1	NC_058078.1	true	yes
XP_029214161.2	XP_029214161.2	GCF_013753865.1	NC_058073.1	true	yes
XP_029214164.2	XP_029214164.2	GCF_013753865.1	NC_058073.1	false	missing_GM.5.0.Rel
XP_046852093.1	XP_046852093.1	GCF_021976095.1	NW_025813485.1	true	yes
XP_046852094.1	XP_046852094.1	GCF_021976095.1	NW_025813485.1	true	yes
XP_046852095.1	XP_046852095.1	GCF_021976095.1	NW_025813485.1	true	yes
XP_046853941.1	XP_046853941.1	GCF_021976095.1	NW_025813485.1	true	yes
XP_046853942.1	XP_046853942.1	GCF_021976095.1	NW_025813485.1	false	missing_GM.5.0.Rel
XP_046853943.1	XP_046853943.1	GCF_021976095.1	NW_025813485.1	true	yes
XP_046853944.1	XP_046853944.1	GCF_021976095.1	NW_025813485.1	true	yes
XP_046859971.1	XP_046859971.1	GCF_021976095.1	NW_025813488.1	true	yes
XP_058956196.1	XP_058956196.1	GCF_030620025.1	NW_026710180.1	false	missing_GM.5.0.Rel
XP_058956197.1	XP_058956197.1	GCF_030620025.1	NW_026710180.1	true	yes
XP_058957669.1	XP_058957669.1	GCF_030620025.1	NW_026710258.1	true	yes
XP_058957670.1	XP_058957670.1	GCF_030620025.1	NW_026710258.1	true	yes
XP_058970121.1	XP_058970121.1	GCF_030620025.1	NW_026710976.1	true	yes
XP_067031383.1	XP_067031383.1	GCF_036669905.1	NC_090037.1	true	yes
XP_067031528.1	XP_067031528.1	GCF_036669905.1	NC_090036.1	true	yes
XP_067039091.1	XP_067039091.1	GCF_036669905.1	NC_090036.1	true	yes
XP_067053651.1	XP_067053651.1	GCF_036669905.1	NC_090044.1	false	missing_GM.5.0.Rel
XP_058956196.2	XP_058956196.2	GCF_036669915.1	NC_089317.1	false	missing_GM.5.0.Rel
XP_058957669.2	XP_058957669.2	GCF_036669915.1	NC_089318.1	true	yes
XP_058957670.2	XP_058957670.2	GCF_036669915.1	NC_089318.1	true	yes
XP_068721954.1	XP_068721954.1	GCF_036669925.1	NC_090892.1	false	missing_GM.5.0.Rel
XP_068728611.1	XP_068728611.1	GCF_036669925.1	NC_090894.1	true	yes
XP_068728612.1	XP_068728612.1	GCF_036669925.1	NC_090894.1	true	yes
XP_068731937.1	XP_068731937.1	GCF_036669925.1	NC_090895.1	true	yes
XP_068731938.1	XP_068731938.1	GCF_036669925.1	NC_090895.1	true	yes
XP_068731939.1	XP_068731939.1	GCF_036669925.1	NC_090895.1	true	yes
XP_068733763.1	XP_068733763.1	GCF_036669925.1	NC_090895.1	true	yes
XP_068682681.1	XP_068682681.1	GCF_036669935.1	NC_090880.1	true	yes
XP_068682682.1	XP_068682682.1	GCF_036669935.1	NC_090880.1	true	yes
XP_068687143.1	XP_068687143.1	GCF_036669935.1	NC_090881.1	true	yes
XP_068687145.1	XP_068687145.1	GCF_036669935.1	NC_090881.1	true	yes
XP_068687146.1	XP_068687146.1	GCF_036669935.1	NC_090881.1	true	yes
XP_068687147.1	XP_068687147.1	GCF_036669935.1	NC_090881.1	true	yes
XP_068687149.1	XP_068687149.1	GCF_036669935.1	NC_090881.1	true	yes
XP_068704788.1	XP_068704788.1	GCF_036669935.1	NC_090869.1	false	missing_GM.5.0.Rel
XP_032228503.2	XP_032228503.2	GCF_932526225.1	NC_064040.1	true	yes
XP_032230483.2	XP_032230483.2	GCF_932526225.1	NC_064042.1	true	yes
XP_048580668.1	XP_048580668.1	GCF_932526225.1	NC_064036.1	true	yes
XP_048580669.1	XP_048580669.1	GCF_932526225.1	NC_064036.1	true	yes
XP_073234456.1	XP_073234456.1	GCF_958299795.1	NC_133202.1	true	yes
XP_073248332.1	XP_073248332.1	GCF_958299795.1	NC_133207.1	true	yes
XP_073248334.1	XP_073248334.1	GCF_958299795.1	NC_133207.1	true	yes
XP_073256375.1	XP_073256375.1	GCF_958299795.1	NC_133210.1	true	yes
XP_073256376.1	XP_073256376.1	GCF_958299795.1	NC_133210.1	false	missing_GM.5.0.Rel
