Target Name	Type
MU826368.1_IkB-like-2_cnidaria_49e8f3bf	IkB-like-2
MU827791.1_IkBa-like_cnidaria_41d43bac	IkBa-like
NC_133202.1_p50-like_cnidaria_e422d856	p50-like
NC_133202.1_p105-like_cnidaria_d8641047	p105-like
NC_133207.1_IkBa-like_cnidaria_2dff5c72	IkBa-like
NC_133210.1_IkB-like-1_cnidaria_02be5705	IkB-like-1
NC_133210.1_IkB-like-2_cnidaria_dd61c58c	IkB-like-2
NW_015441067.1_p105-like_cnidaria_c1c4e8b6	p105-like
NW_015441370.1_IkBa-like_cnidaria_2e12eead	IkBa-like
NW_015441482.1_IkB-like-1_cnidaria_6b19648b	IkB-like-1
NW_018148839.1_IkBa-like_cnidaria_b2bc946f	IkBa-like
NW_018149324.1_p105-like_cnidaria_1c4b0771	p105-like
NW_018149371.1_IkB-like-1_cnidaria_ba7a93c3	IkB-like-1
NW_018149371.1_IkB-like-2_cnidaria_a23c88a6	IkB-like-2
OZ024890.1_p105-like_cnidaria_78e5b665	p105-like
OZ024892.1_IkBa-like_cnidaria_d48b2e17	IkBa-like
OZ024895.1_IkB-like-1_cnidaria_8b187540	IkB-like-1
OZ024895.1_IkB-like-2_cnidaria_fe93e4fc	IkB-like-2
OZ116701.1_IkBa-like_cnidaria_345e21ad	IkBa-like
OZ116704.1_IkB-like-1_cnidaria_bd3bc99c	IkB-like-1
OZ116704.1_IkB-like-2_cnidaria_545258f1	IkB-like-2
OZ116707.1_p105-like_cnidaria_9f32f0b0	p105-like
OZ210541.1_p105-like_cnidaria_cc72bb95	p105-like
OZ210546.1_IkBa-like_cnidaria_d20d51b0	IkBa-like
OZ210548.1_p50-like_cnidaria_4a4f5cc6	p50-like
OZ210550.1_IkB-like-1_cnidaria_f1fc1ca4	IkB-like-1
OZ210550.1_IkB-like-2_cnidaria_27849994	IkB-like-2
RDEB01000045.1_IkB-like-1_cnidaria_210a70f9	IkB-like-1
RDEB01000045.1_IkB-like-2_cnidaria_984f5cc9	IkB-like-2
RDEB01000241.1_IkBa-like_cnidaria_d0509b1b	IkBa-like
RDEB01000431.1_p105-like_cnidaria_537607cb	p105-like
