protein accession	genome accession	contig accession	strand	locus start 1b	locus end 1b
CALNXJ010000016.1_p100-like_cnidaria_b4389a93	GCA_942486045.1	CALNXJ010000016.1	-	2,060,176	2,050,090
CALNXJ010000034.1_IkBa-like_cnidaria_878c9e9b	GCA_942486045.1	CALNXJ010000034.1	+	801,551	799,034
CALNXJ010000041.1_IkB-like-1_cnidaria_82c935ee	GCA_942486045.1	CALNXJ010000041.1	+	1,449,690	1,446,073
CALNXJ010000041.1_IkB-like-2_cnidaria_2dc6351b	GCA_942486045.1	CALNXJ010000041.1	+	1,470,792	1,465,850
CALNXK010000029.1_IkBa-like_cnidaria_000fcb94	GCA_942486035.1	CALNXK010000029.1	-	2,935,590	2,932,450
CALNXK010000057.1_p52-like_cnidaria_3a1579f8	GCA_942486035.1	CALNXK010000057.1	+	2,658,430	2,627,243
CALNXK010000057.1_p100-like_cnidaria_83818a9e	GCA_942486035.1	CALNXK010000057.1	+	2,730,159	2,714,358
CALNXK010000111.1_IkB-like-1_cnidaria_31acfd24	GCA_942486035.1	CALNXK010000111.1	+	1,127,489	1,122,441
CALNXK010000111.1_IkB-like-2_cnidaria_0a6d509a	GCA_942486035.1	CALNXK010000111.1	+	1,147,400	1,142,676
CALNXK010000483.1_p52-like_cnidaria_5acf93e1	GCA_942486035.1	CALNXK010000483.1	+	88,050	80,619
CALNXK010000483.1_p100-like_cnidaria_4a5ce231	GCA_942486035.1	CALNXK010000483.1	+	151,187	134,929
CDRNSK010000150.1_p100-like_cnidaria_c3a4b3b9	GCA_977016755.1	CDRNSK010000150.1	+	223,151	208,101
CDRNSK010000247.1_IkBa-like_cnidaria_2f11850d	GCA_977016755.1	CDRNSK010000247.1	-	221,099	218,324
CDRNSK010000283.1_IkB-like-1_cnidaria_15b94c4d	GCA_977016755.1	CDRNSK010000283.1	+	787,252	784,280
CDRNSK010000283.1_IkB-like-2_cnidaria_d33dc3b5	GCA_977016755.1	CDRNSK010000283.1	+	810,208	803,950
CM106371.1_p100-like_cnidaria_95385fb0	GCA_047906015.2	CM106371.1	+	5,830,797	5,812,842
CM106374.1_p52-like_cnidaria_6d67eef2	GCA_047906015.2	CM106374.1	-	19,434,981	19,426,993
CM106375.1_IkB-like-1_cnidaria_0299e008	GCA_047906015.2	CM106375.1	+	29,864,881	29,861,534
CM106375.1_IkB-like-2_cnidaria_ea12d5a8	GCA_047906015.2	CM106375.1	+	29,887,970	29,882,493
CM106380.1_IkBa-like_cnidaria_24f05bac	GCA_047906015.2	CM106380.1	-	22,931,838	22,929,188
JAJLRJ010000002.1_p100-like_cnidaria_1c165c91	GCA_024195265.1	JAJLRJ010000002.1	+	17,932,100	17,917,617
JAJLRJ010000006.1_IkBa-like_cnidaria_aa03cc56	GCA_024195265.1	JAJLRJ010000006.1	+	26,359,163	26,356,213
JAJLRJ010000010.1_IkB-like-1_cnidaria_020397ab	GCA_024195265.1	JAJLRJ010000010.1	+	2,352,754	2,348,316
JAJLRJ010000010.1_IkB-like-2_cnidaria_81a9d766	GCA_024195265.1	JAJLRJ010000010.1	+	2,532,405	2,523,926
JARQWQ010000012.1_p100-like_cnidaria_21f51161	GCA_032359415.1	JARQWQ010000012.1	+	1,548,523	1,532,642
JARQWQ010000014.1_IkBa-like_cnidaria_e28662fe	GCA_032359415.1	JARQWQ010000014.1	+	292,532	289,586
JARQWQ010000016.1_IkB-like-1_cnidaria_834ad0d4	GCA_032359415.1	JARQWQ010000016.1	-	1,416,233	1,412,020
JARQWQ010000016.1_IkB-like-2_cnidaria_5e4c433c	GCA_032359415.1	JARQWQ010000016.1	-	1,391,904	1,383,115
MPSW01000736.1_IkB-like-1_cnidaria_bf644ce3	GCA_001896105.1	MPSW01000736.1	+	53,534	50,352
MPSW01000736.1_IkB-like-2_cnidaria_761741cd	GCA_001896105.1	MPSW01000736.1	+	77,381	72,827
MPSW01003764.1_p100-like_cnidaria_566e8a75	GCA_001896105.1	MPSW01003764.1	+	21,964	2,957
MPSW01005782.1_IkBa-like_cnidaria_f49cce87	GCA_001896105.1	MPSW01005782.1	-	20,228	17,352
MU826351.1_p100-like_cnidaria_8da2a243	GCA_029204205.1	MU826351.1	-	4,138,251	4,124,058
MU826368.1_IkB-like-1_cnidaria_0f375998	GCA_029204205.1	MU826368.1	-	1,230,783	1,227,809
MU826368.1_IkB-like-1_cnidaria_792e5aa3	GCA_029204205.1	MU826368.1	-	726,014	723,012
MU826368.1_IkB-like-2_cnidaria_49e8f3bf	GCA_029204205.1	MU826368.1	-	709,105	702,249
MU827791.1_IkBa-like_cnidaria_41d43bac	GCA_029204205.1	MU827791.1	+	966,886	964,277
NC_133202.1_p52-like_cnidaria_e422d856	GCF_958299795.1	NC_133202.1	-	39,592,769	39,584,838
NC_133202.1_p100-like_cnidaria_d8641047	GCF_958299795.1	NC_133202.1	-	39,482,003	39,463,957
NC_133207.1_IkBa-like_cnidaria_2dff5c72	GCF_958299795.1	NC_133207.1	-	7,294,829	7,291,694
NC_133210.1_IkB-like-1_cnidaria_02be5705	GCF_958299795.1	NC_133210.1	-	31,377,388	31,372,785
NC_133210.1_IkB-like-2_cnidaria_dd61c58c	GCF_958299795.1	NC_133210.1	-	31,357,719	31,350,507
NW_015441067.1_p100-like_cnidaria_c1c4e8b6	GCF_000222465.1	NW_015441067.1	+	1,264,630	1,249,908
NW_015441370.1_IkBa-like_cnidaria_2e12eead	GCF_000222465.1	NW_015441370.1	+	423,013	420,952
NW_015441482.1_IkB-like-1_cnidaria_6b19648b	GCF_000222465.1	NW_015441482.1	-	217,233	212,353
NW_018148839.1_IkBa-like_cnidaria_b2bc946f	GCF_002042975.1	NW_018148839.1	+	2,873,254	2,870,378
NW_018149324.1_p100-like_cnidaria_1c4b0771	GCF_002042975.1	NW_018149324.1	-	965,134	946,127
NW_018149371.1_IkB-like-1_cnidaria_ba7a93c3	GCF_002042975.1	NW_018149371.1	+	458,815	455,633
NW_018149371.1_IkB-like-2_cnidaria_a23c88a6	GCF_002042975.1	NW_018149371.1	+	482,662	478,108
OZ024890.1_p100-like_cnidaria_78e5b665	GCA_964017195.1	OZ024890.1	-	46,113,731	46,086,314
OZ024892.1_IkBa-like_cnidaria_d48b2e17	GCA_964017195.1	OZ024892.1	+	25,295,700	25,292,692
OZ024895.1_IkB-like-1_cnidaria_8b187540	GCA_964017195.1	OZ024895.1	-	3,153,233	3,148,305
OZ024895.1_IkB-like-2_cnidaria_fe93e4fc	GCA_964017195.1	OZ024895.1	-	3,108,052	3,103,294
OZ116701.1_IkBa-like_cnidaria_345e21ad	GCA_964199315.1	OZ116701.1	-	8,743,993	8,741,118
OZ116704.1_IkB-like-1_cnidaria_bd3bc99c	GCA_964199315.1	OZ116704.1	+	17,058,191	17,055,014
OZ116704.1_IkB-like-2_cnidaria_545258f1	GCA_964199315.1	OZ116704.1	+	17,084,959	17,080,376
OZ116707.1_p100-like_cnidaria_9f32f0b0	GCA_964199315.1	OZ116707.1	-	23,878,962	23,865,283
OZ210541.1_p100-like_cnidaria_cc72bb95	GCA_964656845.1	OZ210541.1	-	54,591,356	54,577,667
OZ210546.1_IkBa-like_cnidaria_d20d51b0	GCA_964656845.1	OZ210546.1	-	25,001,340	24,997,731
OZ210548.1_p52-like_cnidaria_4a4f5cc6	GCA_964656845.1	OZ210548.1	+	13,034,068	13,024,024
OZ210550.1_IkB-like-1_cnidaria_f1fc1ca4	GCA_964656845.1	OZ210550.1	+	31,797,275	31,794,103
OZ210550.1_IkB-like-2_cnidaria_27849994	GCA_964656845.1	OZ210550.1	+	31,817,440	31,812,828
RDEB01000045.1_IkB-like-1_cnidaria_210a70f9	GCA_006542545.1	RDEB01000045.1	-	172,580	169,452
RDEB01000045.1_IkB-like-2_cnidaria_984f5cc9	GCA_006542545.1	RDEB01000045.1	-	134,789	129,936
RDEB01000241.1_IkBa-like_cnidaria_d0509b1b	GCA_006542545.1	RDEB01000241.1	-	215,520	211,885
RDEB01000431.1_p100-like_cnidaria_537607cb	GCA_006542545.1	RDEB01000431.1	-	182,976	151,461
